alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	266.806482717	dfr	bm25	1
0.99	0.01	summary	591.429238411	dfr	bm25	2
0.99	0.01	summary	61.9190548244	dfr	bm25	3
0.99	0.01	summary	249.526268743	dfr	bm25	4
0.99	0.01	summary	318.699175907	dfr	bm25	5
0.99	0.01	summary	345.774078472	dfr	bm25	6
0.99	0.01	summary	387.410599739	dfr	bm25	7
0.99	0.01	summary	358.426454169	dfr	bm25	8
0.99	0.01	summary	34.9712876186	dfr	bm25	9
0.99	0.01	summary	44.8766596756	dfr	bm25	10
0.99	0.01	summary	238.637679062	dfr	bm25	11
0.99	0.01	summary	357.719142789	dfr	bm25	12
0.99	0.01	summary	256.783298641	dfr	bm25	13
0.99	0.01	summary	194.65971578	dfr	bm25	14
0.99	0.01	summary	254.412747553	dfr	bm25	15
0.99	0.01	summary	85.9291183547	dfr	bm25	16
0.99	0.01	summary	185.685314605	dfr	bm25	17
0.99	0.01	summary	279.561207172	dfr	bm25	18
0.99	0.01	summary	175.793478496	dfr	bm25	19
0.99	0.01	summary	362.72287475	dfr	bm25	20
0.99	0.01	summary	506.572670538	dfr	bm25	21
0.99	0.01	summary	117.770133993	dfr	bm25	22
0.99	0.01	summary	314.799326315	dfr	bm25	23
0.99	0.01	summary	140.64535579	dfr	bm25	24
0.99	0.01	summary	131.897550469	dfr	bm25	25
0.99	0.01	summary	267.57681748	dfr	bm25	26
0.99	0.01	summary	712.356642886	dfr	bm25	27
0.99	0.01	summary	145.855450201	dfr	bm25	28
0.99	0.01	summary	315.61209177	dfr	bm25	29
0.99	0.01	summary	339.695719386	dfr	bm25	30
