alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	268.376585463	tfidf	bm25	1
0.0	1.0	summary	578.079833122	tfidf	bm25	2
0.0	1.0	summary	60.65522928	tfidf	bm25	3
0.0	1.0	summary	250.349090411	tfidf	bm25	4
0.0	1.0	summary	311.892036896	tfidf	bm25	5
0.99	0.01	summary	344.287711429	tfidf	bm25	6
0.48	0.52	summary	392.013919322	tfidf	bm25	7
0.0	1.0	summary	357.372465038	tfidf	bm25	8
0.0	1.0	summary	27.889356788	tfidf	bm25	9
0.0	1.0	summary	43.2642332195	tfidf	bm25	10
0.0	1.0	summary	231.895246835	tfidf	bm25	11
0.0	1.0	summary	356.623826749	tfidf	bm25	12
0.99	0.01	summary	256.151555952	tfidf	bm25	13
0.99	0.01	summary	200.790614199	tfidf	bm25	14
0.98	0.02	summary	252.678096827	tfidf	bm25	15
0.99	0.01	summary	90.532569432	tfidf	bm25	16
0.0	1.0	summary	173.690122727	tfidf	bm25	17
0.78	0.22	summary	273.371684825	tfidf	bm25	18
0.0	1.0	summary	165.400571303	tfidf	bm25	19
0.99	0.01	summary	355.947160855	tfidf	bm25	20
0.99	0.01	summary	503.6102989	tfidf	bm25	21
0.0	1.0	summary	116.320257093	tfidf	bm25	22
0.0	1.0	summary	311.980990032	tfidf	bm25	23
0.99	0.01	summary	136.529554477	tfidf	bm25	24
0.47	0.53	summary	128.037346108	tfidf	bm25	25
0.5	0.5	summary	248.018346881	tfidf	bm25	26
0.0	1.0	summary	703.548841398	tfidf	bm25	27
0.0	1.0	summary	135.020538559	tfidf	bm25	28
0.52	0.48	summary	324.015004388	tfidf	bm25	29
0.51	0.49	summary	344.015832659	tfidf	bm25	30
0.0	1.0	summary	263.376585463	ib	bm25	1
0.0	1.0	summary	580.079833122	ib	bm25	2
0.0	1.0	summary	59.65522928	ib	bm25	3
0.99	0.01	summary	236.241438309	ib	bm25	4
0.99	0.01	summary	324.850825124	ib	bm25	5
0.99	0.01	summary	341.226622218	ib	bm25	6
0.5	0.5	summary	380.013985089	ib	bm25	7
0.0	1.0	summary	352.372465038	ib	bm25	8
0.0	1.0	summary	27.889356788	ib	bm25	9
0.99	0.01	summary	47.1817073351	ib	bm25	10
0.0	1.0	summary	228.895246835	ib	bm25	11
0.99	0.01	summary	365.607311684	ib	bm25	12
0.99	0.01	summary	261.131393364	ib	bm25	13
0.99	0.01	summary	192.760802059	ib	bm25	14
0.0	1.0	summary	248.688145243	ib	bm25	15
0.99	0.01	summary	82.597613208	ib	bm25	16
0.0	1.0	summary	165.690122727	ib	bm25	17
0.99	0.01	summary	269.331411658	ib	bm25	18
0.0	1.0	summary	166.400571303	ib	bm25	19
0.99	0.01	summary	353.891685123	ib	bm25	20
0.0	1.0	summary	505.635803059	ib	bm25	21
0.0	1.0	summary	111.320257093	ib	bm25	22
0.99	0.01	summary	311.926788069	ib	bm25	23
0.99	0.01	summary	135.504790013	ib	bm25	24
0.5	0.5	summary	128.033338861	ib	bm25	25
0.52	0.48	summary	260.017219516	ib	bm25	26
0.0	1.0	summary	715.548841398	ib	bm25	27
0.99	0.01	summary	142.809516851	ib	bm25	28
0.5	0.5	summary	328.015396379	ib	bm25	29
0.51	0.49	summary	340.016280585	ib	bm25	30
0.99	0.01	summary	270.337088521	lmd	bm25	1
0.99	0.01	summary	587.0769049	lmd	bm25	2
0.29	0.71	summary	58.6542447625	lmd	bm25	3
0.99	0.01	summary	249.32134934	lmd	bm25	4
0.0	1.0	summary	312.892036896	lmd	bm25	5
0.99	0.01	summary	352.217683444	lmd	bm25	6
0.52	0.48	summary	396.013335827	lmd	bm25	7
0.0	1.0	summary	357.372465038	lmd	bm25	8
0.0	1.0	summary	23.889356788	lmd	bm25	9
0.99	0.01	summary	46.187276584	lmd	bm25	10
0.0	1.0	summary	235.895246835	lmd	bm25	11
0.0	1.0	summary	371.623826749	lmd	bm25	12
0.99	0.01	summary	255.113545914	lmd	bm25	13
0.99	0.01	summary	193.787311196	lmd	bm25	14
0.99	0.01	summary	239.655622656	lmd	bm25	15
0.99	0.01	summary	83.4926728199	lmd	bm25	16
0.99	0.01	summary	175.662827279	lmd	bm25	17
0.0	1.0	summary	277.376183168	lmd	bm25	18
0.0	1.0	summary	171.400571303	lmd	bm25	19
0.99	0.01	summary	358.935307868	lmd	bm25	20
