alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	263.376585463	dfr	bm25	1
0.0	1.0	summary	589.079833122	dfr	bm25	2
0.0	1.0	summary	59.65522928	dfr	bm25	3
0.0	1.0	summary	246.349090411	dfr	bm25	4
0.0	1.0	summary	315.892036896	dfr	bm25	5
0.99	0.01	summary	343.204081253	dfr	bm25	6
0.51	0.49	summary	384.013657917	dfr	bm25	7
0.99	0.01	summary	356.337928703	dfr	bm25	8
0.99	0.01	summary	31.6401948342	dfr	bm25	9
0.8	0.2	summary	42.2558920455	dfr	bm25	10
0.0	1.0	summary	235.895246835	dfr	bm25	11
0.0	1.0	summary	354.623826749	dfr	bm25	12
0.99	0.01	summary	254.143958857	dfr	bm25	13
0.99	0.01	summary	192.746319282	dfr	bm25	14
0.61	0.39	summary	251.684788422	dfr	bm25	15
0.0	1.0	summary	82.6446342093	dfr	bm25	16
0.99	0.01	summary	182.651936265	dfr	bm25	17
0.99	0.01	summary	276.341285278	dfr	bm25	18
0.0	1.0	summary	173.400571303	dfr	bm25	19
0.99	0.01	summary	359.928338026	dfr	bm25	20
0.0	1.0	summary	503.635803059	dfr	bm25	21
0.0	1.0	summary	115.320257093	dfr	bm25	22
0.99	0.01	summary	311.94481415	dfr	bm25	23
0.99	0.01	summary	138.492123843	dfr	bm25	24
0.48	0.52	summary	128.035572766	dfr	bm25	25
0.5	0.5	summary	264.017554951	dfr	bm25	26
0.0	1.0	summary	711.548841398	dfr	bm25	27
0.99	0.01	summary	142.888033572	dfr	bm25	28
0.52	0.48	summary	312.015604869	dfr	bm25	29
0.52	0.48	summary	336.016123078	dfr	bm25	30
0.0	1.0	summary	268.401063879	tfidf	dfr	1
0.99	0.01	summary	568.138477922	tfidf	dfr	2
0.84	0.16	summary	58.7191894586	tfidf	dfr	3
0.0	1.0	summary	246.366776269	tfidf	dfr	4
0.99	0.01	summary	313.918481171	tfidf	dfr	5
0.0	1.0	summary	348.202672073	tfidf	dfr	6
0.47	0.53	summary	388.014084654	tfidf	dfr	7
0.0	1.0	summary	367.33760759	tfidf	dfr	8
0.0	1.0	summary	31.639713986	tfidf	dfr	9
0.0	1.0	summary	41.2564028067	tfidf	dfr	10
0.0	1.0	summary	227.973201894	tfidf	dfr	11
0.99	0.01	summary	361.670655306	tfidf	dfr	12
0.0	1.0	summary	252.14380866	tfidf	dfr	13
0.0	1.0	summary	197.745599724	tfidf	dfr	14
0.99	0.01	summary	240.678131192	tfidf	dfr	15
0.99	0.01	summary	86.5329066235	tfidf	dfr	16
0.0	1.0	summary	172.651695205	tfidf	dfr	17
0.0	1.0	summary	269.341016161	tfidf	dfr	18
0.0	1.0	summary	166.462615938	tfidf	dfr	19
0.0	1.0	summary	367.927791831	tfidf	dfr	20
0.99	0.01	summary	514.610383491	tfidf	dfr	21
0.99	0.01	summary	114.372203635	tfidf	dfr	22
0.0	1.0	summary	306.944505202	tfidf	dfr	23
0.0	1.0	summary	137.491156399	tfidf	dfr	24
0.5	0.5	summary	120.03949733	tfidf	dfr	25
0.5	0.5	summary	264.017805706	tfidf	dfr	26
0.2	0.8	summary	700.595824675	tfidf	dfr	27
0.0	1.0	summary	138.886946697	tfidf	dfr	28
0.5	0.5	summary	320.015042504	tfidf	dfr	29
0.49	0.51	summary	332.016021476	tfidf	dfr	30
0.0	1.0	summary	263.401063879	ib	dfr	1
0.99	0.01	summary	581.146391989	ib	dfr	2
0.0	1.0	summary	59.7252855355	ib	dfr	3
0.99	0.01	summary	250.241585318	ib	dfr	4
0.99	0.01	summary	315.851377045	ib	dfr	5
0.0	1.0	summary	349.202672073	ib	dfr	6
0.49	0.51	summary	384.014222307	ib	dfr	7
0.0	1.0	summary	354.33760759	ib	dfr	8
0.0	1.0	summary	30.639713986	ib	dfr	9
0.99	0.01	summary	46.1816467114	ib	dfr	10
0.0	1.0	summary	229.973201894	ib	dfr	11
0.99	0.01	summary	379.607986076	ib	dfr	12
0.99	0.01	summary	256.131209042	ib	dfr	13
0.0	1.0	summary	198.745599724	ib	dfr	14
0.0	1.0	summary	236.686204059	ib	dfr	15
0.99	0.01	summary	87.5979363289	ib	dfr	16
0.0	1.0	summary	182.651695205	ib	dfr	17
0.99	0.01	summary	280.331046346	ib	dfr	18
0.99	0.01	summary	169.436002472	ib	dfr	19
0.99	0.01	summary	363.891071689	ib	dfr	20
0.0	1.0	summary	512.64395366	ib	dfr	21
0.17	0.83	summary	108.395987462	ib	dfr	22
0.99	0.01	summary	305.926443358	ib	dfr	23
0.0	1.0	summary	136.491156399	ib	dfr	24
0.52	0.48	summary	128.035617706	ib	dfr	25
0.52	0.48	summary	256.017398415	ib	dfr	26
0.99	0.01	summary	705.574684834	ib	dfr	27
0.99	0.01	summary	142.808290863	ib	dfr	28
0.49	0.51	summary	316.015400158	ib	dfr	29
0.48	0.52	summary	328.016398327	ib	dfr	30
0.99	0.01	summary	263.337348494	lmd	dfr	1
0.99	0.01	summary	575.077976153	lmd	dfr	2
0.99	0.01	summary	57.6609897889	lmd	dfr	3
0.99	0.01	summary	241.321532225	lmd	dfr	4
0.0	1.0	summary	310.948317964	lmd	dfr	5
0.0	1.0	summary	348.202672073	lmd	dfr	6
0.51	0.49	summary	384.013409516	lmd	dfr	7
0.0	1.0	summary	360.33760759	lmd	dfr	8
0.0	1.0	summary	31.639713986	lmd	dfr	9
0.99	0.01	summary	46.1871185013	lmd	dfr	10
0.0	1.0	summary	233.973201894	lmd	dfr	11
0.99	0.01	summary	361.6725614	lmd	dfr	12
0.99	0.01	summary	254.113362519	lmd	dfr	13
0.0	1.0	summary	196.745599724	lmd	dfr	14
0.99	0.01	summary	250.655620436	lmd	dfr	15
0.99	0.01	summary	87.4929884345	lmd	dfr	16
