alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	270.337088521	lmd	bm25	1
0.99	0.01	summary	587.0769049	lmd	bm25	2
0.29	0.71	summary	58.6542447625	lmd	bm25	3
0.99	0.01	summary	249.32134934	lmd	bm25	4
0.0	1.0	summary	312.892036896	lmd	bm25	5
0.99	0.01	summary	352.217683444	lmd	bm25	6
0.52	0.48	summary	396.013335827	lmd	bm25	7
0.0	1.0	summary	357.372465038	lmd	bm25	8
0.0	1.0	summary	23.889356788	lmd	bm25	9
0.99	0.01	summary	46.187276584	lmd	bm25	10
0.0	1.0	summary	235.895246835	lmd	bm25	11
0.0	1.0	summary	371.623826749	lmd	bm25	12
0.99	0.01	summary	255.113545914	lmd	bm25	13
0.99	0.01	summary	193.787311196	lmd	bm25	14
0.99	0.01	summary	239.655622656	lmd	bm25	15
0.99	0.01	summary	83.4926728199	lmd	bm25	16
0.99	0.01	summary	175.662827279	lmd	bm25	17
0.0	1.0	summary	277.376183168	lmd	bm25	18
0.0	1.0	summary	171.400571303	lmd	bm25	19
0.99	0.01	summary	358.935307868	lmd	bm25	20
0.0	1.0	summary	512.635803059	lmd	bm25	21
0.0	1.0	summary	116.320257093	lmd	bm25	22
0.99	0.01	summary	302.945058827	lmd	bm25	23
0.0	1.0	summary	133.593821397	lmd	bm25	24
0.5	0.5	summary	128.03633238	lmd	bm25	25
0.5	0.5	summary	264.017498262	lmd	bm25	26
0.0	1.0	summary	715.548841398	lmd	bm25	27
0.99	0.01	summary	143.799120481	lmd	bm25	28
0.51	0.49	summary	308.015759545	lmd	bm25	29
0.5	0.5	summary	336.016033081	lmd	bm25	30
0.0	1.0	summary	259.336765575	tfidf	lmd	1
0.0	1.0	summary	587.076899119	tfidf	lmd	2
0.0	1.0	summary	57.6604146884	tfidf	lmd	3
0.0	1.0	summary	250.321150712	tfidf	lmd	4
0.99	0.01	summary	314.918680283	tfidf	lmd	5
0.0	1.0	summary	344.216416812	tfidf	lmd	6
0.47	0.53	summary	396.013609538	tfidf	lmd	7
0.99	0.01	summary	367.380554181	tfidf	lmd	8
0.99	0.01	summary	24.1824590128	tfidf	lmd	9
0.0	1.0	summary	46.1866337742	tfidf	lmd	10
0.08	0.92	summary	236.010918238	tfidf	lmd	11
0.64	0.36	summary	375.669640837	tfidf	lmd	12
0.0	1.0	summary	243.113099726	tfidf	lmd	13
0.06	0.94	summary	196.786996511	tfidf	lmd	14
0.0	1.0	summary	244.655356725	tfidf	lmd	15
0.0	1.0	summary	90.4913874305	tfidf	lmd	16
0.0	1.0	summary	182.662636548	tfidf	lmd	17
0.99	0.01	summary	281.372158022	tfidf	lmd	18
0.68	0.32	summary	164.511715098	tfidf	lmd	19
0.0	1.0	summary	346.934805753	tfidf	lmd	20
0.99	0.01	summary	510.610491985	tfidf	lmd	21
0.27	0.73	summary	109.364258499	tfidf	lmd	22
0.0	1.0	summary	311.944747744	tfidf	lmd	23
0.99	0.01	summary	136.529804542	tfidf	lmd	24
0.48	0.52	summary	128.037322543	tfidf	lmd	25
0.5	0.5	summary	268.017811022	tfidf	lmd	26
0.0	1.0	summary	699.579197503	tfidf	lmd	27
0.0	1.0	summary	146.797020832	tfidf	lmd	28
0.51	0.49	summary	332.014638399	tfidf	lmd	29
0.51	0.49	summary	328.016194241	tfidf	lmd	30
0.0	1.0	summary	267.336765575	ib	lmd	1
0.0	1.0	summary	583.076899119	ib	lmd	2
0.0	1.0	summary	59.6604146884	ib	lmd	3
0.99	0.01	summary	248.241137249	ib	lmd	4
0.99	0.01	summary	309.851588889	ib	lmd	5
0.0	1.0	summary	344.216416812	ib	lmd	6
0.48	0.52	summary	380.013577215	ib	lmd	7
0.0	1.0	summary	364.406985289	ib	lmd	8
0.99	0.01	summary	24.0981586057	ib	lmd	9
0.64	0.36	summary	47.1787009087	ib	lmd	10
0.99	0.01	summary	228.979918232	ib	lmd	11
0.99	0.01	summary	368.607782616	ib	lmd	12
0.0	1.0	summary	257.113099726	ib	lmd	13
0.99	0.01	summary	197.760447717	ib	lmd	14
0.0	1.0	summary	243.655356725	ib	lmd	15
0.0	1.0	summary	83.4913874305	ib	lmd	16
0.0	1.0	summary	174.662636548	ib	lmd	17
0.99	0.01	summary	265.331557018	ib	lmd	18
0.99	0.01	summary	175.436510026	ib	lmd	19
0.99	0.01	summary	359.89115212	ib	lmd	20
0.0	1.0	summary	501.655013013	ib	lmd	21
0.0	1.0	summary	112.365371957	ib	lmd	22
0.99	0.01	summary	310.926426338	ib	lmd	23
0.99	0.01	summary	132.505074543	ib	lmd	24
0.5	0.5	summary	128.034843835	ib	lmd	25
0.52	0.48	summary	260.017323879	ib	lmd	26
0.99	0.01	summary	703.574519404	ib	lmd	27
0.31	0.69	summary	142.794382225	ib	lmd	28
0.5	0.5	summary	328.015018142	ib	lmd	29
0.51	0.49	summary	340.016323141	ib	lmd	30
0.99	0.01	summary	263.337378883	lmd	lmj	1
0.99	0.01	summary	582.077109783	lmd	lmj	2
0.99	0.01	summary	57.6613845189	lmd	lmj	3
0.0	1.0	summary	252.300578653	lmd	lmj	4
0.0	1.0	summary	306.91897842	lmd	lmj	5
0.99	0.01	summary	350.216793796	lmd	lmj	6
0.55	0.45	summary	400.013616237	lmd	lmj	7
