alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	260.376585463	lmj	bm25	1
0.0	1.0	summary	566.079833122	lmj	bm25	2
0.0	1.0	summary	58.65522928	lmj	bm25	3
0.99	0.01	summary	249.300996274	lmj	bm25	4
0.0	1.0	summary	309.892036896	lmj	bm25	5
0.99	0.01	summary	344.258815855	lmj	bm25	6
0.46	0.54	summary	388.014126977	lmj	bm25	7
0.0	1.0	summary	359.372465038	lmj	bm25	8
0.88	0.12	summary	31.7350964691	lmj	bm25	9
0.0	1.0	summary	42.2642332195	lmj	bm25	10
0.0	1.0	summary	236.895246835	lmj	bm25	11
0.0	1.0	summary	365.623826749	lmj	bm25	12
0.99	0.01	summary	243.14622706	lmj	bm25	13
0.99	0.01	summary	192.805092751	lmj	bm25	14
0.99	0.01	summary	256.650496531	lmj	bm25	15
0.99	0.01	summary	83.6136928803	lmj	bm25	16
0.0	1.0	summary	166.690122727	lmj	bm25	17
0.99	0.01	summary	269.356496996	lmj	bm25	18
0.99	0.01	summary	166.363303421	lmj	bm25	19
0.99	0.01	summary	359.917461098	lmj	bm25	20
0.0	1.0	summary	513.635803059	lmj	bm25	21
0.0	1.0	summary	107.320257093	lmj	bm25	22
0.99	0.01	summary	304.878519446	lmj	bm25	23
0.99	0.01	summary	133.556618538	lmj	bm25	24
0.49	0.51	summary	128.036984513	lmj	bm25	25
0.51	0.49	summary	260.017521503	lmj	bm25	26
0.0	1.0	summary	703.548841398	lmj	bm25	27
0.99	0.01	summary	143.726844876	lmj	bm25	28
0.52	0.48	summary	332.014551022	lmj	bm25	29
0.47	0.53	summary	328.016390181	lmj	bm25	30
0.0	1.0	summary	270.405579281	tfidf	lmj	1
0.0	1.0	summary	584.100359206	tfidf	lmj	2
0.99	0.01	summary	57.7197473163	tfidf	lmj	3
0.0	1.0	summary	258.300578653	tfidf	lmj	4
0.56	0.44	summary	321.917111903	tfidf	lmj	5
0.0	1.0	summary	340.257963376	tfidf	lmj	6
0.53	0.47	summary	388.014553878	tfidf	lmj	7
0.99	0.01	summary	362.380492777	tfidf	lmj	8
0.0	1.0	summary	27.7378633352	tfidf	lmj	9
0.37	0.63	summary	39.476326715	tfidf	lmj	10
0.0	1.0	summary	228.004938471	tfidf	lmj	11
0.0	1.0	summary	366.663418136	tfidf	lmj	12
0.14	0.86	summary	255.14596551	tfidf	lmj	13
0.99	0.01	summary	194.790463395	tfidf	lmj	14
0.0	1.0	summary	244.65020995	tfidf	lmj	15
0.99	0.01	summary	90.5324029449	tfidf	lmj	16
0.99	0.01	summary	174.723827882	tfidf	lmj	17
0.0	1.0	summary	264.356379293	tfidf	lmj	18
0.0	1.0	summary	169.362991366	tfidf	lmj	19
0.0	1.0	summary	350.916813784	tfidf	lmj	20
