alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	268.376585463	tfidf	bm25	1
0.0	1.0	summary	578.079833122	tfidf	bm25	2
0.0	1.0	summary	60.65522928	tfidf	bm25	3
0.0	1.0	summary	250.349090411	tfidf	bm25	4
0.0	1.0	summary	311.892036896	tfidf	bm25	5
0.99	0.01	summary	344.287711429	tfidf	bm25	6
0.48	0.52	summary	392.013919322	tfidf	bm25	7
0.0	1.0	summary	357.372465038	tfidf	bm25	8
0.0	1.0	summary	27.889356788	tfidf	bm25	9
0.0	1.0	summary	43.2642332195	tfidf	bm25	10
0.0	1.0	summary	231.895246835	tfidf	bm25	11
0.0	1.0	summary	356.623826749	tfidf	bm25	12
0.99	0.01	summary	256.151555952	tfidf	bm25	13
0.99	0.01	summary	200.790614199	tfidf	bm25	14
0.98	0.02	summary	252.678096827	tfidf	bm25	15
0.99	0.01	summary	90.532569432	tfidf	bm25	16
0.0	1.0	summary	173.690122727	tfidf	bm25	17
0.78	0.22	summary	273.371684825	tfidf	bm25	18
0.0	1.0	summary	165.400571303	tfidf	bm25	19
0.99	0.01	summary	355.947160855	tfidf	bm25	20
0.99	0.01	summary	503.6102989	tfidf	bm25	21
0.0	1.0	summary	116.320257093	tfidf	bm25	22
0.0	1.0	summary	311.980990032	tfidf	bm25	23
0.99	0.01	summary	136.529554477	tfidf	bm25	24
0.47	0.53	summary	128.037346108	tfidf	bm25	25
0.5	0.5	summary	248.018346881	tfidf	bm25	26
0.0	1.0	summary	703.548841398	tfidf	bm25	27
0.0	1.0	summary	135.020538559	tfidf	bm25	28
0.52	0.48	summary	324.015004388	tfidf	bm25	29
0.51	0.49	summary	344.015832659	tfidf	bm25	30
0.25	0.75	summary	264.435439432	ib	tfidf	1
0.0	1.0	summary	574.138012907	ib	tfidf	2
0.0	1.0	summary	56.7194000159	ib	tfidf	3
0.99	0.01	summary	249.241745674	ib	tfidf	4
0.99	0.01	summary	311.851104568	ib	tfidf	5
0.99	0.01	summary	344.226020609	ib	tfidf	6
0.52	0.48	summary	392.014225866	ib	tfidf	7
0.0	1.0	summary	349.380323095	ib	tfidf	8
0.99	0.01	summary	24.0976519551	ib	tfidf	9
0.99	0.01	summary	46.183956721	ib	tfidf	10
0.99	0.01	summary	229.97996116	ib	tfidf	11
0.99	0.01	summary	367.607769369	ib	tfidf	12
0.99	0.01	summary	254.131275923	ib	tfidf	13
0.99	0.01	summary	201.760481571	ib	tfidf	14
0.0	1.0	summary	245.678103021	ib	tfidf	15
0.0	1.0	summary	91.5317254017	ib	tfidf	16
0.0	1.0	summary	170.722851176	ib	tfidf	17
0.99	0.01	summary	269.331380751	ib	tfidf	18
0.99	0.01	summary	168.43649157	ib	tfidf	19
0.99	0.01	summary	344.891284838	ib	tfidf	20
0.0	1.0	summary	503.610083179	ib	tfidf	21
0.0	1.0	summary	107.372055207	ib	tfidf	22
0.99	0.01	summary	314.927207732	ib	tfidf	23
0.99	0.01	summary	132.504156549	ib	tfidf	24
0.52	0.48	summary	132.035367265	ib	tfidf	25
0.52	0.48	summary	260.017541771	ib	tfidf	26
0.99	0.01	summary	702.574694579	ib	tfidf	27
0.99	0.01	summary	141.809823252	ib	tfidf	28
0.49	0.51	summary	328.015268337	ib	tfidf	29
0.5	0.5	summary	328.01640572	ib	tfidf	30
0.0	1.0	summary	259.336765575	tfidf	lmd	1
0.0	1.0	summary	587.076899119	tfidf	lmd	2
0.0	1.0	summary	57.6604146884	tfidf	lmd	3
0.0	1.0	summary	250.321150712	tfidf	lmd	4
0.99	0.01	summary	314.918680283	tfidf	lmd	5
0.0	1.0	summary	344.216416812	tfidf	lmd	6
0.47	0.53	summary	396.013609538	tfidf	lmd	7
0.99	0.01	summary	367.380554181	tfidf	lmd	8
0.99	0.01	summary	24.1824590128	tfidf	lmd	9
0.0	1.0	summary	46.1866337742	tfidf	lmd	10
0.08	0.92	summary	236.010918238	tfidf	lmd	11
0.64	0.36	summary	375.669640837	tfidf	lmd	12
0.0	1.0	summary	243.113099726	tfidf	lmd	13
0.06	0.94	summary	196.786996511	tfidf	lmd	14
0.0	1.0	summary	244.655356725	tfidf	lmd	15
0.0	1.0	summary	90.4913874305	tfidf	lmd	16
0.0	1.0	summary	182.662636548	tfidf	lmd	17
0.99	0.01	summary	281.372158022	tfidf	lmd	18
