alpha	beta	ds	gamma	loss	scheme	topic
0.8	0.2	summary	0	15.2922909727	bm25	1
0.48	0.52	summary	0	51.0235575712	bm25	2
0.99	0.01	summary	0	8.53250927761	bm25	3
0.68	0.32	summary	0	14.2873083044	bm25	4
1.0	0.0	summary	0	25.261198453	bm25	5
0.99	0.01	summary	0	34.7581705892	bm25	6
1.0	0.0	summary	0	19.2642264814	bm25	7
0.45	0.55	summary	0	38.2673985957	bm25	8
0.8	0.2	summary	0	1.13523697662	bm25	9
0.99	0.01	summary	0	4.7996914892	bm25	10
0.28	0.72	summary	0	19.0242671429	bm25	11
0.97	0.03	summary	0	25.0127195167	bm25	12
0.75	0.25	summary	0	21.2767785501	bm25	13
0.37	0.63	summary	0	30.0182805554	bm25	14
0.43	0.57	summary	0	17.5207781951	bm25	15
0.99	0.01	summary	0	6.05419422122	bm25	16
0.98	0.02	summary	0	12.0204857771	bm25	17
0.99	0.01	summary	0	15.2663466383	bm25	18
0.6	0.4	summary	0	18.0320482634	bm25	19
0.99	0.01	summary	0	27.510046791	bm25	20
0.83	0.17	summary	0	33.0120579494	bm25	21
1.0	0.0	summary	0	9.06862313393	bm25	22
0.01	0.99	summary	0	24.26176442	bm25	23
0.99	0.01	summary	0	17.0144468468	bm25	24
0.01	0.99	summary	0	5.7902944174	bm25	25
0.99	0.01	summary	0	12.769107741	bm25	26
1.0	0.0	summary	0	89.0056692362	bm25	27
0.01	0.99	summary	0	9.29617622944	bm25	28
0.99	0.01	summary	0	16.0160026038	bm25	29
1.0	0.0	summary	0	16.7664476522	bm25	30
