alpha	beta	ds	gamma	loss	scheme	topic
0.87	0.13	summary	0	161.501584502	dfr	1
1.0	0.0	summary	0	404.534628192	dfr	2
1.0	0.0	summary	0	41.5060763769	dfr	3
0.7	0.3	summary	0	148.346084469	dfr	4
0.86	0.14	summary	0	199.493746207	dfr	5
1.0	0.0	summary	0	244.068304657	dfr	6
0.01	0.99	summary	0	224.442362153	dfr	7
0.5	0.5	summary	0	239.617837581	dfr	8
0.53	0.47	summary	0	12.1574305164	dfr	9
1.0	0.0	summary	0	19.107678422	dfr	10
0.86	0.14	summary	0	128.124227894	dfr	11
0.41	0.59	summary	0	199.149939179	dfr	12
1.0	0.0	summary	0	157.349011491	dfr	13
0.71	0.29	summary	0	134.268458525	dfr	14
0.3	0.7	summary	0	93.3018206326	dfr	15
1.0	0.0	summary	0	64.4714786696	dfr	16
0.84	0.16	summary	0	83.5748913225	dfr	17
1.0	0.0	summary	0	136.943653345	dfr	18
0.77	0.23	summary	0	92.053244781	dfr	19
1.0	0.0	summary	0	252.49682746	dfr	20
1.0	0.0	summary	0	208.02873169	dfr	21
1.0	0.0	summary	0	77.6591522224	dfr	22
1.0	0.0	summary	0	220.017732962	dfr	23
0.98	0.02	summary	0	77.0794807913	dfr	24
1.0	0.0	summary	0	93.3986346293	dfr	25
1.0	0.0	summary	0	162.656964912	dfr	26
0.87	0.13	summary	0	348.26989547	dfr	27
0.01	0.99	summary	0	73.3963113351	dfr	28
0.83	0.17	summary	0	195.347113575	dfr	29
1.0	0.0	summary	0	244.390405423	dfr	30
