alpha	beta	ds	gamma	loss	scheme	topic
0.3	0.7	summary	0	223.224209607	ib	1
1.0	0.0	summary	0	474.733266554	ib	2
1.0	0.0	summary	0	47.7317029852	ib	3
0.01	0.99	summary	0	210.371382047	ib	4
1.0	0.0	summary	0	254.956675136	ib	5
1.0	0.0	summary	0	272.344315405	ib	6
1.0	0.0	summary	0	320.015444893	ib	7
0.36	0.64	summary	0	307.523802664	ib	8
0.01	0.99	summary	0	25.3395678712	ib	9
0.01	0.99	summary	0	37.6945197223	ib	10
0.31	0.69	summary	0	197.05284175	ib	11
0.01	0.99	summary	0	304.591842287	ib	12
0.01	0.99	summary	0	203.210478864	ib	13
1.0	0.0	summary	0	157.907717807	ib	14
0.01	0.99	summary	0	202.570222948	ib	15
1.0	0.0	summary	0	78.419000795	ib	16
1.0	0.0	summary	0	144.687012179	ib	17
1.0	0.0	summary	0	226.30208905	ib	18
0.01	0.99	summary	0	136.619101559	ib	19
1.0	0.0	summary	0	296.924052127	ib	20
1.0	0.0	summary	0	417.447407578	ib	21
1.0	0.0	summary	0	97.6298672207	ib	22
1.0	0.0	summary	0	259.92501779	ib	23
1.0	0.0	summary	0	55.5329423379	ib	24
1.0	0.0	summary	0	104.040460768	ib	25
1.0	0.0	summary	0	216.019840671	ib	26
1.0	0.0	summary	0	579.567240412	ib	27
1.0	0.0	summary	0	121.582662113	ib	28
1.0	0.0	summary	0	268.016828096	ib	29
1.0	0.0	summary	0	280.017673628	ib	30
