alpha	beta	ds	gamma	loss	scheme	topic
0.01	0.99	summary	0	214.329049634	lmd	1
1.0	0.0	summary	0	495.581417655	lmd	2
1.0	0.0	summary	0	44.7619340017	lmd	3
1.0	0.0	summary	0	207.485516916	lmd	4
1.0	0.0	summary	0	260.938760446	lmd	5
1.0	0.0	summary	0	281.323676668	lmd	6
0.97	0.03	summary	0	320.015499115	lmd	7
1.0	0.0	summary	0	295.382575031	lmd	8
0.01	0.99	summary	0	19.5599981747	lmd	9
0.01	0.99	summary	0	37.8243408993	lmd	10
1.0	0.0	summary	0	194.016755947	lmd	11
0.01	0.99	summary	0	310.576595167	lmd	12
0.01	0.99	summary	0	217.887014231	lmd	13
1.0	0.0	summary	0	160.830351128	lmd	14
0.01	0.99	summary	0	211.532899018	lmd	15
1.0	0.0	summary	0	72.6212477919	lmd	16
0.01	0.99	summary	0	144.428165619	lmd	17
1.0	0.0	summary	0	229.270587816	lmd	18
0.01	0.99	summary	0	154.325979682	lmd	19
1.0	0.0	summary	0	296.89363026	lmd	20
1.0	0.0	summary	0	423.582477324	lmd	21
1.0	0.0	summary	0	82.6154033232	lmd	22
1.0	0.0	summary	0	256.909421141	lmd	23
1.0	0.0	summary	0	114.533316343	lmd	24
0.01	0.99	summary	0	104.041727707	lmd	25
1.0	0.0	summary	0	216.019516814	lmd	26
1.0	0.0	summary	0	579.603042372	lmd	27
1.0	0.0	summary	0	115.862543139	lmd	28
1.0	0.0	summary	0	268.016724051	lmd	29
1.0	0.0	summary	0	280.017886067	lmd	30
