alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	164.367061229	lmj	1
1.0	0.0	summary	0	423.981559958	lmj	2
1.0	0.0	summary	0	38.4636172518	lmj	3
0.73	0.27	summary	0	153.305718703	lmj	4
1.0	0.0	summary	0	191.512508703	lmj	5
0.94	0.06	summary	0	244.340237281	lmj	6
1.0	0.0	summary	0	240.774418776	lmj	7
0.69	0.31	summary	0	236.958333905	lmj	8
0.5	0.5	summary	0	7.93847595516	lmj	9
0.67	0.33	summary	0	21.0275528459	lmj	10
0.82	0.18	summary	0	154.928496783	lmj	11
0.61	0.39	summary	0	197.328337236	lmj	12
0.92	0.08	summary	0	169.841766468	lmj	13
0.97	0.03	summary	0	140.497278955	lmj	14
0.56	0.44	summary	0	102.601163632	lmj	15
1.0	0.0	summary	0	59.7864357791	lmj	16
0.86	0.14	summary	0	84.3251415963	lmj	17
1.0	0.0	summary	0	144.531693361	lmj	18
0.88	0.12	summary	0	93.1087811838	lmj	19
1.0	0.0	summary	0	261.793597707	lmj	20
0.93	0.07	summary	0	246.050748128	lmj	21
1.0	0.0	summary	0	59.5678570318	lmj	22
1.0	0.0	summary	0	203.483071675	lmj	23
1.0	0.0	summary	0	77.2532478108	lmj	24
0.8	0.2	summary	0	93.3021232439	lmj	25
0.97	0.03	summary	0	160.601422934	lmj	26
1.0	0.0	summary	0	360.185739427	lmj	27
1.0	0.0	summary	0	68.9134947079	lmj	28
0.83	0.17	summary	0	192.343325561	lmj	29
1.0	0.0	summary	0	244.720940118	lmj	30
