alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	217.362249671	tfidf	1
0.01	0.99	summary	0	472.104979984	tfidf	2
1.0	0.0	summary	0	47.7660582657	tfidf	3
0.01	0.99	summary	0	210.29117629	tfidf	4
0.01	0.99	summary	0	257.921797083	tfidf	5
1.0	0.0	summary	0	281.263181885	tfidf	6
0.01	0.99	summary	0	320.015605896	tfidf	7
1.0	0.0	summary	0	298.388677517	tfidf	8
0.01	0.99	summary	0	19.955756384	tfidf	9
0.01	0.99	summary	0	35.3208782457	tfidf	10
0.01	0.99	summary	0	196.958464201	tfidf	11
0.01	0.99	summary	0	310.557561897	tfidf	12
0.01	0.99	summary	0	206.236511956	tfidf	13
0.01	0.99	summary	0	163.770856563	tfidf	14
0.01	0.99	summary	0	202.731924261	tfidf	15
0.01	0.99	summary	0	75.5177665272	tfidf	16
0.01	0.99	summary	0	147.59065732	tfidf	17
1.0	0.0	summary	0	229.266563698	tfidf	18
0.01	0.99	summary	0	136.4929956	tfidf	19
1.0	0.0	summary	0	276.030360231	tfidf	20
1.0	0.0	summary	0	411.668916326	tfidf	21
1.0	0.0	summary	0	88.4205731993	tfidf	22
0.01	0.99	summary	0	259.948267092	tfidf	23
1.0	0.0	summary	0	117.533559774	tfidf	24
0.01	0.99	summary	0	104.041639547	tfidf	25
1.0	0.0	summary	0	216.01964887	tfidf	26
1.0	0.0	summary	0	579.589644643	tfidf	27
0.01	0.99	summary	0	115.85899682	tfidf	28
1.0	0.0	summary	0	268.016826756	tfidf	29
1.0	0.0	summary	0	280.017007272	tfidf	30
