alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	266.811588519	ib	bm25	1
0.99	0.01	summary	582.435876197	ib	bm25	2
0.99	0.01	summary	61.930096552	ib	bm25	3
0.99	0.01	summary	239.492360723	ib	bm25	4
0.99	0.01	summary	327.669354097	ib	bm25	5
0.99	0.01	summary	343.779934447	ib	bm25	6
0.99	0.01	summary	383.407372139	ib	bm25	7
0.99	0.01	summary	354.448970865	ib	bm25	8
0.99	0.01	summary	30.9722305155	ib	bm25	9
0.99	0.01	summary	49.8716862852	ib	bm25	10
0.99	0.01	summary	231.637516632	ib	bm25	11
0.99	0.01	summary	368.713375343	ib	bm25	12
0.99	0.01	summary	263.785892676	ib	bm25	13
0.99	0.01	summary	194.665502253	ib	bm25	14
0.99	0.01	summary	251.448683543	ib	bm25	15
0.99	0.01	summary	85.9144875361	ib	bm25	16
0.99	0.01	summary	168.687784646	ib	bm25	17
0.99	0.01	summary	272.559238917	ib	bm25	18
0.99	0.01	summary	168.785887504	ib	bm25	19
0.99	0.01	summary	356.712898841	ib	bm25	20
0.99	0.01	summary	508.581199484	ib	bm25	21
0.99	0.01	summary	113.782657832	ib	bm25	22
0.99	0.01	summary	314.804125929	ib	bm25	23
0.99	0.01	summary	137.646982587	ib	bm25	24
0.99	0.01	summary	131.902659985	ib	bm25	25
0.99	0.01	summary	263.587730545	ib	bm25	26
0.99	0.01	summary	716.322055378	ib	bm25	27
0.99	0.01	summary	145.851502301	ib	bm25	28
0.99	0.01	summary	331.610239684	ib	bm25	29
0.99	0.01	summary	343.694342046	ib	bm25	30
