alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	263.401063879	ib	dfr	1
0.99	0.01	summary	581.146391989	ib	dfr	2
0.0	1.0	summary	59.7252855355	ib	dfr	3
0.99	0.01	summary	250.241585318	ib	dfr	4
0.99	0.01	summary	315.851377045	ib	dfr	5
0.0	1.0	summary	349.202672073	ib	dfr	6
0.49	0.51	summary	384.014222307	ib	dfr	7
0.0	1.0	summary	354.33760759	ib	dfr	8
0.0	1.0	summary	30.639713986	ib	dfr	9
0.99	0.01	summary	46.1816467114	ib	dfr	10
0.0	1.0	summary	229.973201894	ib	dfr	11
0.99	0.01	summary	379.607986076	ib	dfr	12
0.99	0.01	summary	256.131209042	ib	dfr	13
0.0	1.0	summary	198.745599724	ib	dfr	14
0.0	1.0	summary	236.686204059	ib	dfr	15
0.99	0.01	summary	87.5979363289	ib	dfr	16
0.0	1.0	summary	182.651695205	ib	dfr	17
0.99	0.01	summary	280.331046346	ib	dfr	18
0.99	0.01	summary	169.436002472	ib	dfr	19
0.99	0.01	summary	363.891071689	ib	dfr	20
0.0	1.0	summary	512.64395366	ib	dfr	21
0.17	0.83	summary	108.395987462	ib	dfr	22
0.99	0.01	summary	305.926443358	ib	dfr	23
0.0	1.0	summary	136.491156399	ib	dfr	24
0.52	0.48	summary	128.035617706	ib	dfr	25
0.52	0.48	summary	256.017398415	ib	dfr	26
0.99	0.01	summary	705.574684834	ib	dfr	27
0.99	0.01	summary	142.808290863	ib	dfr	28
0.49	0.51	summary	316.015400158	ib	dfr	29
0.48	0.52	summary	328.016398327	ib	dfr	30
