alpha	beta	ds	loss	scheme1	scheme2	topic
0.01	0.99	summary	15.2668983701	ib	lmd	1
0.01	0.99	summary	51.0054744643	ib	lmd	2
0.01	0.99	summary	8.53229514123	ib	lmd	3
0.01	0.99	summary	14.2675362687	ib	lmd	4
0.01	0.99	summary	25.2612585535	ib	lmd	5
0.01	0.99	summary	34.7583475007	ib	lmd	6
0.01	0.99	summary	19.2642306302	ib	lmd	7
0.01	0.99	summary	38.257049344	ib	lmd	8
0.01	0.99	summary	1.14776047855	ib	lmd	9
0.01	0.99	summary	4.8003388415	ib	lmd	10
0.01	0.99	summary	19.0134550595	ib	lmd	11
0.01	0.99	summary	25.0130930967	ib	lmd	12
0.01	0.99	summary	21.2639787886	ib	lmd	13
0.45	0.55	summary	30.0085276732	ib	lmd	14
0.01	0.99	summary	17.5163085811	ib	lmd	15
0.18	0.82	summary	6.05451322153	ib	lmd	16
0.01	0.99	summary	12.0204957246	ib	lmd	17
0.01	0.99	summary	15.2663724127	ib	lmd	18
0.01	0.99	summary	18.0141616167	ib	lmd	19
0.01	0.99	summary	27.5112030029	ib	lmd	20
0.01	0.99	summary	33.0083427844	ib	lmd	21
0.01	0.99	summary	9.02884206287	ib	lmd	22
0.01	0.99	summary	24.2618048957	ib	lmd	23
0.01	0.99	summary	17.0144376376	ib	lmd	24
0.08	0.92	summary	5.79061857246	ib	lmd	25
0.01	0.99	summary	12.7690293823	ib	lmd	26
0.01	0.99	summary	89.0032410755	ib	lmd	27
0.01	0.99	summary	9.2845197916	ib	lmd	28
0.01	0.99	summary	16.0161048781	ib	lmd	29
0.01	0.99	summary	16.7665036267	ib	lmd	30
