alpha	beta	ds	loss	scheme1	scheme2	topic
0.48	0.52	summary	253.535621406	ib	lmj	1
0.0	1.0	summary	532.680661923	ib	lmj	2
0.0	1.0	summary	51.0221661097	ib	lmj	3
0.58	0.42	summary	209.164579472	ib	lmj	4
0.99	0.01	summary	286.231468783	ib	lmj	5
0.6	0.4	summary	326.461612576	ib	lmj	6
0.87	0.13	summary	331.942965144	ib	lmj	7
0.27	0.73	summary	319.333677631	ib	lmj	8
0.0	1.0	summary	32.2573997005	ib	lmj	9
0.99	0.01	summary	36.3062383454	ib	lmj	10
0.78	0.22	summary	203.620889014	ib	lmj	11
0.26	0.74	summary	352.079197897	ib	lmj	12
0.38	0.62	summary	241.247714098	ib	lmj	13
0.65	0.35	summary	170.293690095	ib	lmj	14
0.0	1.0	summary	194.681114299	ib	lmj	15
0.89	0.11	summary	82.7479741659	ib	lmj	16
0.99	0.01	summary	151.638942237	ib	lmj	17
0.67	0.33	summary	243.083138651	ib	lmj	18
0.22	0.78	summary	146.371128195	ib	lmj	19
0.99	0.01	summary	327.236961055	ib	lmj	20
0.05	0.95	summary	464.925238866	ib	lmj	21
0.06	0.94	summary	94.7085195054	ib	lmj	22
0.99	0.01	summary	289.870175576	ib	lmj	23
0.94	0.06	summary	107.589790636	ib	lmj	24
0.0	1.0	summary	125.125572937	ib	lmj	25
0.0	1.0	summary	219.365595065	ib	lmj	26
0.89	0.11	summary	554.095882835	ib	lmj	27
0.99	0.01	summary	134.794087761	ib	lmj	28
0.89	0.11	summary	290.488942843	ib	lmj	29
0.99	0.01	summary	306.358673338	ib	lmj	30
