alpha	beta	ds	loss	scheme1	scheme2	topic
0.25	0.75	summary	264.435439432	ib	tfidf	1
0.0	1.0	summary	574.138012907	ib	tfidf	2
0.0	1.0	summary	56.7194000159	ib	tfidf	3
0.99	0.01	summary	249.241745674	ib	tfidf	4
0.99	0.01	summary	311.851104568	ib	tfidf	5
0.99	0.01	summary	344.226020609	ib	tfidf	6
0.52	0.48	summary	392.014225866	ib	tfidf	7
0.0	1.0	summary	349.380323095	ib	tfidf	8
0.99	0.01	summary	24.0976519551	ib	tfidf	9
0.99	0.01	summary	46.183956721	ib	tfidf	10
0.99	0.01	summary	229.97996116	ib	tfidf	11
0.99	0.01	summary	367.607769369	ib	tfidf	12
0.99	0.01	summary	254.131275923	ib	tfidf	13
0.99	0.01	summary	201.760481571	ib	tfidf	14
0.0	1.0	summary	245.678103021	ib	tfidf	15
0.0	1.0	summary	91.5317254017	ib	tfidf	16
0.0	1.0	summary	170.722851176	ib	tfidf	17
0.99	0.01	summary	269.331380751	ib	tfidf	18
0.99	0.01	summary	168.43649157	ib	tfidf	19
0.99	0.01	summary	344.891284838	ib	tfidf	20
0.0	1.0	summary	503.610083179	ib	tfidf	21
0.0	1.0	summary	107.372055207	ib	tfidf	22
0.99	0.01	summary	314.927207732	ib	tfidf	23
0.99	0.01	summary	132.504156549	ib	tfidf	24
0.52	0.48	summary	132.035367265	ib	tfidf	25
0.52	0.48	summary	260.017541771	ib	tfidf	26
0.99	0.01	summary	702.574694579	ib	tfidf	27
0.99	0.01	summary	141.809823252	ib	tfidf	28
0.49	0.51	summary	328.015268337	ib	tfidf	29
0.5	0.5	summary	328.01640572	ib	tfidf	30
