alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	266.805771745	lmd	dfr	1
0.99	0.01	summary	577.401941834	lmd	dfr	2
0.0	1.0	summary	59.918774377	lmd	dfr	3
0.0	1.0	summary	244.524875189	lmd	dfr	4
0.99	0.01	summary	313.673731029	lmd	dfr	5
0.99	0.01	summary	350.773081676	lmd	dfr	6
0.0	1.0	summary	387.40876988	lmd	dfr	7
0.0	1.0	summary	362.424430862	lmd	dfr	8
0.0	1.0	summary	34.971173793	lmd	dfr	9
0.99	0.01	summary	48.8580580388	lmd	dfr	10
0.99	0.01	summary	236.635801584	lmd	dfr	11
0.99	0.01	summary	364.708792107	lmd	dfr	12
0.0	1.0	summary	256.782654686	lmd	dfr	13
0.0	1.0	summary	198.658471822	lmd	dfr	14
0.99	0.01	summary	253.402502062	lmd	dfr	15
0.99	0.01	summary	90.9228153867	lmd	dfr	16
0.99	0.01	summary	180.677549112	lmd	dfr	17
0.0	1.0	summary	276.559695244	lmd	dfr	18
0.0	1.0	summary	165.792841537	lmd	dfr	19
0.99	0.01	summary	365.710811363	lmd	dfr	20
0.0	1.0	summary	512.571170243	lmd	dfr	21
0.0	1.0	summary	114.769367953	lmd	dfr	22
0.0	1.0	summary	315.798618668	lmd	dfr	23
0.0	1.0	summary	142.644155079	lmd	dfr	24
0.28	0.72	summary	123.897208282	lmd	dfr	25
0.99	0.01	summary	259.573148371	lmd	dfr	26
0.99	0.01	summary	702.319078796	lmd	dfr	27
0.99	0.01	summary	150.842705101	lmd	dfr	28
0.0	1.0	summary	311.610878995	lmd	dfr	29
0.0	1.0	summary	351.694771576	lmd	dfr	30
