alpha	beta	ds	loss	scheme1	scheme2	topic
0.01	0.99	summary	15.2668983701	lmd	lmj	1
0.01	0.99	summary	51.0054744643	lmd	lmj	2
0.01	0.99	summary	8.53229514123	lmd	lmj	3
0.01	0.99	summary	14.2675362687	lmd	lmj	4
0.01	0.99	summary	25.2612585535	lmd	lmj	5
0.01	0.99	summary	34.7583475007	lmd	lmj	6
0.01	0.99	summary	19.2642306302	lmd	lmj	7
0.01	0.99	summary	38.257049344	lmd	lmj	8
0.01	0.99	summary	1.14776047855	lmd	lmj	9
0.01	0.99	summary	4.8003388415	lmd	lmj	10
0.01	0.99	summary	19.0134550595	lmd	lmj	11
0.01	0.99	summary	25.0130930967	lmd	lmj	12
0.01	0.99	summary	21.2639787886	lmd	lmj	13
0.45	0.55	summary	30.0085276732	lmd	lmj	14
0.01	0.99	summary	17.5163085811	lmd	lmj	15
0.18	0.82	summary	6.05451322153	lmd	lmj	16
0.01	0.99	summary	12.0204957246	lmd	lmj	17
0.01	0.99	summary	15.2663724127	lmd	lmj	18
0.01	0.99	summary	18.0141616167	lmd	lmj	19
0.01	0.99	summary	27.5112030029	lmd	lmj	20
0.01	0.99	summary	33.0083427844	lmd	lmj	21
0.01	0.99	summary	9.02884206287	lmd	lmj	22
0.01	0.99	summary	24.2618048957	lmd	lmj	23
0.01	0.99	summary	17.0144376376	lmd	lmj	24
0.08	0.92	summary	5.79061857246	lmd	lmj	25
0.01	0.99	summary	12.7690293823	lmd	lmj	26
0.01	0.99	summary	89.0032410755	lmd	lmj	27
0.01	0.99	summary	9.2845197916	lmd	lmj	28
0.01	0.99	summary	16.0161048781	lmd	lmj	29
0.01	0.99	summary	16.7665036267	lmd	lmj	30
