alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	267.805889745	lmj	dfr	1
0.99	0.01	summary	572.412376331	lmj	dfr	2
0.0	1.0	summary	59.918774377	lmj	dfr	3
0.99	0.01	summary	248.491645696	lmj	dfr	4
0.99	0.01	summary	306.689463865	lmj	dfr	5
0.0	1.0	summary	347.77330319	lmj	dfr	6
0.0	1.0	summary	391.40876988	lmj	dfr	7
0.0	1.0	summary	367.424430862	lmj	dfr	8
0.0	1.0	summary	33.971173793	lmj	dfr	9
0.0	1.0	summary	45.8763056779	lmj	dfr	10
0.0	1.0	summary	237.636678008	lmj	dfr	11
0.99	0.01	summary	356.709427297	lmj	dfr	12
0.0	1.0	summary	252.782654686	lmj	dfr	13
0.0	1.0	summary	194.658471822	lmj	dfr	14
0.0	1.0	summary	251.410468764	lmj	dfr	15
0.99	0.01	summary	85.9151041374	lmj	dfr	16
0.0	1.0	summary	181.684187355	lmj	dfr	17
0.0	1.0	summary	280.559695244	lmj	dfr	18
0.99	0.01	summary	178.783829167	lmj	dfr	19
0.0	1.0	summary	354.722027706	lmj	dfr	20
0.0	1.0	summary	513.571170243	lmj	dfr	21
0.0	1.0	summary	118.769367953	lmj	dfr	22
0.0	1.0	summary	319.798618668	lmj	dfr	23
0.0	1.0	summary	139.644155079	lmj	dfr	24
0.99	0.01	summary	135.888119627	lmj	dfr	25
0.99	0.01	summary	275.571241849	lmj	dfr	26
0.0	1.0	summary	703.351403992	lmj	dfr	27
0.0	1.0	summary	144.855012634	lmj	dfr	28
0.0	1.0	summary	339.610878995	lmj	dfr	29
0.0	1.0	summary	339.694771576	lmj	dfr	30
