alpha	beta	gamma	loss	scheme1	scheme2	scheme3	topic
0.01	0.99	0.0	276.376771079	dfr	bm25	lmj	1
0.01	0.99	0.0	599.080878632	dfr	bm25	lmj	2
0.01	0.99	0.0	59.6558253489	dfr	bm25	lmj	3
0.0001	0.0099	0.99	258.300997947	dfr	bm25	lmj	4
0.01	0.99	0.0	321.892538684	dfr	bm25	lmj	5
1.0	0.0	0.0	353.202672073	dfr	bm25	lmj	6
0.38	0.38	0.24	400.013391297	dfr	bm25	lmj	7
1.0	0.0	0.0	374.33760759	dfr	bm25	lmj	8
1.0	0.0	0.0	31.639713986	dfr	bm25	lmj	9
0.8	0.2	0.0	43.2558920455	dfr	bm25	lmj	10
0.01	0.99	0.0	240.895962384	dfr	bm25	lmj	11
0.01	0.99	0.0	373.624480402	dfr	bm25	lmj	12
0.74	0.0	0.26	260.143477529	dfr	bm25	lmj	13
1.0	0.0	0.0	197.745599724	dfr	bm25	lmj	14
0.0001	0.0099	0.99	257.650496784	dfr	bm25	lmj	15
0.0001	0.0099	0.99	87.6136972412	dfr	bm25	lmj	16
1.0	0.0	0.0	182.651695205	dfr	bm25	lmj	17
1.0	0.0	0.0	285.341016161	dfr	bm25	lmj	18
0.0001	0.0099	0.99	176.363309532	dfr	bm25	lmj	19
0.01	0.0	0.99	372.916876999	dfr	bm25	lmj	20
0.01	0.99	0.0	522.635848652	dfr	bm25	lmj	21
0.01	0.99	0.0	117.320894788	dfr	bm25	lmj	22
0.01	0.0	0.99	320.878160398	dfr	bm25	lmj	23
1.0	0.0	0.0	140.491156399	dfr	bm25	lmj	24
0.3619	0.4081	0.23	132.034958186	dfr	bm25	lmj	25
0.3445	0.3055	0.35	272.016661344	dfr	bm25	lmj	26
0.01	0.99	0.0	732.549294739	dfr	bm25	lmj	27
0.01	0.0	0.99	147.725676653	dfr	bm25	lmj	28
0.2679	0.3021	0.43	336.014278326	dfr	bm25	lmj	29
0.3796	0.3504	0.27	344.015862008	dfr	bm25	lmj	30
