alpha	beta	gamma	loss	scheme1	scheme2	scheme3	topic
0.01	0.99	0.0	276.376771079	dfr	bm25	tfidf	1
0.01	0.99	0.0	604.080878632	dfr	bm25	tfidf	2
0.01	0.99	0.0	60.6558253489	dfr	bm25	tfidf	3
0.01	0.99	0.0	258.349182598	dfr	bm25	tfidf	4
0.01	0.99	0.0	325.892538684	dfr	bm25	tfidf	5
1.0	0.0	0.0	358.202672073	dfr	bm25	tfidf	6
0.3577	0.3723	0.27	404.013308738	dfr	bm25	tfidf	7
1.0	0.0	0.0	369.33760759	dfr	bm25	tfidf	8
1.0	0.0	0.0	31.639713986	dfr	bm25	tfidf	9
0.8	0.2	0.0	43.2558920455	dfr	bm25	tfidf	10
0.01	0.99	0.0	240.895962384	dfr	bm25	tfidf	11
0.01	0.99	0.0	365.624480402	dfr	bm25	tfidf	12
1.0	0.0	0.0	265.14380866	dfr	bm25	tfidf	13
1.0	0.0	0.0	202.745599724	dfr	bm25	tfidf	14
0.0002	0.0198	0.98	257.678097426	dfr	bm25	tfidf	15
0.0001	0.0099	0.99	90.5325727898	dfr	bm25	tfidf	16
1.0	0.0	0.0	182.651695205	dfr	bm25	tfidf	17
1.0	0.0	0.0	285.341016161	dfr	bm25	tfidf	18
0.01	0.99	0.0	175.401130285	dfr	bm25	tfidf	19
1.0	0.0	0.0	372.927791831	dfr	bm25	tfidf	20
0.0001	0.0099	0.99	519.610299742	dfr	bm25	tfidf	21
0.01	0.99	0.0	116.320894788	dfr	bm25	tfidf	22
1.0	0.0	0.0	321.944505202	dfr	bm25	tfidf	23
1.0	0.0	0.0	140.491156399	dfr	bm25	tfidf	24
0.4048	0.4752	0.12	128.035447713	dfr	bm25	tfidf	25
0.3942	0.3358	0.27	268.017223313	dfr	bm25	tfidf	26
0.01	0.99	0.0	728.549294739	dfr	bm25	tfidf	27
1.0	0.0	0.0	142.886946697	dfr	bm25	tfidf	28
0.2891	0.3009	0.41	328.014669683	dfr	bm25	tfidf	29
0.3008	0.3392	0.36	348.015518693	dfr	bm25	tfidf	30
