alpha	beta	gamma	loss	scheme1	scheme2	scheme3	topic
1.0	0.0	0.0	276.401063879	dfr	ib	tfidf	1
0.0001	0.0099	0.99	597.138074623	dfr	ib	tfidf	2
0.16	0.0	0.84	60.7191894586	dfr	ib	tfidf	3
0.01	0.99	0.0	262.241585318	dfr	ib	tfidf	4
0.01	0.99	0.0	321.851377045	dfr	ib	tfidf	5
1.0	0.0	0.0	357.202672073	dfr	ib	tfidf	6
0.3551	0.3149	0.33	404.013704829	dfr	ib	tfidf	7
1.0	0.0	0.0	368.33760759	dfr	ib	tfidf	8
1.0	0.0	0.0	31.639713986	dfr	ib	tfidf	9
0.01	0.99	0.0	47.1816467114	dfr	ib	tfidf	10
1.0	0.0	0.0	234.973201894	dfr	ib	tfidf	11
0.01	0.99	0.0	385.607986076	dfr	ib	tfidf	12
0.01	0.99	0.0	264.131209042	dfr	ib	tfidf	13
1.0	0.0	0.0	203.745599724	dfr	ib	tfidf	14
0.01	0.0	0.99	253.678131192	dfr	ib	tfidf	15
0.0001	0.0099	0.99	91.5321879483	dfr	ib	tfidf	16
1.0	0.0	0.0	182.651695205	dfr	ib	tfidf	17
0.01	0.99	0.0	285.331046346	dfr	ib	tfidf	18
0.01	0.99	0.0	172.436002472	dfr	ib	tfidf	19
0.01	0.99	0.0	373.891071689	dfr	ib	tfidf	20
0.01	0.0	0.99	523.610383491	dfr	ib	tfidf	21
0.01	0.0	0.99	117.372203635	dfr	ib	tfidf	22
0.01	0.99	0.0	316.926443358	dfr	ib	tfidf	23
1.0	0.0	0.0	139.491156399	dfr	ib	tfidf	24
0.2556	0.4544	0.29	132.034696943	dfr	ib	tfidf	25
0.322	0.378	0.3	272.016861006	dfr	ib	tfidf	26
0.01	0.99	0.0	721.574684834	dfr	ib	tfidf	27
0.01	0.99	0.0	147.808290863	dfr	ib	tfidf	28
0.3465	0.2835	0.37	332.014717305	dfr	ib	tfidf	29
0.3906	0.2294	0.38	340.015881302	dfr	ib	tfidf	30
