alpha	beta	gamma	loss	scheme1	scheme2	scheme3	topic
0.01	0.99	0.0	268.337348494	dfr	lmd	lmj	1
0.01	0.99	0.0	597.077976153	dfr	lmd	lmj	2
0.01	0.99	0.0	58.6609897889	dfr	lmd	lmj	3
0.0001	0.0099	0.99	257.300709462	dfr	lmd	lmj	4
0.01	0.0	0.99	318.919227173	dfr	lmd	lmj	5
1.0	0.0	0.0	357.202672073	dfr	lmd	lmj	6
0.3375	0.4125	0.25	404.013077745	dfr	lmd	lmj	7
1.0	0.0	0.0	374.33760759	dfr	lmd	lmj	8
1.0	0.0	0.0	31.639713986	dfr	lmd	lmj	9
0.01	0.99	0.0	47.1871185013	dfr	lmd	lmj	10
1.0	0.0	0.0	240.973201894	dfr	lmd	lmj	11
0.0001	0.0099	0.99	377.663469628	dfr	lmd	lmj	12
0.01	0.99	0.0	264.113362519	dfr	lmd	lmj	13
1.0	0.0	0.0	203.745599724	dfr	lmd	lmj	14
0.0001	0.0099	0.99	257.650213877	dfr	lmd	lmj	15
0.01	0.99	0.0	91.4929884345	dfr	lmd	lmj	16
1.0	0.0	0.0	182.651695205	dfr	lmd	lmj	17
1.0	0.0	0.0	285.341016161	dfr	lmd	lmj	18
0.01	0.0	0.99	176.363915171	dfr	lmd	lmj	19
0.01	0.0	0.99	368.916876999	dfr	lmd	lmj	20
0.03	0.0	0.97	527.640211631	dfr	lmd	lmj	21
0.0055	0.5445	0.45	117.361668366	dfr	lmd	lmj	22
0.01	0.0	0.99	321.878160398	dfr	lmd	lmj	23
1.0	0.0	0.0	140.491156399	dfr	lmd	lmj	24
0.3072	0.3328	0.36	132.036467124	dfr	lmd	lmj	25
0.3968	0.2432	0.36	272.016987207	dfr	lmd	lmj	26
0.01	0.99	0.0	726.579351403	dfr	lmd	lmj	27
0.0001	0.0099	0.99	147.724619095	dfr	lmd	lmj	28
0.3135	0.2365	0.45	336.014505062	dfr	lmd	lmj	29
0.3825	0.3675	0.25	348.015738914	dfr	lmd	lmj	30
