alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	263.376585463	ib	bm25	1
0.0	1.0	summary	580.079833122	ib	bm25	2
0.0	1.0	summary	59.65522928	ib	bm25	3
0.99	0.01	summary	236.241438309	ib	bm25	4
0.99	0.01	summary	324.850825124	ib	bm25	5
0.99	0.01	summary	341.226622218	ib	bm25	6
0.5	0.5	summary	380.013985089	ib	bm25	7
0.0	1.0	summary	352.372465038	ib	bm25	8
0.0	1.0	summary	27.889356788	ib	bm25	9
0.99	0.01	summary	47.1817073351	ib	bm25	10
0.0	1.0	summary	228.895246835	ib	bm25	11
0.99	0.01	summary	365.607311684	ib	bm25	12
0.99	0.01	summary	261.131393364	ib	bm25	13
0.99	0.01	summary	192.760802059	ib	bm25	14
0.0	1.0	summary	248.688145243	ib	bm25	15
0.99	0.01	summary	82.597613208	ib	bm25	16
0.0	1.0	summary	165.690122727	ib	bm25	17
0.99	0.01	summary	269.331411658	ib	bm25	18
0.0	1.0	summary	166.400571303	ib	bm25	19
0.99	0.01	summary	353.891685123	ib	bm25	20
0.0	1.0	summary	505.635803059	ib	bm25	21
0.0	1.0	summary	111.320257093	ib	bm25	22
0.99	0.01	summary	311.926788069	ib	bm25	23
0.99	0.01	summary	135.504790013	ib	bm25	24
0.5	0.5	summary	128.033338861	ib	bm25	25
0.52	0.48	summary	260.017219516	ib	bm25	26
0.0	1.0	summary	715.548841398	ib	bm25	27
0.99	0.01	summary	142.809516851	ib	bm25	28
0.5	0.5	summary	328.015396379	ib	bm25	29
0.51	0.49	summary	340.016280585	ib	bm25	30
0.0	1.0	summary	263.401063879	ib	dfr	1
0.99	0.01	summary	581.146391989	ib	dfr	2
0.0	1.0	summary	59.7252855355	ib	dfr	3
0.99	0.01	summary	250.241585318	ib	dfr	4
0.99	0.01	summary	315.851377045	ib	dfr	5
0.0	1.0	summary	349.202672073	ib	dfr	6
0.49	0.51	summary	384.014222307	ib	dfr	7
0.0	1.0	summary	354.33760759	ib	dfr	8
0.0	1.0	summary	30.639713986	ib	dfr	9
0.99	0.01	summary	46.1816467114	ib	dfr	10
0.0	1.0	summary	229.973201894	ib	dfr	11
0.99	0.01	summary	379.607986076	ib	dfr	12
0.99	0.01	summary	256.131209042	ib	dfr	13
0.0	1.0	summary	198.745599724	ib	dfr	14
0.0	1.0	summary	236.686204059	ib	dfr	15
0.99	0.01	summary	87.5979363289	ib	dfr	16
0.0	1.0	summary	182.651695205	ib	dfr	17
0.99	0.01	summary	280.331046346	ib	dfr	18
0.99	0.01	summary	169.436002472	ib	dfr	19
0.99	0.01	summary	363.891071689	ib	dfr	20
0.0	1.0	summary	512.64395366	ib	dfr	21
0.17	0.83	summary	108.395987462	ib	dfr	22
0.99	0.01	summary	305.926443358	ib	dfr	23
0.0	1.0	summary	136.491156399	ib	dfr	24
0.52	0.48	summary	128.035617706	ib	dfr	25
0.52	0.48	summary	256.017398415	ib	dfr	26
0.99	0.01	summary	705.574684834	ib	dfr	27
0.99	0.01	summary	142.808290863	ib	dfr	28
0.49	0.51	summary	316.015400158	ib	dfr	29
0.48	0.52	summary	328.016398327	ib	dfr	30
0.0	1.0	summary	267.336765575	ib	lmd	1
0.0	1.0	summary	583.076899119	ib	lmd	2
0.0	1.0	summary	59.6604146884	ib	lmd	3
0.99	0.01	summary	248.241137249	ib	lmd	4
0.99	0.01	summary	309.851588889	ib	lmd	5
0.0	1.0	summary	344.216416812	ib	lmd	6
0.48	0.52	summary	380.013577215	ib	lmd	7
0.0	1.0	summary	364.406985289	ib	lmd	8
0.99	0.01	summary	24.0981586057	ib	lmd	9
0.64	0.36	summary	47.1787009087	ib	lmd	10
0.99	0.01	summary	228.979918232	ib	lmd	11
0.99	0.01	summary	368.607782616	ib	lmd	12
0.0	1.0	summary	257.113099726	ib	lmd	13
0.99	0.01	summary	197.760447717	ib	lmd	14
0.0	1.0	summary	243.655356725	ib	lmd	15
0.0	1.0	summary	83.4913874305	ib	lmd	16
0.0	1.0	summary	174.662636548	ib	lmd	17
0.99	0.01	summary	265.331557018	ib	lmd	18
0.99	0.01	summary	175.436510026	ib	lmd	19
0.99	0.01	summary	359.89115212	ib	lmd	20
0.0	1.0	summary	501.655013013	ib	lmd	21
0.0	1.0	summary	112.365371957	ib	lmd	22
0.99	0.01	summary	310.926426338	ib	lmd	23
0.99	0.01	summary	132.505074543	ib	lmd	24
0.5	0.5	summary	128.034843835	ib	lmd	25
0.52	0.48	summary	260.017323879	ib	lmd	26
0.99	0.01	summary	703.574519404	ib	lmd	27
0.31	0.69	summary	142.794382225	ib	lmd	28
0.5	0.5	summary	328.015018142	ib	lmd	29
0.51	0.49	summary	340.016323141	ib	lmd	30
0.0	1.0	summary	268.405579281	ib	lmj	1
0.0	1.0	summary	586.100359206	ib	lmj	2
0.0	1.0	summary	55.7688068527	ib	lmj	3
0.99	0.01	summary	253.240926591	ib	lmj	4
0.99	0.01	summary	314.851098708	ib	lmj	5
0.99	0.01	summary	345.225727486	ib	lmj	6
0.54	0.46	summary	384.014369119	ib	lmj	7
0.0	1.0	summary	369.399802155	ib	lmj	8
0.0	1.0	summary	31.7378633352	ib	lmj	9
0.99	0.01	summary	45.1839193003	ib	lmj	10
0.99	0.01	summary	234.979856816	ib	lmj	11
0.99	0.01	summary	376.607691737	ib	lmj	12
0.99	0.01	summary	259.131223792	ib	lmj	13
0.99	0.01	summary	199.760632802	ib	lmj	14
0.0	1.0	summary	244.65020995	ib	lmj	15
0.84	0.16	summary	87.5965937449	ib	lmj	16
0.99	0.01	summary	177.740192762	ib	lmj	17
0.99	0.01	summary	281.331197732	ib	lmj	18
0.0	1.0	summary	164.362991366	ib	lmj	19
0.99	0.01	summary	351.890945811	ib	lmj	20
0.0	1.0	summary	502.640214828	ib	lmj	21
0.0	1.0	summary	112.367308064	ib	lmj	22
0.0	1.0	summary	305.877542514	ib	lmj	23
0.99	0.01	summary	137.504420778	ib	lmj	24
0.5	0.5	summary	132.035911197	ib	lmj	25
0.52	0.48	summary	256.017473758	ib	lmj	26
0.99	0.01	summary	702.574894227	ib	lmj	27
0.0	1.0	summary	145.724160382	ib	lmj	28
0.48	0.52	summary	324.014985289	ib	lmj	29
0.54	0.46	summary	332.016591692	ib	lmj	30
0.25	0.75	summary	264.435439432	ib	tfidf	1
0.0	1.0	summary	574.138012907	ib	tfidf	2
0.0	1.0	summary	56.7194000159	ib	tfidf	3
0.99	0.01	summary	249.241745674	ib	tfidf	4
0.99	0.01	summary	311.851104568	ib	tfidf	5
0.99	0.01	summary	344.226020609	ib	tfidf	6
0.52	0.48	summary	392.014225866	ib	tfidf	7
0.0	1.0	summary	349.380323095	ib	tfidf	8
0.99	0.01	summary	24.0976519551	ib	tfidf	9
0.99	0.01	summary	46.183956721	ib	tfidf	10
0.99	0.01	summary	229.97996116	ib	tfidf	11
0.99	0.01	summary	367.607769369	ib	tfidf	12
0.99	0.01	summary	254.131275923	ib	tfidf	13
0.99	0.01	summary	201.760481571	ib	tfidf	14
0.0	1.0	summary	245.678103021	ib	tfidf	15
0.0	1.0	summary	91.5317254017	ib	tfidf	16
0.0	1.0	summary	170.722851176	ib	tfidf	17
0.99	0.01	summary	269.331380751	ib	tfidf	18
0.99	0.01	summary	168.43649157	ib	tfidf	19
0.99	0.01	summary	344.891284838	ib	tfidf	20
0.0	1.0	summary	503.610083179	ib	tfidf	21
0.0	1.0	summary	107.372055207	ib	tfidf	22
0.99	0.01	summary	314.927207732	ib	tfidf	23
0.99	0.01	summary	132.504156549	ib	tfidf	24
0.52	0.48	summary	132.035367265	ib	tfidf	25
0.52	0.48	summary	260.017541771	ib	tfidf	26
0.99	0.01	summary	702.574694579	ib	tfidf	27
0.99	0.01	summary	141.809823252	ib	tfidf	28
0.49	0.51	summary	328.015268337	ib	tfidf	29
0.5	0.5	summary	328.01640572	ib	tfidf	30
