alpha	beta	gamma	loss	scheme1	scheme2	scheme3	topic
0.01	0.99	0.0	276.401398649	ib	dfr	tfidf	1
0.01	0.0	0.99	597.138070551	ib	dfr	tfidf	2
0.001	0.099	0.9	60.7193085558	ib	dfr	tfidf	3
1.0	0.0	0.0	262.240400298	ib	dfr	tfidf	4
1.0	0.0	0.0	321.850461838	ib	dfr	tfidf	5
0.01	0.99	0.0	357.202863772	ib	dfr	tfidf	6
0.3149	0.3551	0.33	404.013704829	ib	dfr	tfidf	7
0.01	0.99	0.0	368.338362756	ib	dfr	tfidf	8
0.01	0.99	0.0	31.6432113949	ib	dfr	tfidf	9
1.0	0.0	0.0	47.1811974734	ib	dfr	tfidf	10
0.01	0.99	0.0	234.973209333	ib	dfr	tfidf	11
1.0	0.0	0.0	385.607195403	ib	dfr	tfidf	12
1.0	0.0	0.0	264.131136743	ib	dfr	tfidf	13
0.01	0.99	0.0	203.745704649	ib	dfr	tfidf	14
0.0001	0.0099	0.99	253.678140075	ib	dfr	tfidf	15
0.01	0.0	0.99	91.532180702	ib	dfr	tfidf	16
0.01	0.99	0.0	182.65245308	ib	dfr	tfidf	17
1.0	0.0	0.0	285.331031456	ib	dfr	tfidf	18
1.0	0.0	0.0	172.435787673	ib	dfr	tfidf	19
1.0	0.0	0.0	373.890751134	ib	dfr	tfidf	20
0.0001	0.0099	0.99	523.610387773	ib	dfr	tfidf	21
0.0001	0.0099	0.99	117.372204361	ib	dfr	tfidf	22
1.0	0.0	0.0	316.926297653	ib	dfr	tfidf	23
0.01	0.99	0.0	139.491228923	ib	dfr	tfidf	24
0.4544	0.2556	0.29	132.034696943	ib	dfr	tfidf	25
0.378	0.322	0.3	272.016861006	ib	dfr	tfidf	26
1.0	0.0	0.0	721.574485603	ib	dfr	tfidf	27
1.0	0.0	0.0	147.807602892	ib	dfr	tfidf	28
0.2835	0.3465	0.37	332.014717305	ib	dfr	tfidf	29
0.2294	0.3906	0.38	340.015881302	ib	dfr	tfidf	30
