scheme1	scheme2	ds	topic	loss	alpha
tfidf	bm25	description	1.0	748.552204858	0.99
tfidf	ib	description	1.0	748.552204447	0.99
tfidf	lmd	description	1.0	748.552204782	0.99
tfidf	lmj	description	1.0	748.552204527	0.99
tfidf	dfr	description	1.0	748.552204421	0.99
bm25	ib	description	1.0	748.552210588	0.0
bm25	lmd	description	1.0	748.552244113	0.0
bm25	lmj	description	1.0	748.552218569	0.0
bm25	dfr	description	1.0	748.552207958	0.0
ib	lmd	description	1.0	748.552210924	0.99
ib	lmj	description	1.0	748.552210668	0.99
ib	dfr	description	1.0	748.552207958	0.0
lmd	lmj	description	1.0	748.552218569	0.0
lmd	dfr	description	1.0	748.552207958	0.0
lmj	dfr	description	1.0	748.552207958	0.0
tfidf	bm25	description	2.0	741.798463811	0.01
tfidf	ib	description	2.0	741.79839965	0.0
tfidf	lmd	description	2.0	741.798343772	0.0
tfidf	lmj	description	2.0	741.798343597	0.0
tfidf	dfr	description	2.0	741.798374553	0.0
bm25	ib	description	2.0	741.79839965	0.0
bm25	lmd	description	2.0	741.798343772	0.0
bm25	lmj	description	2.0	741.798343597	0.0
bm25	dfr	description	2.0	741.798374553	0.0
ib	lmd	description	2.0	741.798343772	0.0
ib	lmj	description	2.0	741.798343597	0.0
ib	dfr	description	2.0	741.798374553	0.0
lmd	lmj	description	2.0	741.798343597	0.0
lmd	dfr	description	2.0	741.79834408	0.99
lmj	dfr	description	2.0	741.798343906	0.99
tfidf	bm25	description	3.0	762.615273369	0.99
tfidf	ib	description	3.0	762.615245001	0.0
tfidf	lmd	description	3.0	762.615250487	0.0
tfidf	lmj	description	3.0	762.615273584	0.99
tfidf	dfr	description	3.0	762.615249437	0.0
bm25	ib	description	3.0	762.615245001	0.0
bm25	lmd	description	3.0	762.615250487	0.0
bm25	lmj	description	3.0	762.615286993	0.99
bm25	dfr	description	3.0	762.615249437	0.0
ib	lmd	description	3.0	762.615245056	0.99
ib	lmj	description	3.0	762.615245635	0.99
ib	dfr	description	3.0	762.615245045	0.99
lmd	lmj	description	3.0	762.615251065	0.99
lmd	dfr	description	3.0	762.615249437	0.0
lmj	dfr	description	3.0	762.615249437	0.0
tfidf	bm25	description	4.0	754.73066413	0.01
tfidf	ib	description	4.0	754.730698355	0.99
