alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	258.759465113	tfidf	bm25	1
0.0	1.0	summary	540.296554082	tfidf	bm25	2
0.0	1.0	summary	57.8714222971	tfidf	bm25	3
0.02	0.98	summary	221.983037025	tfidf	bm25	4
0.54	0.46	summary	292.604943133	tfidf	bm25	5
0.99	0.01	summary	331.980398273	tfidf	bm25	6
0.99	0.01	summary	355.684137993	tfidf	bm25	7
0.99	0.01	summary	323.292234999	tfidf	bm25	8
0.99	0.01	summary	29.1307949194	tfidf	bm25	9
0.0	1.0	summary	37.7116379523	tfidf	bm25	10
0.0	1.0	summary	209.693367059	tfidf	bm25	11
0.0	1.0	summary	339.594026746	tfidf	bm25	12
0.0	1.0	summary	244.154365956	tfidf	bm25	13
0.99	0.01	summary	181.203102271	tfidf	bm25	14
0.99	0.01	summary	219.915130446	tfidf	bm25	15
0.99	0.01	summary	87.8506121093	tfidf	bm25	16
0.5	0.5	summary	157.402366426	tfidf	bm25	17
0.99	0.01	summary	247.980627991	tfidf	bm25	18
0.0	1.0	summary	154.113432414	tfidf	bm25	19
0.99	0.01	summary	338.809188473	tfidf	bm25	20
0.99	0.01	summary	478.64870497	tfidf	bm25	21
0.99	0.01	summary	103.947242463	tfidf	bm25	22
0.0	1.0	summary	302.18080878	tfidf	bm25	23
0.27	0.73	summary	116.84918223	tfidf	bm25	24
0.99	0.01	summary	124.741084557	tfidf	bm25	25
0.99	0.01	summary	222.546044072	tfidf	bm25	26
0.35	0.65	summary	600.872271675	tfidf	bm25	27
0.0	1.0	summary	128.315174602	tfidf	bm25	28
0.99	0.01	summary	301.550373349	tfidf	bm25	29
0.53	0.47	summary	327.386843144	tfidf	bm25	30
