alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	15.26689837	tfidf	dfr	1
0.99	0.01	summary	51.0054744643	tfidf	dfr	2
0.01	0.99	summary	8.53229688837	tfidf	dfr	3
0.01	0.99	summary	14.2675362838	tfidf	dfr	4
0.01	0.99	summary	25.2612585535	tfidf	dfr	5
0.01	0.99	summary	34.7583475007	tfidf	dfr	6
0.99	0.01	summary	19.26423063	tfidf	dfr	7
0.47	0.53	summary	38.7570370054	tfidf	dfr	8
0.99	0.01	summary	1.1477604742	tfidf	dfr	9
0.01	0.99	summary	4.80033884151	tfidf	dfr	10
0.99	0.01	summary	19.0134550595	tfidf	dfr	11
0.99	0.01	summary	25.0130930967	tfidf	dfr	12
0.99	0.01	summary	21.2639787884	tfidf	dfr	13
0.54	0.46	summary	30.2585110875	tfidf	dfr	14
0.49	0.51	summary	17.7662840241	tfidf	dfr	15
0.01	0.99	summary	6.05451322154	tfidf	dfr	16
0.01	0.99	summary	12.0204958168	tfidf	dfr	17
0.99	0.01	summary	15.2663701065	tfidf	dfr	18
0.01	0.99	summary	18.0141616853	tfidf	dfr	19
0.99	0.01	summary	27.5112030029	tfidf	dfr	20
0.01	0.99	summary	33.0083428281	tfidf	dfr	21
0.01	0.99	summary	9.02884206287	tfidf	dfr	22
0.01	0.99	summary	24.2618048957	tfidf	dfr	23
0.01	0.99	summary	17.0144377216	tfidf	dfr	24
0.53	0.47	summary	6.04020838333	tfidf	dfr	25
0.01	0.99	summary	12.7690293823	tfidf	dfr	26
0.63	0.37	summary	89.5032385883	tfidf	dfr	27
0.99	0.01	summary	9.28442828934	tfidf	dfr	28
0.01	0.99	summary	16.0161048781	tfidf	dfr	29
0.99	0.01	summary	16.7665036266	tfidf	dfr	30
