alpha	beta	ds	loss	scheme1	scheme2	topic
0.0	1.0	summary	259.336765575	tfidf	lmd	1
0.0	1.0	summary	587.076899119	tfidf	lmd	2
0.0	1.0	summary	57.6604146884	tfidf	lmd	3
0.0	1.0	summary	250.321150712	tfidf	lmd	4
0.99	0.01	summary	314.918680283	tfidf	lmd	5
0.0	1.0	summary	344.216416812	tfidf	lmd	6
0.47	0.53	summary	396.013609538	tfidf	lmd	7
0.99	0.01	summary	367.380554181	tfidf	lmd	8
0.99	0.01	summary	24.1824590128	tfidf	lmd	9
0.0	1.0	summary	46.1866337742	tfidf	lmd	10
0.08	0.92	summary	236.010918238	tfidf	lmd	11
0.64	0.36	summary	375.669640837	tfidf	lmd	12
0.0	1.0	summary	243.113099726	tfidf	lmd	13
0.06	0.94	summary	196.786996511	tfidf	lmd	14
0.0	1.0	summary	244.655356725	tfidf	lmd	15
0.0	1.0	summary	90.4913874305	tfidf	lmd	16
0.0	1.0	summary	182.662636548	tfidf	lmd	17
0.99	0.01	summary	281.372158022	tfidf	lmd	18
0.68	0.32	summary	164.511715098	tfidf	lmd	19
0.0	1.0	summary	346.934805753	tfidf	lmd	20
0.99	0.01	summary	510.610491985	tfidf	lmd	21
0.27	0.73	summary	109.364258499	tfidf	lmd	22
0.0	1.0	summary	311.944747744	tfidf	lmd	23
0.99	0.01	summary	136.529804542	tfidf	lmd	24
0.48	0.52	summary	128.037322543	tfidf	lmd	25
0.5	0.5	summary	268.017811022	tfidf	lmd	26
0.0	1.0	summary	699.579197503	tfidf	lmd	27
0.0	1.0	summary	146.797020832	tfidf	lmd	28
0.51	0.49	summary	332.014638399	tfidf	lmd	29
0.51	0.49	summary	328.016194241	tfidf	lmd	30
