alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	15.26689837	tfidf	lmj	1
0.99	0.01	summary	51.0054744643	tfidf	lmj	2
0.01	0.99	summary	8.53229688837	tfidf	lmj	3
0.01	0.99	summary	14.2675362838	tfidf	lmj	4
0.01	0.99	summary	25.2612585535	tfidf	lmj	5
0.01	0.99	summary	34.7583475007	tfidf	lmj	6
0.99	0.01	summary	19.26423063	tfidf	lmj	7
0.47	0.53	summary	38.7570370054	tfidf	lmj	8
0.99	0.01	summary	1.1477604742	tfidf	lmj	9
0.01	0.99	summary	4.80033884151	tfidf	lmj	10
0.99	0.01	summary	19.0134550595	tfidf	lmj	11
0.99	0.01	summary	25.0130930967	tfidf	lmj	12
0.99	0.01	summary	21.2639787884	tfidf	lmj	13
0.54	0.46	summary	30.2585110875	tfidf	lmj	14
0.49	0.51	summary	17.7662840241	tfidf	lmj	15
0.01	0.99	summary	6.05451322154	tfidf	lmj	16
0.01	0.99	summary	12.0204958168	tfidf	lmj	17
0.99	0.01	summary	15.2663701065	tfidf	lmj	18
0.01	0.99	summary	18.0141616853	tfidf	lmj	19
0.99	0.01	summary	27.5112030029	tfidf	lmj	20
0.01	0.99	summary	33.0083428281	tfidf	lmj	21
0.01	0.99	summary	9.02884206287	tfidf	lmj	22
0.01	0.99	summary	24.2618048957	tfidf	lmj	23
0.01	0.99	summary	17.0144377216	tfidf	lmj	24
0.53	0.47	summary	6.04020838333	tfidf	lmj	25
0.01	0.99	summary	12.7690293823	tfidf	lmj	26
0.63	0.37	summary	89.5032385883	tfidf	lmj	27
0.99	0.01	summary	9.28442828934	tfidf	lmj	28
0.01	0.99	summary	16.0161048781	tfidf	lmj	29
0.99	0.01	summary	16.7665036266	tfidf	lmj	30
