rank, pmcid, score
1, 3764714, 0.50794923
2, 3132331, 0.47823593
3, 3403367, 0.46851853
4, 3132663, 0.45187172
5, 416478, 0.39156443
6, 3573492, 0.38490573
7, 3119438, 0.37760636
8, 2827065, 0.3661693
9, 3656690, 0.36601537
10, 2816905, 0.35381463
11, 3831868, 0.34600788
12, 2481241, 0.343221
13, 3465905, 0.33311588
14, 3687640, 0.3276036
15, 2672301, 0.32722878
16, 3505950, 0.32369623
17, 3077507, 0.32140523
18, 3616184, 0.32094237
19, 3482084, 0.3193986
20, 3891422, 0.31409344
21, 3420763, 0.3121341
22, 3214856, 0.30631152
23, 2861177, 0.30438808
24, 3263067, 0.30431038
25, 2783145, 0.29855198
26, 3741979, 0.2957071
27, 3556627, 0.29554245
28, 3371476, 0.29315487
29, 2919553, 0.29178858
30, 1664556, 0.2862364
31, 3852513, 0.28556395
32, 2799065, 0.2840257
33, 2939444, 0.28382328
34, 3459526, 0.28237346
35, 3354864, 0.28178778
36, 2931142, 0.28045872
37, 3884116, 0.2789166
38, 3398309, 0.2781061
39, 2693867, 0.27802962
40, 3546438, 0.2762899
41, 3821143, 0.27580115
42, 3857503, 0.2756776
43, 3095547, 0.2749941
44, 3322929, 0.2734929
45, 2694470, 0.27285784
46, 2931126, 0.2724724
47, 3177917, 0.2713314
48, 3174929, 0.27036217
49, 3145300, 0.26981854
50, 3318881, 0.26959288
51, 3005216, 0.26958194
52, 3317255, 0.2695291
53, 3425271, 0.2670808
54, 2771959, 0.26338086
55, 2630042, 0.26332116
56, 3019596, 0.26319405
57, 2990053, 0.26318893
58, 3544070, 0.26229763
59, 3153717, 0.26060855
60, 3109782, 0.2600981
61, 3844236, 0.25946698
62, 3072537, 0.25936455
63, 2576186, 0.2584522
64, 3557149, 0.25810283
65, 3132697, 0.257385
66, 1896172, 0.25687388
67, 2892669, 0.25593653
68, 3488028, 0.25451818
69, 3245397, 0.2536231
70, 3574827, 0.25163195
71, 3711906, 0.25043762
72, 3625010, 0.24939339
73, 3305386, 0.24898134
74, 2740116, 0.24892217
75, 3096431, 0.2488227
76, 3162827, 0.24854791
77, 3114559, 0.2483408
78, 3046013, 0.24794082
79, 2396176, 0.24761316
80, 2912929, 0.24676204
81, 3702368, 0.2465804
82, 3549447, 0.24649465
83, 2810372, 0.24645895
84, 3806160, 0.2452545
85, 3495354, 0.24498594
86, 2694628, 0.24442565
87, 3654137, 0.24426693
88, 2438311, 0.2425457
89, 3229794, 0.24057989
90, 3317086, 0.24024865
91, 3271560, 0.24004059
92, 2721575, 0.2400065
93, 2941255, 0.23947829
94, 2799007, 0.2393854
95, 3041493, 0.238035
96, 3263074, 0.23776403
97, 3214474, 0.23723319
98, 3125277, 0.23432948
99, 2072951, 0.23399176
100, 2933488, 0.23386258
