rank, pmcid, score
1, 3403367, 0.38013178
2, 3852513, 0.36266136
3, 3459526, 0.35363644
4, 2939444, 0.34329745
5, 3219287, 0.33419248
6, 3132663, 0.32163972
7, 3398309, 0.31218797
8, 1896172, 0.31008846
9, 3109782, 0.29968065
10, 3521774, 0.28934455
11, 3387629, 0.2858045
12, 2827065, 0.28414586
13, 3831868, 0.2810337
14, 1664556, 0.2809139
15, 3567877, 0.28003275
16, 3610459, 0.27644935
17, 3109785, 0.2756447
18, 2919553, 0.27450857
19, 3132331, 0.27069214
20, 3408521, 0.26267478
21, 416478, 0.26173934
22, 3544070, 0.26082808
23, 3764714, 0.25838533
24, 2931142, 0.25461948
25, 3354405, 0.25080734
26, 3843911, 0.24941492
27, 2672301, 0.24545912
28, 3263067, 0.24401867
29, 3245399, 0.24293134
30, 2694628, 0.24262142
31, 3096431, 0.24256468
32, 3271560, 0.24110316
33, 2931126, 0.2407681
34, 3465905, 0.24042888
35, 3228372, 0.23627746
36, 3574827, 0.2362748
37, 2630042, 0.2350386
38, 3326224, 0.23418872
39, 3857284, 0.23372017
40, 3816213, 0.23142433
41, 3263074, 0.22841077
42, 3806160, 0.22777356
43, 3392260, 0.22562817
44, 3205781, 0.22497931
45, 3764717, 0.22482643
46, 3459524, 0.2248187
47, 3072537, 0.22431628
48, 2830929, 0.22400758
49, 3162827, 0.22371545
50, 3576492, 0.2221302
51, 3557149, 0.2214559
52, 3847001, 0.21996856
53, 3857503, 0.21925414
54, 3338242, 0.2177695
55, 3263064, 0.21711436
56, 3666368, 0.21636257
57, 2783145, 0.21593168
58, 2990053, 0.21360013
59, 3866926, 0.21135925
60, 3289784, 0.21034522
61, 3005216, 0.20980297
62, 2576186, 0.20873281
63, 3245402, 0.20702681
64, 2816905, 0.20640896
65, 3112139, 0.20634803
66, 3844236, 0.20621213
67, 2653526, 0.20592171
68, 2697366, 0.20591418
69, 3572985, 0.20590182
70, 3051228, 0.20544535
71, 3495354, 0.2050944
72, 3878513, 0.20508595
73, 3425271, 0.20500155
74, 2892669, 0.20474595
75, 2736585, 0.20444256
76, 3845336, 0.20399533
77, 1175909, 0.20285346
78, 3371476, 0.20222788
79, 1526480, 0.20118771
80, 2823031, 0.19998375
81, 3391847, 0.1986051
82, 3245397, 0.19775969
83, 3831744, 0.1976254
84, 3616184, 0.196983
85, 2467455, 0.19655702
86, 3383189, 0.1964755
87, 2633206, 0.1964691
88, 3546438, 0.19611494
89, 3004490, 0.19585158
90, 3373077, 0.1956172
91, 3482077, 0.19552106
92, 2693867, 0.19474284
93, 3762016, 0.19430664
94, 3159937, 0.19419852
95, 3558406, 0.19383293
96, 3118317, 0.19355434
97, 3411373, 0.19348955
98, 3622346, 0.19338997
99, 2235217, 0.19277723
100, 2769358, 0.19217245
