rank, pmcid, score
1, 2766835, 0.57333773
2, 3603023, 0.5605969
3, 3785158, 0.5570527
4, 3603620, 0.5216159
5, 2827053, 0.48665324
6, 2929215, 0.48618296
7, 3833471, 0.4849984
8, 3129533, 0.4835752
9, 3853474, 0.4825129
10, 2652467, 0.481532
11, 3719271, 0.47894093
12, 2778448, 0.47801286
13, 3665200, 0.4771777
14, 3354875, 0.4757295
15, 3336229, 0.47551262
16, 3375193, 0.4737231
17, 3663438, 0.46952248
18, 3015425, 0.46711794
19, 3221187, 0.4668264
20, 3312196, 0.46622834
21, 3224772, 0.46619904
22, 2496696, 0.46433276
23, 3011326, 0.45963973
24, 2845554, 0.45700157
25, 2390549, 0.45509508
26, 3372338, 0.45502657
27, 1318453, 0.45370832
28, 2612655, 0.45339572
29, 2626575, 0.45058575
30, 3785339, 0.44935405
31, 61035, 0.4489454
32, 2756566, 0.44866598
33, 3573581, 0.4463721
34, 3806705, 0.44562238
35, 1281267, 0.44479963
36, 400670, 0.44418582
37, 3833587, 0.4432429
38, 2868875, 0.44262865
39, 3210844, 0.44210106
40, 150573, 0.44134465
41, 2974929, 0.4408522
42, 3154169, 0.4401943
43, 3383148, 0.44018075
44, 3665183, 0.4379478
45, 3506064, 0.43513763
46, 2790183, 0.43373385
47, 3833481, 0.432441
48, 3600286, 0.42961103
49, 3683415, 0.42920995
50, 2683864, 0.42899558
51, 3276006, 0.42734143
52, 1388220, 0.4269239
53, 3420706, 0.42661878
54, 3579466, 0.42659986
55, 3287463, 0.42655635
56, 2669865, 0.42617932
57, 1523371, 0.42520142
58, 3785150, 0.42492718
59, 3146942, 0.42475852
60, 3609679, 0.42448807
61, 3095901, 0.42375803
62, 3135094, 0.42276916
63, 2918849, 0.4204351
64, 2769306, 0.41912058
65, 3649619, 0.4187587
66, 3249212, 0.41866472
67, 1892029, 0.4176551
68, 2257948, 0.41734675
69, 3521621, 0.41606632
70, 2329860, 0.4158351
71, 2824987, 0.4157213
72, 3195106, 0.41551965
73, 3415045, 0.4150643
74, 3507127, 0.41276768
75, 3628492, 0.41230017
76, 3880707, 0.41221017
77, 3184057, 0.410677
78, 3335656, 0.41024992
79, 2222163, 0.41015524
80, 2802381, 0.40938416
81, 3292982, 0.40899378
82, 3760298, 0.40889013
83, 2783065, 0.40759298
84, 523836, 0.40718812
85, 3625585, 0.40705672
86, 3343686, 0.40655753
87, 3401781, 0.40649852
88, 3102812, 0.4063398
89, 1698139, 0.4061868
90, 3073782, 0.40616062
91, 2776583, 0.40575743
92, 3789905, 0.40557587
93, 3350051, 0.40321675
94, 2924548, 0.40203136
95, 2916111, 0.4009168
96, 3403093, 0.39961842
97, 3114546, 0.3994349
98, 3674534, 0.39877415
99, 3709644, 0.3987686
100, 2245957, 0.39798355
