rank, pmcid, score
1, 2768737, 0.69006306
2, 2270822, 0.6428834
3, 2515901, 0.5194542
4, 2921140, 0.4820247
5, 2671957, 0.45617676
6, 3477044, 0.4551294
7, 3181871, 0.42751795
8, 3449426, 0.42748624
9, 3350949, 0.4251911
10, 3883378, 0.4178785
11, 3461647, 0.3919665
12, 2865463, 0.38635948
13, 3292982, 0.3762745
14, 3655224, 0.37075245
15, 2861844, 0.36838025
16, 2966694, 0.36653987
17, 3670442, 0.35324922
18, 2671773, 0.35129696
19, 2235848, 0.3495983
20, 3443232, 0.34827793
21, 3315257, 0.34637383
22, 2656288, 0.34599203
23, 3012877, 0.33977267
24, 2871168, 0.33955884
25, 2515895, 0.335471
26, 3134924, 0.3338999
27, 2938281, 0.33300194
28, 3836658, 0.33093476
29, 3181740, 0.3288679
30, 2725270, 0.31902003
31, 3148928, 0.31840876
32, 2824975, 0.31656292
33, 3016314, 0.31214046
34, 2834624, 0.30975646
35, 2799971, 0.307996
36, 2089060, 0.3073248
37, 3032892, 0.30563918
38, 3642018, 0.3048369
39, 3615012, 0.3036461
40, 3226531, 0.3016776
41, 3296346, 0.30137548
42, 3627470, 0.29833078
43, 3367292, 0.298272
44, 2515893, 0.29243752
45, 2991977, 0.28990912
46, 2695551, 0.289679
47, 3181849, 0.28930217
48, 3666389, 0.28813857
49, 3513681, 0.28400844
50, 3257900, 0.28360477
51, 3395405, 0.28243718
52, 3691847, 0.2801657
53, 3560600, 0.27868828
54, 549076, 0.2784374
55, 3655930, 0.27428558
56, 2767345, 0.27407306
57, 3339218, 0.27268064
58, 3440572, 0.2716572
59, 3108698, 0.27104568
60, 3608315, 0.27097964
61, 3181867, 0.2672098
62, 3384231, 0.2668201
63, 3324881, 0.26640743
64, 3630939, 0.2641555
65, 2769306, 0.25961944
66, 3507127, 0.258055
67, 1318453, 0.25775608
68, 1664563, 0.2547851
69, 3686769, 0.25442263
70, 3410809, 0.25430447
71, 3665200, 0.25199527
72, 2993902, 0.25185344
73, 2656305, 0.25149018
74, 3395961, 0.2512786
75, 3170591, 0.25036213
76, 3389601, 0.25034687
77, 3776541, 0.24682944
78, 2918303, 0.24647066
79, 2695437, 0.24346922
80, 3852098, 0.24312261
81, 3039003, 0.24286655
82, 2492850, 0.24004388
83, 2265726, 0.23759788
84, 3078905, 0.23230626
85, 3854319, 0.2318072
86, 1584230, 0.22925688
87, 2924526, 0.22876693
88, 3575211, 0.22803959
89, 3565205, 0.22766435
90, 3195150, 0.22761877
91, 3223180, 0.22715001
92, 2987512, 0.2270432
93, 2791917, 0.2234395
94, 3850015, 0.22314985
95, 3856145, 0.22310716
96, 3181563, 0.22250551
97, 3654353, 0.2219124
98, 3181973, 0.22136332
99, 3271480, 0.22054607
100, 3820084, 0.21883503
