rank, pmcid, score
1, 2740076, 0.80873865
2, 3676979, 0.7198308
3, 3596056, 0.6759615
4, 3433555, 0.66097474
5, 2467416, 0.65684134
6, 2546372, 0.653801
7, 3480933, 0.6519694
8, 3267065, 0.619592
9, 3268705, 0.61501336
10, 2687673, 0.61330587
11, 3073784, 0.61027265
12, 3016819, 0.6008593
13, 2908657, 0.5970219
14, 3551405, 0.5851363
15, 2672271, 0.5824548
16, 3745864, 0.5789847
17, 3340971, 0.5727117
18, 3151403, 0.569315
19, 2850845, 0.5636991
20, 2803824, 0.5582866
21, 3649157, 0.55074793
22, 2799961, 0.5355275
23, 3575664, 0.5327519
24, 3304262, 0.532407
25, 3123852, 0.53025186
26, 3016127, 0.5277963
27, 2967696, 0.52532333
28, 2783065, 0.5185684
29, 3355033, 0.51470107
30, 3846936, 0.51463217
31, 3259020, 0.5135313
32, 3628473, 0.51199985
33, 2827146, 0.5095254
34, 3888003, 0.5037689
35, 3125360, 0.49339226
36, 3030803, 0.4905774
37, 3407625, 0.4861012
38, 3600218, 0.48359627
39, 3649187, 0.4799148
40, 3015230, 0.47364822
41, 3663309, 0.47327626
42, 3350117, 0.4719351
43, 2810606, 0.47146934
44, 3445081, 0.47012597
45, 3600251, 0.468449
46, 2887901, 0.46752283
47, 2827435, 0.46565774
48, 3636968, 0.4638408
49, 2896582, 0.4637696
50, 3726238, 0.46340474
51, 3629711, 0.46317607
52, 3016752, 0.4610659
53, 2828091, 0.45942587
54, 3533164, 0.459405
55, 3363056, 0.45921355
56, 3855073, 0.4588838
57, 3874942, 0.45731625
58, 2878678, 0.45389903
59, 3785339, 0.4537947
60, 2014766, 0.45110923
61, 3548361, 0.45057082
62, 3015819, 0.44915268
63, 3083728, 0.4489657
64, 3833587, 0.44773278
65, 2881437, 0.44548708
66, 3134683, 0.4453093
67, 3418018, 0.44520196
68, 2615036, 0.44326553
69, 2943109, 0.44232836
70, 3666183, 0.4401724
71, 3015397, 0.43887287
72, 2442045, 0.43873596
73, 2844848, 0.4357436
74, 2808324, 0.43570513
75, 3075144, 0.43560442
76, 3611104, 0.43552682
77, 1523371, 0.43498355
78, 2740067, 0.43441412
79, 3214682, 0.4326933
80, 3838988, 0.43250743
81, 3003679, 0.43232062
82, 1936994, 0.4320018
83, 3349988, 0.43169034
84, 2737761, 0.43070117
85, 3502786, 0.42785534
86, 2726498, 0.4267609
87, 3002374, 0.42619005
88, 3342549, 0.42614022
89, 3350059, 0.4253283
90, 3651279, 0.4242229
91, 3383148, 0.42344156
92, 3738361, 0.42315683
93, 3015382, 0.42180935
94, 3526876, 0.4208722
95, 2279110, 0.4200315
96, 3433566, 0.41874117
97, 2809077, 0.41667208
98, 3335664, 0.41659123
99, 2803837, 0.4161508
100, 3866077, 0.41512513
