rank, pmcid, score
1, 2892615, 0.5878948
2, 3506220, 0.51542
3, 3833481, 0.47157174
4, 2868875, 0.3991738
5, 3713289, 0.39734146
6, 3264568, 0.3436486
7, 1940253, 0.33609056
8, 3654939, 0.33456337
9, 3833581, 0.3290353
10, 3513310, 0.32532045
11, 3309230, 0.32274714
12, 3263540, 0.31852382
13, 2980628, 0.31564984
14, 3670647, 0.31420636
15, 2790183, 0.31055108
16, 2851695, 0.30872598
17, 3876310, 0.30854177
18, 3309321, 0.30126712
19, 1373644, 0.30042237
20, 3861848, 0.2974143
21, 3895790, 0.29154354
22, 3542889, 0.28724504
23, 3678211, 0.2869908
24, 3724317, 0.2798774
25, 3613646, 0.27680317
26, 3691589, 0.27485937
27, 3086328, 0.27451858
28, 3864880, 0.274401
29, 3561083, 0.2730672
30, 3129533, 0.27300206
31, 3135011, 0.27091685
32, 3358713, 0.26755774
33, 3245382, 0.2646302
34, 3740609, 0.2621131
35, 3585303, 0.26195967
36, 3227226, 0.26158708
37, 2630300, 0.25828508
38, 2929215, 0.25654572
39, 3506153, 0.25409216
40, 3506020, 0.25266397
41, 2631524, 0.24937941
42, 3451906, 0.24821483
43, 3851743, 0.24743423
44, 3202504, 0.24629788
45, 1634849, 0.24584417
46, 3162835, 0.24546267
47, 3445096, 0.24512523
48, 2988848, 0.24418385
49, 1852908, 0.2433033
50, 514562, 0.24274679
51, 2329636, 0.23983842
52, 3880707, 0.23935413
53, 1852382, 0.23930936
54, 3104283, 0.23844287
55, 356919, 0.23784883
56, 3599747, 0.23750171
57, 3434906, 0.23739271
58, 2729310, 0.23679747
59, 3328892, 0.23614654
60, 2783048, 0.23516566
61, 1550245, 0.23454647
62, 2779430, 0.23399828
63, 3712463, 0.23313707
64, 3856285, 0.23283069
65, 2769310, 0.23231626
66, 2914369, 0.23195937
67, 2644696, 0.23185265
68, 2941760, 0.23137426
69, 2867996, 0.23028445
70, 3438873, 0.23028235
71, 3829227, 0.22910285
72, 3098861, 0.22864725
73, 3853387, 0.22771771
74, 3212602, 0.22723459
75, 3469964, 0.22684024
76, 2390549, 0.22505108
77, 3298218, 0.22345763
78, 3347913, 0.22292238
79, 2959157, 0.22263986
80, 3649316, 0.22255236
81, 3809224, 0.2223984
82, 2799065, 0.2223823
83, 3471260, 0.22194165
84, 2671844, 0.2218556
85, 3430891, 0.22014491
86, 3788290, 0.21965575
87, 2672132, 0.21961361
88, 3821125, 0.21950519
89, 2966747, 0.21816292
90, 3309242, 0.21812372
91, 2917397, 0.2165551
92, 3570061, 0.21653928
93, 3385844, 0.21584882
94, 3712165, 0.21556391
95, 2211302, 0.21484849
96, 2034593, 0.21405205
97, 3243071, 0.21395762
98, 3726238, 0.21325628
99, 2769306, 0.21323438
100, 3364074, 0.21316367
