rank, pmcid, score
1, 3562643, 0.68196845
2, 3853387, 0.669462
3, 2245957, 0.62049484
4, 2987954, 0.5695397
5, 3542949, 0.5617113
6, 3420763, 0.55410576
7, 3833587, 0.53600556
8, 3784075, 0.52788347
9, 3415813, 0.52148736
10, 2706800, 0.51978874
11, 3090107, 0.5194412
12, 3291424, 0.5074804
13, 3336229, 0.50336605
14, 2615763, 0.5025334
15, 2700440, 0.50100446
16, 3480933, 0.49963507
17, 2769322, 0.49333012
18, 3177592, 0.49218047
19, 3629711, 0.48665747
20, 2828091, 0.47817525
21, 2605761, 0.4767968
22, 2629964, 0.47473353
23, 3619046, 0.4742867
24, 3622346, 0.47224993
25, 2526070, 0.4710869
26, 3378931, 0.47074872
27, 2829621, 0.46926424
28, 3445145, 0.46867323
29, 2732080, 0.46824536
30, 3877581, 0.4677743
31, 2769286, 0.4674247
32, 3628469, 0.46451384
33, 2672442, 0.4637631
34, 3632018, 0.4602879
35, 3849794, 0.4596792
36, 3878531, 0.45805022
37, 2988808, 0.457829
38, 3488388, 0.45744398
39, 3618104, 0.4566872
40, 3445096, 0.4550024
41, 3700969, 0.45364597
42, 3327834, 0.4526888
43, 3174928, 0.45212007
44, 3518712, 0.4492618
45, 3133999, 0.4488553
46, 3698053, 0.44881362
47, 2827159, 0.44519988
48, 2737789, 0.44497883
49, 3420620, 0.44439414
50, 3683440, 0.44312084
51, 2917397, 0.4400989
52, 3542887, 0.4398027
53, 2740255, 0.4386441
54, 2868875, 0.43753636
55, 3190518, 0.43335387
56, 1824744, 0.43259072
57, 3248865, 0.42798352
58, 3598820, 0.4274291
59, 3487024, 0.4269208
60, 3134683, 0.42497927
61, 3198627, 0.42495868
62, 239964, 0.42414567
63, 3876309, 0.42372543
64, 3459797, 0.42327335
65, 3759689, 0.41807923
66, 2714572, 0.41693735
67, 3199939, 0.41657016
68, 2799065, 0.41615108
69, 2967696, 0.41409275
70, 3151403, 0.41274074
71, 3015473, 0.41215006
72, 3665183, 0.41189018
73, 2881009, 0.41163924
74, 2211302, 0.41008744
75, 3015819, 0.40814334
76, 3502875, 0.4075583
77, 3268705, 0.40648115
78, 3328892, 0.40627712
79, 3502786, 0.40496072
80, 3420078, 0.4044624
81, 2957620, 0.4043459
82, 3335656, 0.40387398
83, 3163220, 0.40379113
84, 3411373, 0.4033073
85, 3398075, 0.4024078
86, 3424654, 0.4017553
87, 2967681, 0.40088737
88, 3405157, 0.4004259
89, 3701786, 0.39979646
90, 3117630, 0.3990293
91, 3469364, 0.39872247
92, 3506075, 0.3985538
93, 2700484, 0.3982473
94, 3574659, 0.3978738
95, 3350152, 0.39759353
96, 3782346, 0.39615107
97, 2741488, 0.39546445
98, 2259431, 0.39538312
99, 3726238, 0.39456773
100, 3572695, 0.39347634
