rank, pmcid, score
1, 3833587, 0.571648
2, 3773459, 0.5535033
3, 2987954, 0.5280972
4, 3618104, 0.5103146
5, 2629964, 0.47546384
6, 3542949, 0.47538966
7, 3291424, 0.45618924
8, 3174928, 0.4535934
9, 2732080, 0.45349973
10, 3562643, 0.45083007
11, 3809936, 0.44350493
12, 2245957, 0.44042155
13, 2737789, 0.43889445
14, 3622346, 0.43772677
15, 3336229, 0.43698943
16, 3090107, 0.43622106
17, 3420763, 0.43364537
18, 2211302, 0.42701793
19, 3649648, 0.42177984
20, 2700440, 0.41905615
21, 3064452, 0.41879964
22, 3811709, 0.41735393
23, 3853387, 0.41586775
24, 2760696, 0.41466022
25, 3518712, 0.4095955
26, 1791015, 0.4073142
27, 2856542, 0.40544868
28, 3619046, 0.39519277
29, 2605761, 0.39213824
30, 3420620, 0.39106497
31, 3890738, 0.39072016
32, 3445145, 0.38972607
33, 3133999, 0.3878049
34, 3415813, 0.3871598
35, 2984325, 0.3824251
36, 3488388, 0.38210067
37, 2827106, 0.3793544
38, 2918831, 0.37847605
39, 3003213, 0.37576085
40, 2572041, 0.3734155
41, 3424654, 0.37004068
42, 3469364, 0.3694549
43, 3117630, 0.36819705
44, 3113998, 0.36713094
45, 3683440, 0.36712027
46, 3877581, 0.36464176
47, 2868875, 0.363662
48, 2945326, 0.36311865
49, 2259431, 0.3623741
50, 2769310, 0.3614948
51, 2702053, 0.35840598
52, 2615763, 0.3568312
53, 3629711, 0.3564292
54, 3529253, 0.35594538
55, 3700969, 0.35565802
56, 3759689, 0.35156855
57, 2279110, 0.35119304
58, 239964, 0.34561998
59, 3876309, 0.34539503
60, 3814076, 0.34519568
61, 2872575, 0.34512004
62, 3849794, 0.34344342
63, 2526070, 0.3416614
64, 3784075, 0.34146342
65, 2769286, 0.34130278
66, 3248865, 0.3410623
67, 3682695, 0.34104183
68, 3459797, 0.33865812
69, 3712681, 0.33819097
70, 2829621, 0.33422872
71, 3021334, 0.33362997
72, 3134683, 0.3331723
73, 2881009, 0.3315958
74, 1824744, 0.32966524
75, 3649302, 0.3295545
76, 3743142, 0.32942447
77, 3003678, 0.3275476
78, 3405157, 0.32718194
79, 3632018, 0.3263941
80, 3378931, 0.32353854
81, 3214682, 0.32342684
82, 2705345, 0.3216349
83, 3023754, 0.32071555
84, 3791839, 0.32055363
85, 3662170, 0.32005107
86, 3658216, 0.31875175
87, 535548, 0.31793952
88, 2918849, 0.31790608
89, 2783080, 0.31706282
90, 3177592, 0.31641892
91, 3502875, 0.31635353
92, 2740255, 0.31568253
93, 3590872, 0.31511
94, 2917397, 0.31497043
95, 3502773, 0.31491518
96, 3541793, 0.31456363
97, 2741488, 0.31403393
98, 3033242, 0.31363487
99, 3521621, 0.31311634
100, 3335656, 0.31215876
