rank, pmcid, score
1, 3639671, 0.43146726
2, 3087163, 0.38722315
3, 2690857, 0.36903942
4, 3570033, 0.3582467
5, 3853870, 0.34926897
6, 2811980, 0.34373155
7, 2706419, 0.33342898
8, 3548374, 0.32766715
9, 2547099, 0.32412615
10, 3487850, 0.3199822
11, 3517946, 0.30874932
12, 3690350, 0.3030581
13, 2366049, 0.2996158
14, 3503704, 0.29883164
15, 3320215, 0.29324403
16, 3792983, 0.29291996
17, 3618463, 0.2915824
18, 3501808, 0.2892604
19, 2909944, 0.28815073
20, 2854938, 0.28744113
21, 3634962, 0.28576562
22, 2668559, 0.2854613
23, 3482604, 0.27797258
24, 3345605, 0.27776247
25, 2864151, 0.2769357
26, 2941760, 0.27631328
27, 3631142, 0.27604482
28, 3552988, 0.27473325
29, 2080348, 0.27420723
30, 2442427, 0.2678785
31, 3317060, 0.2644421
32, 3178148, 0.26437837
33, 3228338, 0.26273707
34, 3285745, 0.26265687
35, 2799065, 0.26086125
36, 3336236, 0.260345
37, 3356348, 0.25832665
38, 3307071, 0.25703707
39, 3200034, 0.2566429
40, 3627448, 0.25556815
41, 2778773, 0.25491488
42, 3398387, 0.25320074
43, 2639208, 0.25254324
44, 3389871, 0.25166702
45, 3457973, 0.25149718
46, 3422757, 0.25035986
47, 3747049, 0.24752724
48, 3062610, 0.24646404
49, 3151599, 0.24550086
50, 3492014, 0.24505356
51, 3087473, 0.24488139
52, 3475097, 0.24442565
53, 3108084, 0.2431081
54, 3800847, 0.24136643
55, 3513310, 0.24082088
56, 3570061, 0.24032846
57, 3548361, 0.23953526
58, 3870310, 0.23924044
59, 3266198, 0.23868755
60, 3152170, 0.2384615
61, 3591420, 0.23809592
62, 3724895, 0.23794457
63, 3157093, 0.23757944
64, 3093208, 0.23698254
65, 3068520, 0.23661265
66, 3657696, 0.23634812
67, 3573064, 0.2361265
68, 3544335, 0.23608853
69, 3757727, 0.2358621
70, 2632376, 0.23527375
71, 3080596, 0.23492102
72, 3735339, 0.23486154
73, 3263463, 0.23391923
74, 2877903, 0.23381467
75, 2859594, 0.23224424
76, 3348055, 0.23168975
77, 3157359, 0.23078166
78, 2795853, 0.23067985
79, 2661898, 0.22979635
80, 3212896, 0.22979009
81, 3422616, 0.22962698
82, 3141473, 0.22917888
83, 2580021, 0.22869322
84, 3639184, 0.2284535
85, 2366074, 0.22845
86, 1459868, 0.22782443
87, 2944799, 0.22773562
88, 2781151, 0.22678982
89, 3753463, 0.22604004
90, 3666998, 0.2258751
91, 3872237, 0.22469015
92, 2756566, 0.22452937
93, 3679720, 0.22452615
94, 3089911, 0.22446892
95, 3086151, 0.2233985
96, 3049671, 0.22157653
97, 3806272, 0.22157432
98, 3481957, 0.22110055
99, 3181779, 0.22082296
100, 3782057, 0.22011252
