rank, pmcid, score
1, 2929215, 0.6214278
2, 3555032, 0.59272724
3, 3276006, 0.5741387
4, 3785150, 0.5429024
5, 3785158, 0.5301082
6, 3700249, 0.5067709
7, 2766835, 0.43821546
8, 2721728, 0.42003298
9, 2605606, 0.41476518
10, 3258682, 0.40739435
11, 3500688, 0.40262857
12, 3693610, 0.38372752
13, 3438813, 0.3721222
14, 3677008, 0.37176588
15, 3567117, 0.3662655
16, 2682451, 0.36052644
17, 3401754, 0.35997885
18, 2685263, 0.359216
19, 3549483, 0.35854846
20, 3371951, 0.35285577
21, 3258717, 0.3463168
22, 3138408, 0.34538665
23, 2248794, 0.3402535
24, 555556, 0.33973047
25, 3258815, 0.33965972
26, 3644205, 0.32788372
27, 3853474, 0.32639724
28, 3471409, 0.3243445
29, 3596848, 0.32379216
30, 2700075, 0.32371265
31, 3663438, 0.3202308
32, 2669865, 0.31755748
33, 3603256, 0.31457004
34, 3437962, 0.31396678
35, 3849144, 0.31377688
36, 3537269, 0.313418
37, 2633203, 0.31218198
38, 3155346, 0.3087051
39, 2974929, 0.30686733
40, 2001222, 0.29511046
41, 1388220, 0.29477048
42, 2777212, 0.29346272
43, 3488989, 0.29290283
44, 3765577, 0.2926953
45, 3814528, 0.289119
46, 2998805, 0.28874633
47, 3507610, 0.287975
48, 2797382, 0.28757986
49, 2909081, 0.28239185
50, 3131127, 0.28097102
51, 2762178, 0.28005672
52, 3229620, 0.27875963
53, 3425152, 0.27858105
54, 3531417, 0.27857494
55, 3026135, 0.2784933
56, 3785394, 0.27789786
57, 3122509, 0.27777877
58, 2957171, 0.27721646
59, 2705820, 0.2764623
60, 2801491, 0.27282783
61, 3433777, 0.2726951
62, 3263750, 0.27225953
63, 3663165, 0.27142134
64, 2685230, 0.26966783
65, 3687478, 0.26631883
66, 2931762, 0.2654069
67, 3671015, 0.26448303
68, 1971401, 0.26436073
69, 2964488, 0.2639968
70, 3739750, 0.26358837
71, 2592808, 0.2632655
72, 3272835, 0.2632432
73, 3001730, 0.26264647
74, 2797384, 0.2620146
75, 3331829, 0.26014954
76, 2797985, 0.25966746
77, 3463995, 0.25920698
78, 3135263, 0.25674525
79, 3136198, 0.25560448
80, 2758596, 0.2555194
81, 3011326, 0.25500628
82, 3349544, 0.25241548
83, 3657072, 0.24963412
84, 3888623, 0.24944134
85, 1924518, 0.24932532
86, 3796667, 0.24888574
87, 2682397, 0.24817511
88, 2951124, 0.24784257
89, 2686338, 0.24773696
90, 3215648, 0.24685511
91, 3833586, 0.24630146
92, 3796212, 0.24551886
93, 1592148, 0.24550404
94, 3124316, 0.24548565
95, 3853387, 0.24547154
96, 1784082, 0.24416286
97, 3552988, 0.24413832
98, 3258779, 0.24179012
99, 3169776, 0.24083245
100, 3632158, 0.24076594
