rank, pmcid, score
1, 3257299, 0.4279524
2, 2831203, 0.37572315
3, 3199233, 0.3409447
4, 3463834, 0.32831928
5, 2892692, 0.32007346
6, 2729252, 0.31742492
7, 3074312, 0.31410652
8, 3141720, 0.30699408
9, 3131249, 0.30404687
10, 3150839, 0.30036578
11, 3489389, 0.2959478
12, 2840592, 0.28229004
13, 3318220, 0.281847
14, 3400884, 0.28008467
15, 3294966, 0.2753723
16, 2931126, 0.272902
17, 3548361, 0.2726158
18, 2933597, 0.26992235
19, 3743592, 0.26705858
20, 3044287, 0.26101154
21, 3693903, 0.25972414
22, 2944142, 0.25919685
23, 3528076, 0.25804386
24, 3796900, 0.25666377
25, 2799065, 0.2543089
26, 3610453, 0.25302818
27, 2740203, 0.25094864
28, 3351939, 0.24739942
29, 2635059, 0.24700697
30, 3162827, 0.24581853
31, 3833481, 0.24471326
32, 2841240, 0.24409623
33, 2533003, 0.24254975
34, 2621382, 0.24176708
35, 3277062, 0.24154273
36, 3338242, 0.24140449
37, 3133999, 0.24134651
38, 3132359, 0.23988737
39, 3775182, 0.2394783
40, 3542889, 0.23937708
41, 2630042, 0.23810738
42, 3229794, 0.23740044
43, 2880141, 0.23609616
44, 2914369, 0.2353986
45, 2759899, 0.23362602
46, 3767585, 0.23156528
47, 3555596, 0.23124966
48, 3631113, 0.22876662
49, 2944193, 0.22858368
50, 2687928, 0.22821032
51, 3113998, 0.22624168
52, 3520695, 0.22398509
53, 3740609, 0.22334762
54, 2586017, 0.22325926
55, 3062014, 0.22324237
56, 3162719, 0.2224374
57, 2798987, 0.22230284
58, 2245957, 0.22121768
59, 3567954, 0.2210459
60, 2799007, 0.2207718
61, 2987957, 0.22052541
62, 2783145, 0.22046341
63, 3086328, 0.21960947
64, 3542899, 0.21959561
65, 3673404, 0.21934563
66, 3579040, 0.21919799
67, 2912929, 0.21915528
68, 3391847, 0.21859278
69, 3384463, 0.2185819
70, 3395851, 0.21730419
71, 3702368, 0.21696824
72, 3679720, 0.2167294
73, 2045103, 0.21623525
74, 3339080, 0.21518531
75, 3875144, 0.21468928
76, 3877496, 0.2143788
77, 3012456, 0.21396174
78, 3853387, 0.21365178
79, 1257651, 0.21342859
80, 3728501, 0.21333681
81, 2438311, 0.21307792
82, 3000920, 0.21299507
83, 3439543, 0.21299331
84, 3589838, 0.21286511
85, 1764411, 0.21214303
86, 3424500, 0.2121281
87, 2900079, 0.21171579
88, 3701401, 0.21143143
89, 2396176, 0.2111646
90, 3792648, 0.21043648
91, 3866701, 0.21026386
92, 2767133, 0.20970346
93, 3177917, 0.20896052
94, 3047844, 0.20895942
95, 3263606, 0.20892186
96, 2868039, 0.20812511
97, 2908649, 0.20768033
98, 2940087, 0.20702355
99, 3785361, 0.20663504
100, 3079161, 0.20654634
