rank, pmcid, score
1, 3649302, 0.38842908
2, 3215995, 0.38321766
3, 3097148, 0.3619373
4, 3748403, 0.35491344
5, 2397013, 0.3494737
6, 3877598, 0.3351307
7, 3195765, 0.30965075
8, 3866073, 0.30794096
9, 3876309, 0.29088733
10, 3521404, 0.29007152
11, 3248865, 0.28895545
12, 3423661, 0.28830636
13, 2689852, 0.28671706
14, 3018996, 0.27828315
15, 3037981, 0.2775525
16, 2994458, 0.27422193
17, 2726547, 0.27163142
18, 3307080, 0.27102125
19, 3178469, 0.27011034
20, 3654137, 0.26996124
21, 3806701, 0.26523685
22, 3338082, 0.26382056
23, 3199939, 0.26222458
24, 3504246, 0.26131672
25, 3030803, 0.25890785
26, 2702950, 0.2581057
27, 3838988, 0.2551036
28, 3411373, 0.2547195
29, 3843570, 0.25409287
30, 3015484, 0.2540226
31, 2702879, 0.25113413
32, 3500025, 0.25101033
33, 2769322, 0.24795169
34, 3502832, 0.24424098
35, 2423720, 0.24348332
36, 138801, 0.24311355
37, 2907361, 0.24268311
38, 1891108, 0.24239808
39, 3355033, 0.2416191
40, 3398579, 0.24062613
41, 2823150, 0.24033773
42, 3389893, 0.23938322
43, 3813746, 0.23642714
44, 3544608, 0.23489207
45, 3725171, 0.23332542
46, 3503948, 0.23204112
47, 2222677, 0.23141967
48, 2938513, 0.23138613
49, 2989130, 0.2312396
50, 2705345, 0.23065631
51, 2988895, 0.23012821
52, 3079085, 0.23007827
53, 3551405, 0.2288152
54, 2820011, 0.22861919
55, 3350117, 0.22724116
56, 3663309, 0.22590691
57, 2809462, 0.22412555
58, 3851743, 0.22299922
59, 3214384, 0.22242828
60, 1352359, 0.22177567
61, 2769297, 0.22152032
62, 3502264, 0.22074446
63, 3785339, 0.22020523
64, 3711735, 0.22014908
65, 3681292, 0.22001311
66, 3765128, 0.21843952
67, 1550411, 0.21662357
68, 3534209, 0.21651015
69, 3016124, 0.21550217
70, 3711740, 0.21387684
71, 2394531, 0.21383534
72, 3529420, 0.21356112
73, 3015425, 0.21292724
74, 3762010, 0.21223783
75, 2673472, 0.21188515
76, 3236146, 0.21175939
77, 3350193, 0.21090329
78, 2628877, 0.20923845
79, 3500075, 0.20883207
80, 3891070, 0.20865266
81, 3523803, 0.20736909
82, 2984407, 0.20718192
83, 3336885, 0.20510545
84, 3221908, 0.20492795
85, 3763677, 0.20416881
86, 2889853, 0.20408058
87, 2788451, 0.2037786
88, 549541, 0.20297667
89, 2805600, 0.20288645
90, 2740116, 0.20284913
91, 2821393, 0.2025082
92, 3391837, 0.20184778
93, 3339080, 0.20145378
94, 3012456, 0.20109963
95, 3285529, 0.20090121
96, 3471415, 0.20030813
97, 3406613, 0.19986764
98, 1936994, 0.19837679
99, 3566390, 0.19815783
100, 2740203, 0.19710547
