rank, pmcid, score
1, 3663309, 0.44431302
2, 2938513, 0.41974002
3, 3018996, 0.40651923
4, 3097148, 0.3923138
5, 3632018, 0.3914785
6, 3285529, 0.38731483
7, 3502786, 0.38613054
8, 3628469, 0.38074827
9, 3725171, 0.37620315
10, 3094313, 0.37252092
11, 2769376, 0.37225562
12, 3433556, 0.37212467
13, 3410093, 0.36856413
14, 3350117, 0.36781067
15, 2911400, 0.36572513
16, 3813776, 0.36540294
17, 3779396, 0.36476088
18, 3250653, 0.36355126
19, 2941255, 0.3625223
20, 3411373, 0.3589376
21, 2769297, 0.3587541
22, 2925354, 0.35831165
23, 2974991, 0.35822287
24, 3838988, 0.35493594
25, 2769305, 0.3548033
26, 3030803, 0.35398266
27, 2803799, 0.35221288
28, 2810601, 0.3518274
29, 3480933, 0.35041445
30, 3544608, 0.3501506
31, 3122097, 0.3483815
32, 3760260, 0.34767616
33, 3853387, 0.34580973
34, 2253550, 0.34488702
35, 1936994, 0.34474713
36, 3268705, 0.34399784
37, 2933122, 0.34356466
38, 2740156, 0.34286904
39, 2726498, 0.34254602
40, 2820011, 0.34209567
41, 3539596, 0.33963415
42, 3376497, 0.33873567
43, 3065056, 0.33691338
44, 3215995, 0.33653516
45, 3335664, 0.33474487
46, 3711740, 0.33302537
47, 2279110, 0.3327438
48, 2908657, 0.33195907
49, 3214511, 0.33037594
50, 3867925, 0.3292588
51, 2892693, 0.3278363
52, 3745864, 0.32565996
53, 2705345, 0.32380778
54, 2732080, 0.32329604
55, 3123852, 0.3225003
56, 3681262, 0.32190815
57, 2397013, 0.32122943
58, 3351958, 0.3195178
59, 3551405, 0.3195117
60, 2702950, 0.3175324
61, 3814044, 0.3173502
62, 2799007, 0.3169957
63, 3598820, 0.31666043
64, 3726238, 0.3163462
65, 3016752, 0.31607357
66, 3195765, 0.31564808
67, 3878513, 0.3156305
68, 3015425, 0.31258628
69, 2809077, 0.31095445
70, 3003679, 0.30989733
71, 3355033, 0.30897132
72, 3515935, 0.3086999
73, 1770937, 0.3085146
74, 2683798, 0.3082799
75, 2828091, 0.30797207
76, 1925057, 0.30778733
77, 3398082, 0.30777508
78, 3336915, 0.3074898
79, 3389893, 0.3073973
80, 3748403, 0.30718377
81, 3475026, 0.30712733
82, 3572695, 0.30706584
83, 2984297, 0.30702555
84, 3746057, 0.30397898
85, 3853607, 0.30394495
86, 3467437, 0.3017618
87, 2799065, 0.30169874
88, 3574659, 0.30115744
89, 3662733, 0.30013242
90, 3133999, 0.2995932
91, 3846936, 0.2995843
92, 3813746, 0.29686528
93, 3806164, 0.29677773
94, 2783137, 0.29633135
95, 3530760, 0.29586706
96, 3015484, 0.2958161
97, 3420076, 0.2943453
98, 3562643, 0.29433727
99, 2821393, 0.2940739
100, 2881437, 0.29392833
