rank, pmcid, score
1, 3783373, 0.5892247
2, 3490930, 0.46201497
3, 2831203, 0.37458855
4, 3737464, 0.37168163
5, 2840592, 0.35237727
6, 2880141, 0.34709188
7, 2944142, 0.3336292
8, 3556865, 0.3250238
9, 3740609, 0.32417902
10, 3702522, 0.32050171
11, 2868039, 0.31485793
12, 3152174, 0.3134587
13, 3685602, 0.30737123
14, 3716954, 0.30174193
15, 1869027, 0.29947707
16, 2732500, 0.29333818
17, 3425248, 0.29182056
18, 2740203, 0.28778982
19, 3074312, 0.28666732
20, 3665240, 0.2841874
21, 3468804, 0.28187436
22, 3030031, 0.27848598
23, 3830333, 0.27812603
24, 3237131, 0.2764985
25, 3696283, 0.27511528
26, 3176909, 0.2749128
27, 2759899, 0.27401242
28, 3395851, 0.27353805
29, 3833481, 0.27277404
30, 1257651, 0.27171144
31, 3131249, 0.2699706
32, 3542889, 0.26876858
33, 3559119, 0.26823145
34, 2914369, 0.26791006
35, 3545330, 0.2674524
36, 3858707, 0.2670115
37, 3731672, 0.26665437
38, 2989130, 0.26295704
39, 3277062, 0.26252455
40, 3481473, 0.26225856
41, 2864213, 0.2620391
42, 3666389, 0.26149917
43, 3680909, 0.26073804
44, 3371554, 0.26059437
45, 3728501, 0.25921497
46, 3716027, 0.25907022
47, 3868098, 0.25784415
48, 2840962, 0.2573255
49, 3702368, 0.25721565
50, 3674281, 0.2565593
51, 2957620, 0.25494134
52, 3209994, 0.25448632
53, 3339080, 0.25437906
54, 3174128, 0.2532686
55, 3635690, 0.2532061
56, 2938625, 0.25211337
57, 3475929, 0.25206128
58, 150573, 0.25109163
59, 3000920, 0.25085056
60, 3681292, 0.25058803
61, 2913564, 0.2504241
62, 2830929, 0.24662346
63, 2803993, 0.24603109
64, 3298200, 0.2457958
65, 3506153, 0.24517149
66, 3246148, 0.24503018
67, 3487885, 0.24467054
68, 3596139, 0.24453703
69, 3751385, 0.24442217
70, 3275841, 0.24381629
71, 3128898, 0.24378857
72, 3792648, 0.2431299
73, 2783145, 0.24301799
74, 3162719, 0.24222378
75, 3336925, 0.24206716
76, 3841599, 0.24142572
77, 3591424, 0.24115075
78, 3815000, 0.24049999
79, 1440850, 0.24046807
80, 2621382, 0.23994325
81, 3687640, 0.23992755
82, 3505950, 0.23973884
83, 3015244, 0.2394906
84, 3162827, 0.23925644
85, 3391847, 0.23915994
86, 3371887, 0.2377995
87, 3336249, 0.23765075
88, 2729224, 0.23694879
89, 3060137, 0.23658878
90, 3263067, 0.23599608
91, 3298206, 0.23571877
92, 2892692, 0.23505682
93, 2822428, 0.23433533
94, 3205781, 0.23409967
95, 3500075, 0.23381402
96, 3713559, 0.23355147
97, 2769286, 0.23296437
98, 3671230, 0.23286179
99, 3174929, 0.2325514
100, 2505287, 0.2325371
