rank, pmcid, score
1, 3579466, 0.5539218
2, 3806705, 0.5507004
3, 2756566, 0.4977345
4, 2778448, 0.49675396
5, 2390549, 0.4963525
6, 1824744, 0.4937316
7, 2769306, 0.49124372
8, 3603620, 0.4909689
9, 3548361, 0.46932766
10, 3129533, 0.4475739
11, 3312196, 0.43920073
12, 3833481, 0.4358693
13, 3335656, 0.43480107
14, 3500067, 0.4299933
15, 2783065, 0.42786348
16, 2916111, 0.4271817
17, 2329860, 0.4217192
18, 3336229, 0.42086866
19, 3350051, 0.42057025
20, 3506220, 0.4205372
21, 3623469, 0.41919598
22, 3099514, 0.41443437
23, 2868875, 0.41362086
24, 3853387, 0.41323724
25, 2810606, 0.41283217
26, 2791917, 0.41196844
27, 3514797, 0.4108688
28, 3024570, 0.40848902
29, 3292982, 0.4078603
30, 3712165, 0.40539545
31, 3506064, 0.40104738
32, 1318453, 0.40046877
33, 2862150, 0.4000574
34, 3682695, 0.39973646
35, 2686945, 0.39872548
36, 3829227, 0.39757773
37, 3245397, 0.3960886
38, 3200042, 0.39475045
39, 2222163, 0.3944874
40, 2884204, 0.39132416
41, 3844841, 0.3910619
42, 3221187, 0.38921434
43, 3253696, 0.38799128
44, 3424656, 0.38693064
45, 3199939, 0.38679013
46, 3500066, 0.38590077
47, 3109347, 0.38553527
48, 3268705, 0.3851779
49, 3532912, 0.38273287
50, 3086330, 0.3826581
51, 2752786, 0.38208658
52, 503388, 0.38192186
53, 3483324, 0.3813093
54, 3525043, 0.3809618
55, 2626575, 0.3806774
56, 2726538, 0.3795643
57, 3679774, 0.3783346
58, 3521122, 0.37726983
59, 3283058, 0.37722322
60, 2652467, 0.37646326
61, 2918849, 0.37588188
62, 3833587, 0.37500268
63, 3599992, 0.37485617
64, 3016819, 0.37470266
65, 3248587, 0.37435478
66, 2672283, 0.37355542
67, 3445081, 0.37310648
68, 3434906, 0.3723498
69, 2790183, 0.37123534
70, 3833540, 0.37084538
71, 3150839, 0.37080777
72, 3580369, 0.36946285
73, 3027107, 0.36900628
74, 3649619, 0.36886787
75, 2245957, 0.36711046
76, 3111109, 0.36709458
77, 3526139, 0.36702678
78, 3573581, 0.36584422
79, 3210844, 0.365659
80, 3849794, 0.36522084
81, 1791015, 0.36487034
82, 3662738, 0.36473453
83, 2496696, 0.36292547
84, 3451906, 0.36256304
85, 2906497, 0.36251715
86, 3135046, 0.362485
87, 3043429, 0.36240393
88, 3284562, 0.3616399
89, 3123279, 0.36138174
90, 3666332, 0.36088705
91, 3666183, 0.36028183
92, 2783056, 0.3593109
93, 3806362, 0.35779163
94, 3859019, 0.35558265
95, 3420706, 0.35547706
96, 3685602, 0.3530334
97, 3420375, 0.35295787
98, 2613409, 0.35281748
99, 2204027, 0.3527502
100, 3866701, 0.351484
