rank, pmcid, score
1, 2790183, 0.5931067
2, 3856285, 0.4551818
3, 2572041, 0.45487094
4, 3366320, 0.43316674
5, 2850870, 0.42416564
6, 3368748, 0.41151962
7, 3328892, 0.41083378
8, 2726500, 0.41078588
9, 3451906, 0.40233305
10, 2700440, 0.39507085
11, 3809224, 0.3892008
12, 2896582, 0.38269725
13, 3760668, 0.37996358
14, 3174928, 0.37766522
15, 3884871, 0.3680764
16, 1824728, 0.36422747
17, 2827053, 0.3636795
18, 3037981, 0.36153433
19, 3445096, 0.3550753
20, 3391847, 0.3536498
21, 2794850, 0.34809557
22, 3500825, 0.34372407
23, 2917397, 0.3416163
24, 2556664, 0.33675954
25, 2253520, 0.336134
26, 2929215, 0.33548102
27, 3236151, 0.3337494
28, 3451760, 0.33270052
29, 3085068, 0.32705256
30, 3440507, 0.32555157
31, 1824747, 0.32431307
32, 2827076, 0.32373688
33, 3785158, 0.32135049
34, 2983030, 0.32092616
35, 2988895, 0.32080162
36, 2490681, 0.3195991
37, 2769286, 0.3182071
38, 3876310, 0.31709456
39, 3263185, 0.31423756
40, 3785394, 0.31218252
41, 2941056, 0.31173393
42, 3785339, 0.31114435
43, 2857502, 0.30710745
44, 3851743, 0.30677527
45, 3520181, 0.3044895
46, 3023898, 0.30447719
47, 3214384, 0.30384862
48, 3266527, 0.30363274
49, 2997507, 0.30330306
50, 3345222, 0.30310065
51, 3864880, 0.30168316
52, 2915811, 0.30076826
53, 2048958, 0.30048564
54, 3666332, 0.2997329
55, 2909175, 0.29866397
56, 3152170, 0.29694498
57, 3324678, 0.296694
58, 3375193, 0.29647657
59, 1180830, 0.29617593
60, 3784135, 0.29604873
61, 3853387, 0.29598328
62, 3478746, 0.29534346
63, 3277903, 0.2953191
64, 2129146, 0.29442412
65, 3744738, 0.29416132
66, 3398075, 0.28919035
67, 2806544, 0.28648242
68, 3724317, 0.28639993
69, 3318207, 0.28631777
70, 3064452, 0.28534397
71, 3335656, 0.28527054
72, 3875015, 0.28512615
73, 2827159, 0.28448883
74, 3042808, 0.28321177
75, 3599449, 0.2824896
76, 3655106, 0.28125918
77, 3248865, 0.28077048
78, 3258019, 0.28000376
79, 2687617, 0.27971983
80, 3483324, 0.27940357
81, 3843570, 0.27857214
82, 3821109, 0.27835113
83, 3644842, 0.27806395
84, 3665183, 0.27497807
85, 3505700, 0.2745403
86, 2852041, 0.2738421
87, 3857978, 0.2734169
88, 1891107, 0.2722997
89, 3354470, 0.27207476
90, 515311, 0.27180228
91, 3611104, 0.27111194
92, 2522257, 0.27048388
93, 3279691, 0.2701269
94, 3391179, 0.26991758
95, 3395246, 0.26984176
96, 3002374, 0.2689408
97, 3658340, 0.26875058
98, 3521621, 0.2687292
99, 3054235, 0.26776293
100, 3423408, 0.26742184
