rank, pmcid, score
1, 3764714, 0.73326504
2, 3132331, 0.6913228
3, 3403367, 0.67657936
4, 3132663, 0.6484056
5, 416478, 0.5614735
6, 3573492, 0.55340976
7, 3119438, 0.5424132
8, 3656690, 0.5286748
9, 2827065, 0.5259225
10, 2816905, 0.5101142
11, 3831868, 0.49843746
12, 2481241, 0.49273327
13, 3465905, 0.4787942
14, 3687640, 0.4727835
15, 2672301, 0.4708068
16, 3505950, 0.46497306
17, 3077507, 0.46227285
18, 3616184, 0.46121764
19, 3482084, 0.45876777
20, 3891422, 0.45299837
21, 3420763, 0.4510584
22, 3214856, 0.4422226
23, 3263067, 0.43979147
24, 2861177, 0.43897814
25, 2783145, 0.43154642
26, 3556627, 0.4247671
27, 3741979, 0.42372805
28, 3371476, 0.42310956
29, 2919553, 0.42085338
30, 1664556, 0.40925315
31, 2799065, 0.40857124
32, 3852513, 0.408349
33, 2939444, 0.4078444
34, 3459526, 0.4055376
35, 2931142, 0.40484253
36, 3354864, 0.40450302
37, 3884116, 0.40308535
38, 2693867, 0.40122643
39, 3398309, 0.40104085
40, 3857503, 0.39789417
41, 3821143, 0.39680013
42, 3546438, 0.3964145
43, 3095547, 0.3951278
44, 3322929, 0.39472517
45, 2694470, 0.39275187
46, 3177917, 0.39123166
47, 2931126, 0.3903798
48, 3174929, 0.39003298
49, 3005216, 0.38950655
50, 3318881, 0.3894974
51, 3317255, 0.38752422
52, 3145300, 0.38620692
53, 3425271, 0.38456342
54, 3019596, 0.38050646
55, 2630042, 0.38002524
56, 2990053, 0.37907466
57, 3544070, 0.37619734
58, 2771959, 0.37617654
59, 3109782, 0.3750522
60, 3072537, 0.3747844
61, 3844236, 0.37417066
62, 3153717, 0.37347248
63, 3557149, 0.3722319
64, 2576186, 0.37049338
65, 1896172, 0.36853674
66, 2892669, 0.36674288
67, 3132697, 0.3664897
68, 3245397, 0.36617312
69, 3488028, 0.3651734
70, 3574827, 0.36021683
71, 3625010, 0.36018455
72, 3096431, 0.35958794
73, 3305386, 0.35944462
74, 3162827, 0.35920358
75, 3046013, 0.3583338
76, 3711906, 0.3579983
77, 2740116, 0.35711733
78, 3114559, 0.35671157
79, 3702368, 0.3564249
80, 3549447, 0.35637468
81, 2396176, 0.35623384
82, 2912929, 0.3558993
83, 2810372, 0.35460237
84, 3654137, 0.3526049
85, 3806160, 0.3514465
86, 3495354, 0.3511192
87, 2694628, 0.35092282
88, 2438311, 0.35056388
89, 2721575, 0.34682822
90, 3271560, 0.34494853
91, 3317086, 0.34474003
92, 3229794, 0.3444831
93, 2941255, 0.34417847
94, 3041493, 0.3439196
95, 2799007, 0.3438777
96, 3263074, 0.34362847
97, 3214474, 0.34051463
98, 2072951, 0.33749497
99, 3125277, 0.33666447
100, 2809337, 0.335792
