rank, pmcid, score
1, 2768737, 0.69007194
2, 2270822, 0.64315116
3, 2515901, 0.5190807
4, 2921140, 0.48203963
5, 2671957, 0.45621806
6, 3477044, 0.45431775
7, 3181871, 0.42780018
8, 3449426, 0.42779753
9, 3350949, 0.42505333
10, 3883378, 0.417125
11, 3461647, 0.39197165
12, 2865463, 0.38636902
13, 3292982, 0.37623087
14, 3655224, 0.37079546
15, 2861844, 0.3683033
16, 2966694, 0.36632073
17, 3670442, 0.353206
18, 2671773, 0.35124287
19, 2235848, 0.34974816
20, 3443232, 0.34834346
21, 3315257, 0.3463437
22, 2656288, 0.34612677
23, 2871168, 0.33993518
24, 3012877, 0.33972117
25, 2515895, 0.33530837
26, 3134924, 0.33386743
27, 2938281, 0.33296108
28, 3836658, 0.33102795
29, 3181740, 0.32887658
30, 2725270, 0.319029
31, 3148928, 0.3184196
32, 2824975, 0.31652686
33, 3016314, 0.31211329
34, 2834624, 0.309716
35, 2799971, 0.30794522
36, 2089060, 0.30727848
37, 3032892, 0.30564898
38, 3642018, 0.30500257
39, 3615012, 0.3029644
40, 3226531, 0.3016323
41, 3296346, 0.30141738
42, 3367292, 0.2983822
43, 3627470, 0.2979626
44, 2515893, 0.29231378
45, 2695551, 0.29012558
46, 2991977, 0.28991988
47, 3181849, 0.28916955
48, 3666389, 0.28804693
49, 3513681, 0.2839806
50, 3257900, 0.2835362
51, 3395405, 0.28220677
52, 3691847, 0.28011072
53, 3560600, 0.2786516
54, 549076, 0.2778803
55, 3655930, 0.2742896
56, 2767345, 0.27417874
57, 3339218, 0.2727821
58, 3440572, 0.2720131
59, 3108698, 0.2710528
60, 3608315, 0.27054605
61, 3181867, 0.26715767
62, 3384231, 0.26682892
63, 3324881, 0.26645944
64, 3630939, 0.26417676
65, 2769306, 0.25909856
66, 3507127, 0.25807622
67, 1318453, 0.25773942
68, 1664563, 0.2547494
69, 3410809, 0.2544621
70, 3686769, 0.25443098
71, 3665200, 0.25210455
72, 2993902, 0.2518273
73, 2656305, 0.25147888
74, 3395961, 0.25127652
75, 3170591, 0.25036985
76, 3389601, 0.25031015
77, 3776541, 0.24681647
78, 2918303, 0.24643742
79, 2695437, 0.24342132
80, 3852098, 0.24312676
81, 3039003, 0.24238901
82, 2492850, 0.2400489
83, 2265726, 0.23758821
84, 3078905, 0.23248681
85, 3854319, 0.2317188
86, 1584230, 0.22927037
87, 2924526, 0.22873755
88, 3575211, 0.22825743
89, 3565205, 0.22752549
90, 3195150, 0.2274424
91, 3223180, 0.22715124
92, 2987512, 0.22699541
93, 3850015, 0.22340862
94, 3856145, 0.22332935
95, 2791917, 0.22298473
96, 3181563, 0.22236359
97, 3654353, 0.22185925
98, 3181973, 0.22136852
99, 3271480, 0.22056735
100, 3013308, 0.21864283
