rank, pmcid, score
1, 2766835, 0.5733509
2, 3603023, 0.5605968
3, 3785158, 0.5570556
4, 3603620, 0.52146447
5, 2827053, 0.4865797
6, 2929215, 0.4861983
7, 3833471, 0.48472676
8, 3129533, 0.48347884
9, 3853474, 0.48256543
10, 2652467, 0.48141927
11, 3719271, 0.47887316
12, 2778448, 0.4777439
13, 3665200, 0.47726053
14, 3354875, 0.47566286
15, 3336229, 0.47563773
16, 3375193, 0.47351545
17, 3663438, 0.46952692
18, 3015425, 0.4671098
19, 3221187, 0.46672758
20, 3224772, 0.4662974
21, 3312196, 0.4660213
22, 2496696, 0.4640486
23, 3011326, 0.459851
24, 2845554, 0.45699403
25, 2390549, 0.4549919
26, 3372338, 0.45488036
27, 1318453, 0.45370787
28, 2612655, 0.45339382
29, 2626575, 0.4504496
30, 3785339, 0.44926995
31, 61035, 0.44881445
32, 2756566, 0.44865927
33, 3573581, 0.4463707
34, 3806705, 0.4454982
35, 1281267, 0.44476888
36, 400670, 0.444014
37, 3833587, 0.44313318
38, 2868875, 0.44254568
39, 3210844, 0.44200528
40, 150573, 0.44134095
41, 2974929, 0.44086382
42, 3154169, 0.4402993
43, 3383148, 0.44026136
44, 3665183, 0.43785763
45, 3506064, 0.4350157
46, 2790183, 0.4337915
47, 3833481, 0.4323498
48, 3600286, 0.4293911
49, 2683864, 0.42916846
50, 3683415, 0.42903972
51, 3276006, 0.42738384
52, 1388220, 0.42697057
53, 3420706, 0.42661723
54, 3579466, 0.42650115
55, 3287463, 0.42646307
56, 2669865, 0.42617804
57, 1523371, 0.42499322
58, 3785150, 0.4249276
59, 3146942, 0.42463285
60, 3609679, 0.4244151
61, 3095901, 0.4235698
62, 3135094, 0.4228396
63, 2918849, 0.42043072
64, 2769306, 0.4189888
65, 3249212, 0.41866958
66, 3649619, 0.41857684
67, 1892029, 0.41755918
68, 2257948, 0.41741657
69, 3521621, 0.41597548
70, 2824987, 0.41580972
71, 3195106, 0.41578323
72, 2329860, 0.41574004
73, 3415045, 0.41507107
74, 3507127, 0.41256702
75, 3880707, 0.4122955
76, 3628492, 0.4121773
77, 3184057, 0.41060063
78, 3335656, 0.4103224
79, 2222163, 0.41015816
80, 2802381, 0.40913883
81, 3760298, 0.40881634
82, 3292982, 0.40876585
83, 2783065, 0.40748402
84, 523836, 0.40711385
85, 3625585, 0.4069853
86, 3401781, 0.4065587
87, 3343686, 0.40655252
88, 3102812, 0.40626374
89, 3073782, 0.40626255
90, 1698139, 0.4061898
91, 2776583, 0.4057584
92, 3789905, 0.4055736
93, 3350051, 0.40314963
94, 2924548, 0.4020162
95, 2916111, 0.40081587
96, 3403093, 0.39961728
97, 3114546, 0.39935988
98, 3709644, 0.39875242
99, 3674534, 0.39856544
100, 2245957, 0.39786205
