rank, pmcid, score
1, 3311001, 0.49399763
2, 2740160, 0.4037899
3, 2908802, 0.37334278
4, 3504246, 0.34016162
5, 3556292, 0.30980313
6, 3099090, 0.30782908
7, 3874942, 0.30331257
8, 2672271, 0.29116574
9, 3567954, 0.28515768
10, 3765128, 0.284712
11, 3075144, 0.28082156
12, 3150839, 0.27698126
13, 3195765, 0.2757778
14, 2740235, 0.2755658
15, 2397013, 0.26738033
16, 3763677, 0.2651517
17, 3430891, 0.26505047
18, 3572695, 0.25790325
19, 2850845, 0.25238073
20, 3093233, 0.24780613
21, 3146322, 0.24680895
22, 2702879, 0.24656361
23, 3094313, 0.24612482
24, 2700599, 0.24497658
25, 3307080, 0.24118318
26, 3418018, 0.23899834
27, 3395946, 0.22966307
28, 3628462, 0.22961532
29, 3372001, 0.22894622
30, 3375193, 0.22803822
31, 3336885, 0.22700906
32, 3030803, 0.22620726
33, 3551405, 0.22607304
34, 2984407, 0.22561416
35, 2660300, 0.22561066
36, 3651279, 0.2250174
37, 3676979, 0.22115606
38, 3018996, 0.21804963
39, 3867925, 0.21803081
40, 3150812, 0.21768412
41, 2330057, 0.2171457
42, 2830180, 0.21626157
43, 3156508, 0.2146275
44, 2908657, 0.21268478
45, 2684205, 0.21230753
46, 2873547, 0.21203186
47, 3221195, 0.21075338
48, 3730458, 0.21068606
49, 2729252, 0.21056394
50, 2820011, 0.2097632
51, 3747026, 0.20778446
52, 3506153, 0.20671335
53, 2769322, 0.2062931
54, 2998524, 0.20606765
55, 3032862, 0.20366158
56, 2705356, 0.20347817
57, 2615123, 0.20301285
58, 3162680, 0.200717
59, 3350117, 0.19943777
60, 3276433, 0.19778408
61, 2570216, 0.1967522
62, 3745693, 0.19620842
63, 3012456, 0.19365446
64, 2740076, 0.19324166
65, 3072006, 0.19197255
66, 3687904, 0.19191162
67, 2821393, 0.19179073
68, 3877598, 0.19119035
69, 3342549, 0.19004652
70, 2689852, 0.18990344
71, 2856401, 0.1895907
72, 3038405, 0.18919739
73, 3860652, 0.18866922
74, 3714936, 0.18864973
75, 3133999, 0.18822344
76, 2938622, 0.1881477
77, 3853607, 0.18788189
78, 2467416, 0.18776987
79, 3291284, 0.18757837
80, 2542373, 0.18756297
81, 2881437, 0.18750075
82, 3521404, 0.18683587
83, 3596056, 0.1850924
84, 3530760, 0.18493055
85, 2813640, 0.184376
86, 3628473, 0.18432918
87, 343284, 0.1841167
88, 1891108, 0.18381552
89, 3500025, 0.18314654
90, 2762176, 0.18269973
91, 3636966, 0.1818777
92, 2202780, 0.1810231
93, 2499993, 0.1807663
94, 3851743, 0.1800688
95, 3628492, 0.1799165
96, 3598274, 0.17951643
97, 3725171, 0.17945722
98, 3172972, 0.17773126
99, 3123852, 0.17755444
100, 3433556, 0.1769936
