rank, pmcid, score
1, 3248029, 0.007232839
2, 2944142, 0.006749171
3, 2915811, 0.0061917375
4, 2329860, 0.0061410526
5, 3150143, 0.0057067256
6, 3336925, 0.00560461
7, 3784275, 0.0055738073
8, 3330017, 0.0047159162
9, 3195685, 0.0046505868
10, 2836296, 0.004592724
11, 2695708, 0.004539026
12, 3189328, 0.004513072
13, 3037474, 0.0044959863
14, 2862150, 0.0044550346
15, 1592148, 0.004342523
16, 2222163, 0.0043416615
17, 3366611, 0.004336779
18, 2630042, 0.0043255985
19, 2948692, 0.0042609787
20, 3426202, 0.0041325283
21, 2964467, 0.004103798
22, 2515572, 0.004061707
23, 3653236, 0.0040292344
24, 3864704, 0.0040013716
25, 3865939, 0.003981931
26, 2918564, 0.00398103
27, 2759333, 0.003941245
28, 3533522, 0.003932223
29, 3265521, 0.0038998951
30, 3500052, 0.0038656672
31, 2592482, 0.003846853
32, 3366613, 0.003798711
33, 2779438, 0.003789648
34, 2516441, 0.0037766618
35, 3651864, 0.003763807
36, 3822310, 0.0037502279
37, 2680851, 0.0037139333
38, 2040215, 0.0037044412
39, 3339694, 0.0036828073
40, 3589445, 0.0036608665
41, 2860488, 0.003658488
42, 2216018, 0.0036487032
43, 3317167, 0.0036383015
44, 2963536, 0.0036315287
45, 3884634, 0.0035989392
46, 3757306, 0.0035926055
47, 2949787, 0.0035924513
48, 3505743, 0.0035867714
49, 1794551, 0.0035757741
50, 3508415, 0.0035732973
51, 3345936, 0.003572363
52, 3751439, 0.0035558585
53, 1851010, 0.003546153
54, 317275, 0.0035053617
55, 3845746, 0.003493282
56, 3380416, 0.0034838156
57, 3809850, 0.0034783834
58, 3829971, 0.0034699074
59, 1472098, 0.003468477
60, 3649697, 0.0034580498
61, 3217144, 0.0034175576
62, 2129146, 0.0034003407
63, 3388583, 0.0033595648
64, 2929312, 0.0033559923
65, 2911838, 0.0033536411
66, 3607993, 0.0033352086
67, 3293728, 0.0033343767
68, 3366269, 0.0033310596
69, 2630032, 0.003307393
70, 1851707, 0.0033004852
71, 3485524, 0.0032858166
72, 3341709, 0.0032765388
73, 2174511, 0.0032765146
74, 3605182, 0.0032757358
75, 3264983, 0.0032382775
76, 3746456, 0.0032149018
77, 2847100, 0.0032128557
78, 2323547, 0.003212108
79, 3176909, 0.003198817
80, 3646245, 0.0031834887
81, 3854404, 0.0031771704
82, 2762472, 0.0031768777
83, 3658876, 0.003172546
84, 2867784, 0.0031649945
85, 1618386, 0.0031497448
86, 3654353, 0.0031257574
87, 3311010, 0.003120828
88, 1936426, 0.003116289
89, 3656393, 0.0031156943
90, 2599757, 0.0031103739
91, 3397329, 0.0031054332
92, 3151456, 0.0030574817
93, 3092966, 0.0030425722
94, 3605313, 0.003026078
95, 137610, 0.0030240272
96, 3866701, 0.0030227827
97, 3573993, 0.0030215927
98, 3679747, 0.0029893678
99, 3826326, 0.00298567
100, 1933537, 0.0029786574
