rank, pmcid, score
1, 3151451, 0.034328245
2, 1082666, 0.024195375
3, 3386993, 0.016424123
4, 3670647, 0.015439192
5, 2889462, 0.015283143
6, 3664483, 0.014868644
7, 3742354, 0.014448499
8, 3582917, 0.0144313425
9, 2980650, 0.014347071
10, 2089066, 0.014199089
11, 2443077, 0.013795805
12, 3053954, 0.013795805
13, 3054321, 0.013731297
14, 3003213, 0.013575958
15, 3521823, 0.013575958
16, 3429156, 0.01341815
17, 3482806, 0.013039047
18, 3757639, 0.012939388
19, 3358179, 0.012781234
20, 3737109, 0.012563893
21, 2595554, 0.012528444
22, 2955936, 0.012402527
23, 3269978, 0.012317521
24, 2526433, 0.0122454
25, 2916111, 0.012110326
26, 2893323, 0.011843284
27, 2987954, 0.011712382
28, 3784135, 0.011636536
29, 2615036, 0.0113132205
30, 3162264, 0.011225008
31, 2693868, 0.01115902
32, 2822791, 0.01115902
33, 3214347, 0.010960717
34, 2789961, 0.010917157
35, 3295713, 0.010772168
36, 3053945, 0.010630737
37, 2395529, 0.010630737
38, 2423750, 0.010630737
39, 2589937, 0.010630737
40, 2815824, 0.01037413
41, 2627279, 0.010369446
42, 3054469, 0.010346854
43, 1784745, 0.010346854
44, 3054990, 0.010346854
45, 2740009, 0.010322507
46, 3053811, 0.010298473
47, 3045293, 0.010250179
48, 3205365, 0.0102393795
49, 3023754, 0.010194927
50, 3784275, 0.010167919
51, 3389893, 0.010135735
52, 3647130, 0.010110434
53, 3561336, 0.01007385
54, 3756219, 0.010067143
55, 3168041, 0.010067143
56, 3637645, 0.010027585
57, 3214471, 0.009965962
58, 2918564, 0.009962217
59, 2742653, 0.009915636
60, 2686880, 0.009899068
61, 2740255, 0.00982302
62, 2988808, 0.009779286
63, 2812767, 0.009552512
64, 2833299, 0.009552512
65, 2666295, 0.009499778
66, 2738866, 0.009499778
67, 3539889, 0.009084849
68, 3487103, 0.009053498
69, 2999555, 0.009030312
70, 3526876, 0.009005323
71, 3054235, 0.008966919
72, 3049685, 0.008966919
73, 3128903, 0.008966919
74, 3118064, 0.008918739
75, 3054525, 0.008858947
76, 1779768, 0.008812335
77, 3325750, 0.008795437
78, 2664138, 0.008791653
79, 2475467, 0.008622378
80, 3054680, 0.008622378
81, 1240451, 0.008622378
82, 2712701, 0.008602891
83, 3690636, 0.008602891
84, 2650968, 0.008595072
85, 3536587, 0.008595072
86, 2124969, 0.008582061
87, 2364426, 0.008582061
88, 3054390, 0.008582061
89, 3452169, 0.008582061
90, 2864249, 0.008565096
91, 3663347, 0.008538974
92, 3484620, 0.008526227
93, 3177408, 0.008500946
94, 2978400, 0.008495807
95, 3520469, 0.008484915
96, 3797651, 0.008421011
97, 3514891, 0.008421011
98, 2791917, 0.008286786
99, 2935854, 0.008227049
100, 3313757, 0.008220704
