rank, pmcid, score
1, 3655517, 0.48367563
2, 3215995, 0.48192304
3, 3411373, 0.46668714
4, 3748403, 0.4336808
5, 3838988, 0.40385997
6, 3521404, 0.39076066
7, 2827146, 0.38833532
8, 3355033, 0.38801315
9, 1936994, 0.37295455
10, 2823150, 0.36544108
11, 3471415, 0.36411762
12, 3806701, 0.36250582
13, 3195765, 0.36208764
14, 3649302, 0.36040694
15, 2279110, 0.35983583
16, 3097148, 0.35963416
17, 2705345, 0.35917476
18, 3545342, 0.35901242
19, 3860644, 0.35727245
20, 3133999, 0.35344478
21, 3866073, 0.34868518
22, 2702879, 0.34576768
23, 3572695, 0.34447002
24, 2821393, 0.342275
25, 3030803, 0.33834472
26, 3711740, 0.3377193
27, 3018996, 0.3372108
28, 3502264, 0.33678007
29, 2394531, 0.3355325
30, 3762010, 0.33487308
31, 3663309, 0.33430895
32, 3551405, 0.3321563
33, 3160386, 0.33014086
34, 3214384, 0.32749587
35, 3628469, 0.32556164
36, 3544608, 0.3239982
37, 3877598, 0.3238314
38, 3163220, 0.32247412
39, 3267056, 0.32235682
40, 2769322, 0.3220068
41, 3097568, 0.31974706
42, 2925354, 0.31558385
43, 3726238, 0.3155752
44, 3853387, 0.31479555
45, 3534209, 0.31268775
46, 2672301, 0.31161723
47, 1852095, 0.31024432
48, 3204466, 0.3083236
49, 2412892, 0.3070889
50, 3439946, 0.3069008
51, 2987957, 0.3068045
52, 3034074, 0.30410042
53, 3236146, 0.30260268
54, 138801, 0.30210763
55, 3410081, 0.30087012
56, 2740203, 0.30050376
57, 3841535, 0.29987103
58, 3123852, 0.29972315
59, 2769297, 0.29938006
60, 3391837, 0.29897705
61, 3491225, 0.2977274
62, 2657263, 0.29770124
63, 3574659, 0.29698032
64, 3654137, 0.29681897
65, 3268705, 0.29602176
66, 2245957, 0.295863
67, 2878678, 0.29522398
68, 3178469, 0.2949904
69, 3296946, 0.29423925
70, 3423661, 0.2928372
71, 2783145, 0.29255503
72, 3725171, 0.29185632
73, 3500025, 0.29112098
74, 3785339, 0.2901462
75, 3079085, 0.2889577
76, 2760859, 0.28873214
77, 2820011, 0.2885776
78, 3151403, 0.28850704
79, 3015425, 0.28784657
80, 3285529, 0.28734052
81, 3461288, 0.28730506
82, 3015509, 0.28710613
83, 2803837, 0.2853463
84, 2397013, 0.2847378
85, 3502823, 0.2837802
86, 3676995, 0.2833665
87, 3075199, 0.28134158
88, 3271411, 0.28116935
89, 2222677, 0.28005803
90, 2726547, 0.2795096
91, 2810606, 0.2789399
92, 3015484, 0.27790055
93, 3866781, 0.2778672
94, 3298200, 0.27726892
95, 3016124, 0.27706558
96, 3015549, 0.2770461
97, 2914369, 0.27698112
98, 2683798, 0.2756205
99, 2769345, 0.2749192
100, 3177917, 0.2743821
