rank, pmcid, score
1, 3313757, 0.354602
2, 3420105, 0.35365602
3, 3682695, 0.3365393
4, 3099514, 0.31690794
5, 3500066, 0.30871505
6, 3425758, 0.30524564
7, 3002414, 0.27797464
8, 3746228, 0.27776545
9, 3395361, 0.26965505
10, 3885443, 0.26636866
11, 503388, 0.2644042
12, 3851743, 0.26319367
13, 3500075, 0.2511715
14, 3500067, 0.2510262
15, 3775530, 0.2507003
16, 3261193, 0.24694276
17, 3198526, 0.2457177
18, 2778448, 0.2393178
19, 3500071, 0.23691478
20, 3021334, 0.23241234
21, 2228297, 0.23076604
22, 2858205, 0.22853407
23, 3555032, 0.22838315
24, 3342021, 0.22780012
25, 3141718, 0.22650535
26, 3463916, 0.22620435
27, 3408995, 0.22448555
28, 3095413, 0.22372995
29, 3526139, 0.22217265
30, 3442737, 0.22167844
31, 3253696, 0.21840563
32, 3835906, 0.21310514
33, 3245397, 0.21298152
34, 3350179, 0.20997575
35, 3148996, 0.20755701
36, 535935, 0.207133
37, 3756219, 0.20610538
38, 3109347, 0.20269895
39, 3764754, 0.20063806
40, 2881018, 0.19843262
41, 3376766, 0.19452907
42, 3442425, 0.19358616
43, 3603023, 0.19357738
44, 3359316, 0.19192678
45, 3183691, 0.19043863
46, 2797612, 0.19003005
47, 3012347, 0.18636872
48, 3271428, 0.18634218
49, 3412238, 0.18621188
50, 2700089, 0.18459211
51, 3785158, 0.18393005
52, 2774290, 0.18302731
53, 3200353, 0.18249583
54, 2990903, 0.18166919
55, 2726538, 0.18152523
56, 3213276, 0.18128912
57, 149366, 0.18086518
58, 2667505, 0.18030024
59, 3723322, 0.18024223
60, 2962297, 0.1801353
61, 3500057, 0.1784814
62, 3021290, 0.17813867
63, 2780671, 0.17625353
64, 3021726, 0.17602971
65, 2129146, 0.17568892
66, 3750614, 0.17553192
67, 3174128, 0.17529455
68, 2822250, 0.17523916
69, 2075484, 0.17519908
70, 3726797, 0.1736138
71, 3060651, 0.17343558
72, 3308287, 0.17324886
73, 3304626, 0.17291594
74, 3030745, 0.17289278
75, 3830809, 0.17276393
76, 3877402, 0.17234917
77, 3359226, 0.17108671
78, 3787618, 0.17080738
79, 3356020, 0.17026617
80, 3801461, 0.17007612
81, 2642515, 0.16984922
82, 3830293, 0.16878785
83, 3398085, 0.16861507
84, 3666183, 0.16690096
85, 3553436, 0.16674855
86, 3079672, 0.1666407
87, 3068520, 0.16663961
88, 3283058, 0.1665291
89, 3473362, 0.16652082
90, 3429156, 0.16632086
91, 3309573, 0.16620344
92, 2994207, 0.16558337
93, 1242151, 0.16517943
94, 3257887, 0.16477738
95, 2771894, 0.16468146
96, 2395419, 0.16448547
97, 1501099, 0.16445503
98, 2829621, 0.1643723
99, 3582915, 0.1643405
100, 2453667, 0.1629673
