rank, pmcid, score
1, 3649628, 0.007874403
2, 3081504, 0.0069125365
3, 1891108, 0.006631785
4, 3878513, 0.006547782
5, 3481653, 0.0063950196
6, 3398091, 0.0059353337
7, 3170746, 0.0056638704
8, 2784509, 0.00564542
9, 2784515, 0.005618694
10, 3867376, 0.005519022
11, 3312751, 0.005499177
12, 3083728, 0.005474762
13, 1551923, 0.005449921
14, 2828091, 0.005437737
15, 3357983, 0.0054007107
16, 3479695, 0.0053790146
17, 3793491, 0.0053331484
18, 3467437, 0.0053163646
19, 3145300, 0.0053004
20, 3492084, 0.0052606123
21, 2845142, 0.0052587437
22, 61035, 0.005254936
23, 2732080, 0.005189796
24, 3424871, 0.005184224
25, 3420763, 0.0051645883
26, 2974991, 0.005112531
27, 3542335, 0.0050834687
28, 1770937, 0.0050432133
29, 3177917, 0.005029393
30, 3612306, 0.0050287307
31, 3232573, 0.005016657
32, 3853607, 0.004949022
33, 2896582, 0.004939947
34, 2862511, 0.0048886496
35, 3884537, 0.0048676752
36, 2687607, 0.004857472
37, 3808107, 0.004811168
38, 3841941, 0.004799866
39, 1065068, 0.004785987
40, 3806164, 0.0047747707
41, 3609679, 0.004771036
42, 3725171, 0.0047706175
43, 3554543, 0.004739425
44, 3038395, 0.004705396
45, 2974995, 0.00467912
46, 2683798, 0.0046674977
47, 3015721, 0.0046655117
48, 3125360, 0.004632452
49, 3087995, 0.004582544
50, 2635124, 0.004580629
51, 2858882, 0.004575268
52, 3749226, 0.0045689736
53, 3419393, 0.0045677326
54, 3016752, 0.0045628035
55, 2799065, 0.004552459
56, 3653548, 0.004545888
57, 1298324, 0.0045340913
58, 3062014, 0.0045171157
59, 3822414, 0.0045069363
60, 3663309, 0.0044936906
61, 2546372, 0.0044857482
62, 3632032, 0.0044800946
63, 3429769, 0.004473773
64, 3317255, 0.0044678277
65, 2948308, 0.0044499803
66, 3215995, 0.004422918
67, 3564029, 0.0044116355
68, 3350224, 0.0043676533
69, 3873814, 0.0043618414
70, 29017, 0.004313833
71, 3458412, 0.0043038144
72, 3094313, 0.0042783273
73, 3618648, 0.0042736656
74, 3065056, 0.0042559956
75, 3320356, 0.0042483136
76, 2279110, 0.0042442675
77, 3381442, 0.0042277216
78, 3847001, 0.004225697
79, 3079651, 0.004212623
80, 3321458, 0.0041962545
81, 3725923, 0.004191754
82, 2778182, 0.004183264
83, 3364639, 0.0041602147
84, 3189114, 0.004158252
85, 2687572, 0.0041204994
86, 3363051, 0.0040979763
87, 2805600, 0.0040819603
88, 3518991, 0.0040779873
89, 3863827, 0.0040724557
90, 3279875, 0.0040675676
91, 3531003, 0.0040510036
92, 3159937, 0.0040507144
93, 3853387, 0.004046164
94, 2730282, 0.0040444834
95, 3125039, 0.0040435675
96, 3361476, 0.004043045
97, 3698896, 0.0040326375
98, 2687673, 0.004024083
99, 2767133, 0.004023114
100, 2740255, 0.004001342
