rank, pmcid, score
1, 3863827, 0.0097312955
2, 3350224, 0.008424381
3, 3170746, 0.0073935515
4, 3016752, 0.006991768
5, 3083728, 0.0068050195
6, 3419393, 0.006682976
7, 2974995, 0.006583228
8, 3725171, 0.006581963
9, 61035, 0.006420941
10, 3481653, 0.0061101033
11, 3113254, 0.0059578563
12, 2845142, 0.005816843
13, 3381442, 0.0058054468
14, 2892662, 0.005782783
15, 2702888, 0.005745607
16, 3053945, 0.0057103527
17, 2938519, 0.005682389
18, 2880345, 0.0055789095
19, 3357983, 0.0055511254
20, 3853607, 0.005486121
21, 3793491, 0.0054816795
22, 3177917, 0.0054590665
23, 2726474, 0.0054227333
24, 3361476, 0.005373415
25, 3867925, 0.0053588892
26, 3687464, 0.0053220848
27, 3205504, 0.0052582356
28, 3554543, 0.0052562817
29, 3778820, 0.0052028447
30, 2683798, 0.00513281
31, 2702912, 0.005125117
32, 2253550, 0.0049915006
33, 2133444, 0.0049132616
34, 2974991, 0.0048988773
35, 3632032, 0.004896001
36, 3479695, 0.0048085637
37, 2862511, 0.004771248
38, 3578795, 0.0047481423
39, 3125039, 0.004745301
40, 3250653, 0.004737043
41, 3015721, 0.004719841
42, 1551923, 0.0046800263
43, 3065056, 0.004672421
44, 3762016, 0.004669273
45, 3424871, 0.0046648406
46, 3822414, 0.0046369205
47, 3873814, 0.0046133483
48, 2687607, 0.0046065073
49, 3387595, 0.0045999256
50, 2737789, 0.004579849
51, 3630716, 0.0045790365
52, 3681366, 0.004573999
53, 3878513, 0.004567892
54, 3531003, 0.0044774106
55, 1450266, 0.0044702347
56, 3401725, 0.004467848
57, 2601861, 0.0044484674
58, 2730282, 0.00444675
59, 3364639, 0.0044332636
60, 2934912, 0.004425495
61, 1891108, 0.004424756
62, 2279110, 0.004413432
63, 3503351, 0.0044033243
64, 270667, 0.004399685
65, 3386887, 0.0043765083
66, 3125360, 0.004353837
67, 1560371, 0.0043412345
68, 3286783, 0.004332546
69, 3122097, 0.0043079755
70, 3284348, 0.004251573
71, 2687572, 0.0042463318
72, 3562643, 0.0042452435
73, 3841941, 0.0042143585
74, 2526540, 0.0042126086
75, 3654700, 0.0041887965
76, 2907361, 0.0041794586
77, 3542945, 0.0041758134
78, 3411373, 0.004166147
79, 1770937, 0.004163303
80, 3195434, 0.0041326303
81, 3425248, 0.004074391
82, 2828091, 0.0040642605
83, 3204573, 0.0040637553
84, 3616103, 0.0040045287
85, 2689852, 0.0039967513
86, 3515935, 0.003987485
87, 3806164, 0.0039593047
88, 3108731, 0.003958888
89, 3292925, 0.003945445
90, 2628089, 0.003936084
91, 3467437, 0.0039313706
92, 3420763, 0.003906717
93, 2246210, 0.003895316
94, 3649628, 0.0038906583
95, 3612306, 0.003887435
96, 3429401, 0.003874289
97, 2925354, 0.0038446563
98, 3437196, 0.0038423976
99, 2717956, 0.0038143392
100, 3135124, 0.0038126856
