rank, pmcid, score
1, 3853387, 0.5810187
2, 3564029, 0.5312026
3, 3322929, 0.52900773
4, 3378931, 0.5179123
5, 3085223, 0.5132547
6, 1276800, 0.5036111
7, 3062014, 0.49705863
8, 2876698, 0.48993486
9, 1257651, 0.4814854
10, 2741488, 0.4628645
11, 3777376, 0.46202856
12, 2783053, 0.46005082
13, 2993722, 0.44859457
14, 3436637, 0.44652313
15, 2828091, 0.4453575
16, 2774533, 0.44353148
17, 3610459, 0.43774626
18, 2974995, 0.43123445
19, 3415813, 0.43033305
20, 3233373, 0.42993543
21, 3702368, 0.42500535
22, 2644295, 0.42466223
23, 3079651, 0.4204734
24, 3350193, 0.41936588
25, 2851150, 0.4185587
26, 2740244, 0.41706574
27, 3632018, 0.4137168
28, 2732101, 0.4101778
29, 3849794, 0.40923804
30, 3133999, 0.40909317
31, 2958032, 0.40746567
32, 1413549, 0.40512586
33, 3804820, 0.4035593
34, 1459933, 0.402933
35, 2572046, 0.4027781
36, 3176209, 0.40165284
37, 3609679, 0.39985332
38, 3463044, 0.3983296
39, 3099512, 0.39827457
40, 3162766, 0.39780682
41, 3276037, 0.39674518
42, 3114546, 0.3947726
43, 3868699, 0.39350438
44, 3309207, 0.38991475
45, 3838836, 0.3862807
46, 2974228, 0.38411853
47, 3420500, 0.38127226
48, 3542889, 0.38037166
49, 3700969, 0.37849423
50, 3163220, 0.37836358
51, 3465000, 0.37573317
52, 3522406, 0.3738951
53, 3488388, 0.37234026
54, 3797049, 0.37230745
55, 3338242, 0.37043047
56, 2862513, 0.36947238
57, 2776156, 0.36839616
58, 1892149, 0.3682308
59, 2876703, 0.366248
60, 3874979, 0.36316723
61, 3655108, 0.3629626
62, 3139879, 0.36159915
63, 3429833, 0.36132142
64, 2365966, 0.35787427
65, 3190518, 0.35773677
66, 3826012, 0.35725167
67, 3081356, 0.35723138
68, 3446142, 0.35689783
69, 3409955, 0.35683477
70, 3758738, 0.355731
71, 3764714, 0.35504198
72, 3527895, 0.35489956
73, 3649217, 0.35480052
74, 2822332, 0.35468084
75, 2740138, 0.35191113
76, 3587910, 0.35176668
77, 2799065, 0.35080287
78, 2918823, 0.34984204
79, 3445096, 0.34950256
80, 3037981, 0.3492281
81, 3633019, 0.34839562
82, 3522346, 0.3475587
83, 3782346, 0.34712964
84, 2900079, 0.3441381
85, 3259402, 0.3435296
86, 3837657, 0.3433289
87, 3628469, 0.3431178
88, 3177592, 0.34234282
89, 3321943, 0.34220126
90, 3277043, 0.3421696
91, 3117630, 0.341808
92, 2515635, 0.3417907
93, 2646690, 0.34166506
94, 3141809, 0.34137937
95, 2615763, 0.34137645
96, 3132697, 0.34126952
97, 3559119, 0.3376928
98, 2946718, 0.3375643
99, 2908369, 0.3368536
100, 2700447, 0.33655602
