rank, pmcid, score
1, 3783373, 0.38805732
2, 3490930, 0.3045813
3, 2831203, 0.24842381
4, 3737464, 0.24486649
5, 2944142, 0.2398785
6, 3257299, 0.23302783
7, 2840592, 0.23285878
8, 2880141, 0.22851126
9, 3152174, 0.22605416
10, 3740609, 0.21529105
11, 3556865, 0.21508643
12, 3702522, 0.21235967
13, 2868039, 0.20863943
14, 3685602, 0.20467256
15, 3716954, 0.19950119
16, 1869027, 0.19822559
17, 3425248, 0.19526792
18, 2732500, 0.19353701
19, 2914369, 0.19242364
20, 2740203, 0.19236697
21, 3074312, 0.1911107
22, 3665240, 0.18948257
23, 3468804, 0.18625513
24, 3030031, 0.18618035
25, 3830333, 0.18585818
26, 3237131, 0.18551469
27, 3696283, 0.18486722
28, 2759899, 0.18322442
29, 3395851, 0.18273377
30, 3833481, 0.18109418
31, 3176909, 0.1810923
32, 3131249, 0.18040982
33, 1257651, 0.18014203
34, 3542889, 0.17940421
35, 3559119, 0.17808951
36, 3731672, 0.17768946
37, 3545330, 0.17674263
38, 3858707, 0.17647421
39, 2989130, 0.17521892
40, 3666389, 0.17520085
41, 2864213, 0.17448558
42, 3481473, 0.17441052
43, 3277062, 0.17434268
44, 3716027, 0.17332657
45, 3371554, 0.17297816
46, 3680909, 0.17265753
47, 3702368, 0.17240527
48, 3868098, 0.17179412
49, 3728501, 0.17123866
50, 2840962, 0.17092913
51, 2957620, 0.17026888
52, 3674281, 0.17011006
53, 3000920, 0.16888432
54, 3174128, 0.16859496
55, 2938625, 0.16851218
56, 3339080, 0.16833116
57, 150573, 0.16773605
58, 3635690, 0.1675799
59, 3209994, 0.16753124
60, 2913564, 0.16735414
61, 3162827, 0.1672525
62, 3475929, 0.16663642
63, 2803993, 0.1661751
64, 3681292, 0.165956
65, 3096433, 0.1656314
66, 3506153, 0.16523223
67, 3298200, 0.1638017
68, 2830929, 0.16377558
69, 3246148, 0.1637189
70, 3596139, 0.1632366
71, 3792648, 0.16246594
72, 2783145, 0.16239658
73, 3128898, 0.16209467
74, 3162719, 0.16206612
75, 3751385, 0.16198161
76, 3275841, 0.16186886
77, 3505950, 0.16150354
78, 3491225, 0.16139977
79, 3487885, 0.16092
80, 2621382, 0.16068204
81, 3336925, 0.16019535
82, 3841599, 0.16016355
83, 3687640, 0.1600683
84, 3591424, 0.15998623
85, 3391847, 0.15992914
86, 1440850, 0.1599102
87, 3371887, 0.15912803
88, 3015244, 0.15875347
89, 2631494, 0.15861711
90, 3336249, 0.15807503
91, 2822428, 0.15792444
92, 2729224, 0.1577888
93, 3815000, 0.15774095
94, 3263067, 0.15734701
95, 3060137, 0.15718392
96, 2892692, 0.156896
97, 2769286, 0.1567127
98, 3174929, 0.15565598
99, 3500075, 0.1556411
100, 3713559, 0.1555509
