rank, pmcid, score
1, 2790183, 0.41938972
2, 2572041, 0.32209453
3, 3856285, 0.32196292
4, 3366320, 0.3074149
5, 2850870, 0.30000606
6, 3368748, 0.29095978
7, 2726500, 0.29061073
8, 3328892, 0.29056752
9, 3451906, 0.28457043
10, 2700440, 0.27979943
11, 3809224, 0.2751804
12, 2896582, 0.2706078
13, 3760668, 0.2686748
14, 3174928, 0.26715317
15, 3884871, 0.2601814
16, 1824728, 0.2575477
17, 2827053, 0.25711808
18, 3037981, 0.25572696
19, 3445096, 0.25103107
20, 3391847, 0.25021613
