pmcid	score	relevancy
3088750	0.3502816	0
3200155	0.34856752	0
3391815	0.34413767	0
3748403	0.33986562	0
2647913	0.33562827	0
3215995	0.33346248	0
3649302	0.33079132	0
2516428	0.32841927	0
3097148	0.3267287	0
3614379	0.3238673	2
3145084	0.31579572	0
3145093	0.31546047	0
3336896	0.3154392	1
3295742	0.3126611	1
3860647	0.3068839	2
2905431	0.30464765	0
2277435	0.3026144	0
3389850	0.30112937	1
3858201	0.29374513	0
3014821	0.2928184	0
3467391	0.29167783	0
2596791	0.29106054	0
3195765	0.28977916	0
3877598	0.28805077	1
3542917	0.2822363	0
3809230	0.2820555	0
3521404	0.27960426	0
3015800	0.27946365	2
1687187	0.27867073	1
2867990	0.2767674	0
3635222	0.27620545	0
3492969	0.27525172	1
2689852	0.27306455	0
3866073	0.27292404	1
3489384	0.27171695	0
3259121	0.27160078	2
3638497	0.27075586	0
3030803	0.26984352	1
3813746	0.26959217	0
2994458	0.2683062	0
2700595	0.26522782	0
2806400	0.26404247	0
2475515	0.26398662	1
3423661	0.2621556	0
2827072	0.2614091	1
2799964	0.26114014	0
3307080	0.26064286	1
3765831	0.2597069	0
1892548	0.25955433	0
3080584	0.25941646	0
2850982	0.25635874	0
2740083	0.255991	0
3248865	0.25538972	1
3482074	0.2552209	0
29048	0.2549996	2
3658214	0.2546747	0
3018996	0.2537532	0
3636075	0.25366017	0
3876498	0.25361526	2
3813486	0.25091916	1
2850860	0.25061864	0
2992067	0.24836312	1
3468117	0.24815413	1
3412185	0.24770477	0
3593338	0.2469376	0
3170179	0.2468668	2
3588206	0.24683093	1
3411373	0.24544339	0
2934582	0.2441031	0
1712221	0.24392685	1
3016754	0.24366474	0
3032247	0.24297085	0
3734730	0.24282831	0
3338082	0.24281798	1
3178469	0.24247909	0
3504246	0.24087307	0
3797604	0.24061391	1
2387157	0.24020207	1
3493049	0.24014336	1
2815823	0.24010646	2
3166808	0.23998113	0
2702950	0.23936407	1
3495353	0.23908927	0
3599178	0.23861727	1
3876551	0.23857343	0
3355033	0.23790954	1
3751152	0.23788367	0
2822176	0.2376219	1
2000873	0.23739654	0
2907361	0.23639202	1
3888001	0.23614548	1
2423720	0.23562197	0
3015409	0.23541938	0
3300932	0.23343958	2
3195329	0.23171318	1
2687658	0.23010941	0
3016500	0.22970082	0
2783097	0.22764106	0
3199939	0.22741596	0
3703395	0.22721167	0
3838988	0.22690897	0
2728191	0.22669007	0
3200064	0.22634563	0
3287959	0.22627914	0
3096030	0.22618619	0
3435936	0.22609094	1
3075161	0.22367644	0
3015657	0.2234529	1
1352359	0.22275311	0
2977075	0.22232139	2
3746438	0.22121063	0
3129103	0.22028458	0
3864400	0.22017457	0
3711741	0.21999124	0
3347651	0.21991268	0
2823150	0.21989934	0
3579987	0.21970806	1
3162720	0.21942809	0
3350117	0.21940005	0
3389893	0.2187587	0
3347250	0.21870902	0
3407612	0.2186876	0
2553057	0.21784925	0
137602	0.21736692	0
2884449	0.21719193	0
2740154	0.21696404	0
3418044	0.21690264	0
3184109	0.21524434	0
2646742	0.2135629	0
2938513	0.2135587	0
3542897	0.21327274	2
3033147	0.21235636	0
3470276	0.21231659	0
1891108	0.21215947	0
2769322	0.21200126	0
3162763	0.21188432	0
3407438	0.21161847	0
2938506	0.21150187	0
3030033	0.2113437	0
3843570	0.21129762	0
3785339	0.21079496	1
3537198	0.21065725	0
2740109	0.2095549	2
3112115	0.20953055	0
3502264	0.20848246	1
3015787	0.20846362	1
2705345	0.2084001	0
3562572	0.20839508	0
2739847	0.20816804	0
3628230	0.2081512	0
1914302	0.20745763	0
2797594	0.20724736	0
3500003	0.2061067	0
2667168	0.20594226	1
2673472	0.2059332	0
2790738	0.20561916	0
3565865	0.20550334	0
3666420	0.20524527	0
1569431	0.20519857	0
3350004	0.20393051	0
3193756	0.2038571	0
2222677	0.20371908	1
3711735	0.20353487	0
3016124	0.20308462	1
3391837	0.20205474	0
3860038	0.20186226	0
3663309	0.20171829	0
2967700	0.20144805	0
2938504	0.20058759	0
2640409	0.20033403	0
3016817	0.2001178	0
3088744	0.20009579	0
2783104	0.19962928	2
3711740	0.19941552	0
3765128	0.19932306	0
2769446	0.19881059	0
3616070	0.19856648	0
3681292	0.19834635	0
165419	0.19821733	0
2683798	0.19686002	2
3557629	0.19652854	0
3162721	0.19514266	0
3685544	0.19492918	1
3655517	0.19481008	1
2984407	0.19414455	0
3015287	0.1939847	0
3285529	0.19395015	0
1523371	0.19363125	1
3649285	0.1932251	0
2980723	0.1927567	0
3015425	0.19225845	0
3192516	0.1917768	0
3471415	0.19164355	0
2820011	0.19151337	0
3162978	0.19148986	0
3482069	0.19137527	0
3469333	0.19093078	0
3666158	0.19087483	0
3851743	0.19038354	0
3552714	0.19033758	0
3835982	0.1893542	0
3825930	0.18893665	0
3336885	0.18829258	0
2805600	0.18827328	0
3214505	0.18808919	0
3299142	0.18800941	1
3015861	0.18744943	0
3731174	0.18706463	0
2788451	0.18705966	0
2847818	0.18659675	0
2821393	0.18593003	0
3534209	0.18353559	0
2672300	0.18268993	1
3073788	0.18260784	0
3016809	0.18142003	1
3712886	0.18118927	0
3096911	0.1810205	1
2767146	0.18048525	0
3514804	0.1803358	0
3876542	0.18030678	0
2628877	0.17999226	0
2654860	0.17940679	0
3299191	0.17918082	0
2740116	0.17884773	0
3369119	0.17883165	0
3160386	0.1788076	0
3137826	0.17863433	0
2442185	0.17852174	0
3519039	0.17838544	1
3876522	0.17800462	0
3304637	0.17798892	0
3589860	0.17732103	0
3891070	0.17650321	0
2830979	0.17610802	0
3015742	0.17510086	1
2887168	0.17502633	1
1065003	0.17488289	2
1821329	0.17477126	0
3725355	0.17458819	0
3534252	0.17450961	0
3051203	0.17444673	0
2855451	0.17398438	0
3043450	0.1732519	0
3282448	0.17310342	0
3132370	0.17292258	0
3825967	0.17281786	0
3088392	0.17267583	0
137249	0.17262678	0
3680657	0.17258179	0
3463912	0.17241511	0
3195317	0.17206891	0
3747485	0.1713557	0
2556681	0.17130418	0
3529420	0.17122068	0
3259057	0.17103714	0
3644793	0.17061263	0
3182407	0.17056969	0
