pmcid	title	abstract	body	relevancy
3170124	9.470745	6.896378	7.9265304	0
1769396	8.685481	8.503905	8.812155	0
2769390	8.238682	6.2066755	5.359379	0
2045659	7.910939	6.2396283	4.5911746	0
3148997	7.8885665	5.895321	6.222855	0
3087163	7.675215	5.9894257	4.356526	1
2767145	7.6571374	0.1615031	0.1615031	0
3058023	7.5338235	5.092243	5.0555415	0
3147136	7.5254316	5.6743236	4.7448206	0
3036638	7.4884624	5.0675974	5.4782753	1
2803848	7.4270015	0.21655425	5.5141897	1
3170346	6.782281	4.5060344	4.2761235	0
2769272	6.7471657	0.16592489	0.16592489	0
3575421	6.6199174	0.07749481	3.9287202	0
2741488	6.5588403	4.4792514	3.775519	0
2767133	6.4341664	4.7486224	4.037309	1
2737768	6.172951	4.4508576	3.8166788	0
2631053	6.084241	5.163474	4.664711	1
3884116	5.7640533	4.11719	4.1499467	0
3704649	5.675669	4.0983486	0.0861032	0
2125381	5.354418	3.3448892	0.08258309	0
1036642	0.88152874	0.0016771813	0.0016771813	0
3804998	0.35626867	0.35626867	0.35626867	0
3289835	0.34965423	0.34965423	0.34965423	0
2843635	0.34710664	0.34710664	0.34710664	0
3698044	0.34530282	0.34530282	0.34530282	0
3560765	0.32512853	0.32512853	5.760707	0
2686635	0.32248628	0.32248628	5.036598	0
2600818	0.3224277	0.3224277	0.3224277	0
3686329	0.31983703	0.31983703	0.31983703	0
3485580	0.3156291	0.3156291	4.192757	0
3524703	0.31288722	0.31288722	5.8608437	0
3829860	0.31277436	0.31277436	4.936398	0
3430891	0.3106794	0.3106794	0.3106794	0
3706726	0.31005132	0.31005132	5.5276003	0
3213209	0.30983812	0.30983812	0.30983812	0
3100218	0.3093083	0.3093083	0.3093083	0
2920084	0.30737707	0.30737707	0.30737707	0
3439340	0.30657265	0.30657265	0.30657265	0
3395946	0.30418468	0.30418468	0.30418468	0
2994656	0.30053157	0.30053157	0.30053157	2
3400886	0.2998958	0.2998958	0.2998958	1
3573524	0.2963131	0.2963131	0.2963131	0
2672393	0.29608756	0.29608756	0.29608756	0
3534010	0.29510304	0.29510304	0.29510304	0
2762184	0.29492763	0.29492763	0.29492763	0
3305484	0.29380503	0.29380503	0.29380503	0
3189692	0.29327324	0.29327324	4.533526	0
3182010	0.29273766	0.29273766	5.7071614	0
3597910	0.2920676	0.2920676	0.2920676	0
3046346	0.29167092	0.29167092	7.622108	0
3804992	0.29022205	0.29022205	0.29022205	0
3406221	0.28821436	0.28821436	0.28821436	0
3475301	0.28819293	0.28819293	7.906953	0
3781199	0.28654146	0.28654146	0.28654146	0
3653220	0.284779	0.284779	0.284779	0
3879583	0.28438312	0.28438312	0.28438312	0
3548361	0.27973422	0.27973422	0.27973422	1
2984268	0.27918932	0.27918932	0.27918932	1
481084	0.27843955	0.27843955	6.022001	0
3284874	0.27821994	0.27821994	0.27821994	0
2834574	0.27724156	0.27724156	0.27724156	0
3526878	0.27629212	0.27629212	0.27629212	0
3060997	0.27208042	0.27208042	0.27208042	0
3423950	0.27173072	0.27173072	0.27173072	0
3488421	0.2711441	0.2711441	5.732967	0
2796066	0.27097446	0.27097446	0.27097446	0
3560522	0.27041912	0.27041912	5.1799746	0
1364522	0.26963905	0.26963905	0.26963905	0
3402108	0.26625678	0.26625678	5.7106647	0
3470296	0.26530623	0.26530623	0.26530623	0
3097155	0.26361835	0.26361835	0.26361835	0
2927504	0.26207435	0.26207435	0.26207435	0
2984544	0.2619621	0.2619621	0.2619621	0
3843310	0.26184416	0.26184416	0.26184416	0
3530518	0.26132646	0.26132646	0.26132646	0
2885253	0.26110536	0.26110536	0.26110536	0
3513220	0.2575498	0.2575498	0.2575498	0
3363139	0.25684738	0.25684738	5.398546	0
3602640	0.25664097	0.25664097	0.25664097	0
3115304	0.25653398	0.25653398	3.5134215	0
3722415	0.2558042	0.2558042	7.5574455	0
3176485	0.2549823	0.2549823	0.2549823	0
2948674	0.25480384	0.25480384	4.0245323	0
2329664	0.25466162	6.293524	4.89888	0
1949812	0.25437918	0.25437918	0.25437918	0
1557854	0.2539694	0.2539694	0.2539694	1
2799065	0.2538841	0.2538841	1.5274087	0
2700076	0.25340378	0.25340378	0.25340378	0
3833481	0.25294605	0.25294605	5.7711973	0
2605766	0.25221187	0.25221187	6.9430714	0
3837720	0.2514949	0.2514949	0.2514949	0
3298461	0.2514594	0.2514594	0.2514594	0
2831203	0.25120756	0.25120756	0.25120756	1
3020341	0.24969797	0.24969797	0.24969797	0
3827665	0.24924	0.24924	6.313776	0
3184474	0.24915779	0.24915779	4.9362755	0
3804449	0.24865873	0.24865873	0.24865873	0
3057238	0.24721579	0.24721579	0.24721579	0
3074312	0.2471544	0.2471544	5.1709166	0
2858136	0.24657908	0.24657908	0.24657908	0
3309367	0.24653934	6.2672987	5.5552745	0
2387294	0.24640128	0.24640128	0.24640128	0
3769617	0.24615635	0.24615635	0.24615635	0
161802	0.24610542	0.24610542	0.24610542	0
1920553	0.24585834	0.24585834	0.24585834	0
3150839	0.24484819	0.24484819	5.7296805	2
3528076	0.24425255	0.24425255	0.24425255	0
3506731	0.24406329	0.24406329	0.24406329	0
