abstract	body	pmcid	relevancy	title
0.28977048	1.9802125	3689004.0	2.0	0.28977048
0.24381869	0.24381869	2688343.0	2.0	0.24381869
0.24431401	0.24431401	3549924.0	1.0	0.24431401
0.211852	1.8130577	2631222.0	2.0	0.211852
0.27072495	0.27072495	3845336.0	2.0	0.27072495
0.18491237	2.1052315	3663224.0	1.0	0.18491237
0.34628016	0.34628016	3567877.0	2.0	0.34628016
0.15648025	0.15648025	2825552.0	2.0	0.15648025
0.22963701	0.22963701	3290847.0	2.0	0.22963701
0.25096476	0.25096476	3841504.0	2.0	0.25096476
0.19229233	1.7690682	3534058.0	2.0	0.19229233
0.29990748	2.1952806	3354405.0	2.0	0.29990748
0.17718473	0.17718473	2755787.0	2.0	0.17718473
0.25911656	0.25911656	3205656.0	2.0	0.25911656
0.38377732	2.207846	3682238.0	2.0	0.38377732
0.2234816	0.2234816	3580664.0	2.0	0.2234816
0.17196846	0.17196846	3226299.0	2.0	0.17196846
0.24971358	0.24971358	3682250.0	2.0	0.24971358
0.22260746	0.22260746	3387614.0	2.0	0.22260746
0.38657102	2.332107	3219287.0	2.0	0.38657102
0.16660798	0.16660798	3692142.0	2.0	0.16660798
0.21348959	0.21348959	2206519.0	2.0	0.21348959
0.24516413	0.24516413	2575599.0	2.0	0.24516413
0.2599292	0.2599292	2756346.0	2.0	0.2599292
0.11413109	0.11413109	3219018.0	2.0	0.11413109
0.2136254	0.2136254	3483834.0	2.0	0.2136254
0.20254081	0.20254081	2575584.0	2.0	0.20254081
0.20538771	0.20538771	137249.0	2.0	0.20538771
0.20602761	0.20602761	3682302.0	2.0	0.20602761
0.18706812	0.18706812	2759914.0	2.0	0.18706812
0.274447	0.274447	3363766.0	1.0	0.274447
0.3988459	2.2063458	3351253.0	2.0	0.3988459
0.27920917	2.347886	2784403.0	2.0	0.27920917
0.18178168	0.18178168	125311.0	1.0	0.18178168
0.36296898	0.36296898	3387629.0	2.0	0.36296898
0.12856261	1.4854043	1998881.0	2.0	0.12856261
0.33102253	0.33102253	3224471.0	2.0	0.33102253
0.20831545	0.20831545	2246223.0	2.0	0.20831545
0.20235533	0.20235533	2206446.0	2.0	0.20235533
0.35597837	0.35597837	3310988.0	1.0	0.35597837
0.22856665	0.22856665	3851869.0	2.0	0.22856665
0.17068121	0.17068121	2686975.0	1.0	0.17068121
0.19002551	0.19002551	1550961.0	2.0	0.19002551
0.23270115	2.8911238	2799065.0	1.0	0.23270115
0.27091143	1.9540154	3672626.0	2.0	0.27091143
0.106699094	0.106699094	2575565.0	2.0	0.106699094
0.26850525	2.0323808	3199906.0	2.0	0.26850525
3.3538961	2.1342506	3219003.0	1.0	0.26297256
0.20063698	0.20063698	3597913.0	2.0	0.20063698
0.30694672	0.30694672	2944247.0	2.0	0.30694672
0.17758068	2.3352637	2794498.0	1.0	0.17758068
0.14343746	0.14343746	1175926.0	2.0	0.14343746
0.062043034	0.062043034	3546089.0	2.0	0.062043034
0.1833067	1.7057952	3546087.0	2.0	0.1833067
0.31684566	0.31684566	3507390.0	2.0	0.31684566
0.2591739	0.2591739	3116003.0	2.0	0.2591739
0.22099413	2.018047	3474147.0	2.0	0.22099413
0.220489	2.706071	2799007.0	1.0	0.220489
0.19255063	0.19255063	3043756.0	2.0	0.19255063
0.31375661	0.31375661	3218965.0	2.0	0.31375661
3.6297033	2.4467652	3857284.0	2.0	0.2708495
0.3229044	0.3229044	3409957.0	2.0	0.3229044
0.19653885	0.19653885	2750143.0	2.0	0.19653885
0.18653947	0.18653947	2717442.0	2.0	0.18653947
0.22220649	0.22220649	3661928.0	1.0	0.22220649
