abstract	body	pmcid	relevancy	title
2.1089673	4.564612	2767137.0	2.0	1.7333919
0.10977873	0.10977873	2848680.0	1.0	1.092483
1.7998894	3.6403809	3002375.0	2.0	1.0348357
2.9721143	0.9321188	2884455.0	2.0	0.9321188
1.1272289	2.739812	2822794.0	1.0	0.8765506
0.61377823	0.61377823	2908674.0	2.0	0.61377823
0.5972263	3.2960439	3097809.0	2.0	0.5972263
0.55617684	0.55617684	3369119.0	1.0	0.55617684
0.5468801	0.5468801	3099610.0	2.0	0.5468801
0.49575874	3.0306664	3430087.0	2.0	0.49575874
0.47786078	6.264819	2766886.0	2.0	0.47786078
0.46293828	0.46293828	3361201.0	2.0	0.46293828
2.146721	0.45211878	3719296.0	1.0	0.45211878
0.4505367	0.4505367	3614797.0	1.0	0.4505367
0.4246878	0.4246878	3205660.0	2.0	0.4246878
0.4131179	0.4131179	3628456.0	2.0	0.4131179
1.9111954	2.7030714	3019596.0	2.0	0.40441582
0.38693413	0.38693413	3014817.0	2.0	0.38693413
0.3776963	2.675016	2766898.0	2.0	0.3776963
0.36875966	3.8994527	3052620.0	1.0	0.36875966
0.3622993	0.3622993	2963752.0	2.0	0.3622993
1.7971394	2.6294851	3780706.0	2.0	0.36143062
0.33898324	0.33898324	2941598.0	2.0	0.33898324
0.33155838	0.33155838	3148597.0	2.0	0.33155838
0.3201514	3.4728096	3444845.0	1.0	0.3201514
0.3191451	3.6187005	2800936.0	2.0	0.3191451
2.0760984	2.55651	3094260.0	2.0	0.3039755
1.7633808	2.6127288	2700683.0	2.0	0.2964177
0.29425392	3.7134602	2938513.0	1.0	0.29425392
0.29151985	2.154187	3522359.0	1.0	0.29151985
0.2880838	2.4879184	2726514.0	2.0	0.2880838
2.386283	3.0273912	2806401.0	2.0	0.28627723
1.7640449	2.6633594	2963121.0	2.0	0.28337494
0.2794025	0.2794025	3066713.0	2.0	0.2794025
0.2764984	0.2764984	2816301.0	2.0	0.2764984
0.2756682	0.2756682	3493838.0	1.0	0.2756682
0.27353713	0.27353713	2990894.0	2.0	0.27353713
0.2702217	3.6146271	2700241.0	2.0	0.2702217
0.2697735	0.2697735	2930290.0	1.0	0.2697735
1.7734895	0.26618573	2809077.0	2.0	0.26618573
0.26392812	0.26392812	3205541.0	2.0	0.26392812
0.25944105	2.8558223	2649930.0	2.0	0.25944105
2.8809884	4.2112436	2737786.0	1.0	0.25271365
0.25122443	2.3366416	2718206.0	1.0	0.25122443
0.24455024	0.24455024	3873172.0	1.0	0.24455024
0.24015968	0.24015968	3205779.0	2.0	0.24015968
0.23237406	0.23237406	3015759.0	1.0	0.23237406
0.22714752	0.22714752	3162726.0	1.0	0.22714752
0.22074825	0.22074825	2878686.0	1.0	0.22074825
0.21677887	3.6156044	2713849.0	2.0	0.21677887
0.20674273	0.20674273	2449186.0	2.0	0.20674273
1.5037857	0.20637342	2729468.0	2.0	0.20637342
0.2058435	0.2058435	1784608.0	1.0	0.2058435
1.5679353	2.2912145	2626783.0	2.0	0.20441926
1.5609236	3.5114753	2737761.0	2.0	0.20375232
0.20227502	2.0199077	3016001.0	1.0	0.20227502
0.2017191	0.2017191	2778945.0	2.0	0.2017191
0.19647224	2.2321582	3214510.0	1.0	0.19647224
0.19447973	2.8553114	3129104.0	2.0	0.19447973
1.4604503	2.0273426	2726540.0	2.0	0.19289488
0.189674	0.189674	2672247.0	1.0	0.189674
0.18753251	1.9674045	3651717.0	1.0	0.18753251
0.18557115	0.18557115	3340954.0	1.0	0.18557115
0.18440631	1.9080173	2921813.0	2.0	0.18440631
0.18257268	0.18257268	3015487.0	1.0	0.18257268
0.18099962	0.18099962	3195536.0	2.0	0.18099962
0.18081658	0.18081658	3646223.0	1.0	0.18081658
0.18058753	3.6784773	3111156.0	2.0	0.18058753
1.3518305	2.0075107	2769446.0	2.0	0.17810446
0.17480193	1.817923	3021277.0	2.0	0.17480193
0.17151418	0.17151418	3516685.0	1.0	0.17151418
0.17022859	0.17022859	1208937.0	2.0	0.17022859
0.16945246	0.16945246	2791738.0	2.0	0.16945246
0.1670219	0.1670219	2782171.0	1.0	0.1670219
